IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,591456.5896,1.20179E+11,33676055946,3850313316,31664578965,3990774945
1,Oilseed farming,80.4704361,62723007.2,87991.55056,162422073.4,-95411048.89,-7488450.05
2,Grain farming,408.0770569,110101173.4,4552684.307,124775817.9,-8778287.888,-15954059.6
3,Vegetable and melon farming,461.2342529,54517280.58,6051521.301,27793075.56,6102637.768,-12669.13023
4,Fruit farming,33.28089905,2886447.191,307733.0589,1729653.835,452884.1674,-453.5192566
5,Tree nut farming,0,0,0,0,0,0
6,"Greenhouse, nursery, and floriculture production",238.4170685,24369968.41,4358213.902,11445483.21,2166028.261,-10083.29447
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,424.3061829,12387434.96,2227299.929,6622616.768,1144231.2,-1774323.225
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",52.81005096,8133206.367,70897.57919,6842133.045,1132329.941,-318813.6816
12,Dairy cattle and milk production,30.89772415,14732000.35,381235.6293,4508411.407,698808.1932,-261496.7227
13,Poultry and egg production,1878.598511,1107728027,37155807.5,84186660.77,21188829.42,-9044552.803
14,"Animal production, except cattle and poultry and eggs",58.05352402,7513808.727,438214.0934,15697090.15,-8747741.699,-232978.8357
15,"Forestry, forest products, and timber tract production",31.50281143,3551169.872,2464687.824,0,471939.8618,0
16,Commercial logging,43.59935379,20816564.56,2970231.295,15865507.13,510220.17,9805.649519
17,Commercial fishing,358.8760071,32945602.42,656108.0813,21529302.6,6711787.224,1319938.66
18,Commercial hunting and trapping,0,0,0,0,0,0
19,Support activities for agriculture and forestry,958.6954956,20885015.49,30233596.8,6102531.433,-23171134.95,496475.4283
20,Oil and gas extraction,357.1114502,114496505.7,0,33308525.09,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,0,0,0,0,0,0
29,Sand and gravel mining,37.38880157,5298303.127,2102755.547,-1905822.396,1531176.448,463130.1165
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,0,0,0,0,0,0
35,Drilling oil and gas wells,27.50069809,8286896.706,22771.42555,1932306.409,32887.41037,10869.99942
36,Support activities for oil and gas operations,56.02720642,15293336.87,1428327.799,2942500.591,1329142.809,214488.9235
37,Metal mining services,38.39162064,12137399.67,0,3579906.94,0,0
38,Other nonmetallic minerals services,38.39162064,12040452,0,3579373.598,0,0
39,Electric power generation - Hydroelectric,0,0,0,0,0,0
40,Electric power generation - Fossil fuel,171.3528595,223918273.9,23465866.09,1320037.723,35326007.84,21488698.96
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,0.820855618,442597.1508,155145.1534,0,161694.6906,17452.65722
43,Electric power generation - Wind,0,0,0,0,0,0
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,23.19377518,3585413.694,2778933.287,405755.6689,-2657237.53,299620.1515
47,Electric power transmission and distribution,1513.409058,1953776611,244413299.6,3447522.64,347966522.2,171518859.9
48,Natural gas distribution,201.7051849,169741149.9,37541061.4,35028.57313,39944824.22,8967103.958
49,"Water, sewage and other systems",470.5916748,127852874.8,37640316.01,5277753.83,24374820.71,6708449.364
50,Construction of new health care structures,948.3686523,153369369.5,43285324.1,20936023.71,30158981.32,603527.5459
51,Construction of new manufacturing structures,1464.221191,225325546.3,64851524.35,33086929.32,23268918.99,960216.2242
52,Construction of new power and communication structures,2016.86084,384115234.4,89089096.07,46748603.82,100029007,2297728.3
53,Construction of new educational and vocational structures,2394.36499,346460296.6,119128944.4,43964340.21,62200500.49,1168127.418
54,Construction of new highways and streets,1914.530151,416088531.5,90128387.45,40497356.41,100188301.1,1411664.605
55,"Construction of new commercial structures, including farm structures",3659.401123,485789154.1,156602890,77575286.87,43652793.88,2308124.304
56,Construction of other new nonresidential structures,4657.426758,440000671.4,206110366.8,105751647.9,-86471343.99,1828277.946
57,Construction of new single-family residential structures,5732.629395,879947876,246917053.2,133721862.8,148721191.4,10945589.07
58,Construction of new multifamily residential structures,1775.162354,213098068.2,76981124.88,41610324.86,50493270.87,1812315.464
59,Construction of other new residential structures,4010.078369,843151367.2,177341766.4,92160995.48,135980819.7,5162106.514
60,Maintenance and repair construction of nonresidential structures,2714.873047,570326232.9,118685340.9,63534996.03,73536903.38,3465825.319
61,Maintenance and repair construction of residential structures,1324.2771,287031524.7,55713954.93,27286338.81,43556537.63,2127853.87
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",978.0203247,105395675.7,43036727.91,22695102.69,-14988864.9,766231.1196
63,Dog and cat food manufacturing,67.35901642,82094047.55,3469565.63,1445121.765,5040787.697,828240.2754
64,Other animal food manufacturing,177.0231934,174455108.6,10578896.52,270002.1565,3938889.742,1826777.697
65,Flour milling,0,0,0,0,0,0
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,0,0,0,0,0,0
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,0,0,0,0,0,0
70,Fats and oils refining and blending,0,0,0,0,0,0
71,Breakfast cereal manufacturing,0,0,0,0,0,0
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,21.48842621,9034089.088,803842.783,1033013.582,199362.5015,25718.35741
75,Chocolate and confectionery manufacturing from cacao beans,0,0,0,0,0,0
76,Confectionery manufacturing from purchased chocolate,37.28004074,12878791.81,1535329.223,775058.2099,359027.7433,38686.58841
77,"Frozen fruits, juices and vegetables manufacturing",78.98371887,35292938.23,5622995.853,204273.6262,2567646.027,109470.4568
78,Frozen specialties manufacturing,28.4467392,10954351.43,1852414.966,323101.0735,516905.9634,25652.77182
79,Canned fruits and vegetables manufacturing,11.1171627,5293267.727,250806.0336,604413.867,109213.6353,14107.23384
80,Canned specialties,0,0,0,0,0,0
81,Dehydrated food products manufacturing,0,0,0,0,0,0
82,Cheese manufacturing,0,0,0,0,0,0
83,"Dry, condensed, and evaporated dairy product manufacturing",0,0,0,0,0,0
84,Fluid milk manufacturing,203.5334625,150309631.3,18315673.83,367570.0426,6423190.117,507867.8131
85,Creamery butter manufacturing,0,0,0,0,0,0
86,Ice cream and frozen dessert manufacturing,30.24850845,13319076.54,1820862.055,773632.288,557077.0502,47038.79356
87,Frozen cakes and other pastries manufacturing,516.3637695,40780395.51,14853694.92,1714349.031,2745184.422,796596.5867
88,Poultry processing,8526.319336,2575181885,436435394.3,95738.42585,76912696.84,7023282.528
89,"Animal, except poultry, slaughtering",8.217806816,5718882.561,539145.1716,19205.3467,154929.8763,49524.86977
90,Meat processed from carcasses,150.399292,77055213.93,8543713.57,104869.3135,443493.6643,268030.3454
91,Rendering and meat byproduct processing,8.217806816,3255457.401,539145.1716,19318.07771,198678.568,36336.93233
92,Seafood product preparation and packaging,9.692396164,4280213.356,401748.6274,623741.4479,54744.38518,14736.64679
93,"Bread and bakery product, except frozen, manufacturing",751.2991943,98453399.66,19214580.54,11805793.76,3852719.307,916971.2663
94,Cookie and cracker manufacturing,0,0,0,0,0,0
95,"Dry pasta, mixes, and dough manufacturing",0,0,0,0,0,0
96,Tortilla manufacturing,0,0,0,0,0,0
97,Roasted nuts and peanut butter manufacturing,32.60478592,14214776.99,2577584.267,0,637944.4599,0
98,Other snack food manufacturing,33.16993332,15990509.03,2663003.206,0,541274.3092,0
99,Coffee and tea manufacturing,0,0,0,0,0,0
100,Flavoring syrup and concentrate manufacturing,0,0,0,0,0,0
101,"Mayonnaise, dressing, and sauce manufacturing",78.31059265,45674083.71,6728454.59,1254106.879,3349286.318,134841.3974
102,Spice and extract manufacturing,0,0,0,0,0,0
103,All other food manufacturing,500.1112671,187356445.3,38978176.12,1664366.364,7533391.953,481606.4537
104,Bottled and canned soft drinks & water,12.19657516,9378961.563,702119.7677,1029363.394,396529.0785,42588.49099
105,Manufactured ice,0,0,0,0,0,0
106,Breweries,293.342926,152647979.7,16419771.19,28193574.91,12353456.5,5659541.13
107,Wineries,46.38538361,20349149.7,765475.5116,7810001.373,275199.1451,240932.8818
108,Distilleries,22.77953911,30260086.06,820607.9602,11493451.12,1176658.988,3045731.544
109,Tobacco product manufacturing,153.3307953,367238647.5,13488306.05,1692464.948,76548698.43,66437789.92
110,"Fiber, yarn, and thread mills",0,0,0,0,0,0
111,Broadwoven fabric mills,0,0,0,0,0,0
112,Narrow fabric mills and schiffli machine embroidery,0,0,0,0,0,0
113,Nonwoven fabric mills,55.54885483,22402151.11,3748072.147,-6098.187994,208317.2351,182532.4744
114,Knit fabric mills,0,0,0,0,0,0
115,Textile and fabric finishing mills,49.41190338,12747451.78,3127185.106,-1100.091846,55270.97732,85278.14597
116,Fabric coating mills,0,0,0,0,0,0
117,Carpet and rug mills,1.472764611,426865.2797,45068.62164,-2277.905121,2047.42793,4922.108725
118,Curtain and linen mills,21.2921505,3930532.932,781403.1243,-6062.596105,20943.86518,32838.62397
119,Textile bag and canvas mills,22.55387497,3628999.949,1153859.735,-3005.51462,18710.15877,26491.57494
120,"Rope, cordage, twine, tire cord and tire fabric mills",0,0,0,0,0,0
121,Other textile product mills,61.98280716,9015540.123,3154547.453,-14022.74799,43398.41753,65227.59795
122,Hosiery and sock mills,12.81049061,1114983.082,276132.5538,32103.26284,93930.65423,27785.08328
123,Other apparel knitting mills,12.81054783,1174723.625,276132.5538,31669.16594,68817.64531,27026.67005
124,Cut and sew apparel contractors,44.30303574,1816513.538,368672.6987,33240.47104,16513.49477,35373.35992
125,Mens and boys cut and sew apparel manufacturing,12.80995369,1574825.406,276132.5538,31370.46099,82771.87496,27738.94928
126,Womens and girls cut and sew apparel manufacturing,12.80976582,2336519.241,276132.5538,31151.1755,80282.49443,26017.82978
127,Other cut and sew apparel manufacturing,51.38169861,4456204.891,1497271.061,32968.67758,-891913.7716,48510.82712
128,Apparel accessories and other apparel manufacturing,93.85579681,6963285.446,2114997.864,36384.81721,-1464515.209,67382.49213
129,Leather and hide tanning and finishing,0,0,0,0,0,0
130,Footwear manufacturing,0,0,0,0,0,0
131,Other leather and allied product manufacturing,15.88456059,1482005.239,574766.6955,-3898.811061,-241493.1208,8466.899395
132,Sawmills,0,0,0,0,0,0
133,Wood preservation,19.28595161,6270256.519,837985.456,875258.3265,-3623045.683,93308.64251
134,Veneer and plywood manufacturing,5.574299335,1857054.71,89993.45452,796253.1447,-92066.87659,11833.32317
135,Engineered wood member and truss manufacturing,92.87593842,19020734.79,4270595.551,3467419.863,-2683448.315,156322.1961
136,Reconstituted wood product manufacturing,0,0,0,0,0,0
137,Wood windows and door manufacturing,15.55187511,3363483.191,789290.4282,779877.4838,-552685.4396,29245.5107
138,"Cut stock, resawing lumber, and planing",16.18993187,3034300.327,598703.0864,868339.5386,-885944.128,31745.37793
139,"Other millwork, including flooring",37.85294724,8563520.432,1198591.709,3370140.314,-978904.0685,64903.28908
140,Wood container and pallet manufacturing,100.3389511,15244374.28,4348097.324,2474133.73,-1459563.136,123606.3465
141,Manufactured home (mobile home) manufacturing,0,0,0,0,0,0
142,Prefabricated wood building manufacturing,61.79202652,10793732.64,2957371.235,1856134.772,-760741.1146,85156.35133
143,All other miscellaneous wood product manufacturing,51.86898041,9864649.773,1805534.959,3287978.649,-1095253.11,74107.19246
144,Pulp mills,0,0,0,0,0,0
145,Paper mills,0,0,0,0,0,0
146,Paperboard mills,0,0,0,0,0,0
147,Paperboard container manufacturing,187.4337311,99873168.95,18458354.95,35242.93378,10827295.3,661640.5249
