IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,12123214.88,1.85149E+12,5.57892E+11,62354270387,3.28091E+11,84007549487
1,Oilseed farming,5.492543221,3811659.336,7831.353694,2255202.293,1447937.25,-88454.18692
2,Grain farming,232.4692841,61532806.4,3596120.119,15375939.37,18919437.41,-1573545.694
3,Vegetable and melon farming,9292.083008,1124656860,176401413,126391738.9,202329879.8,145748.3172
4,Fruit farming,11865.07129,1043035645,157130798.3,137781524.7,263014221.2,173916.8167
5,Tree nut farming,181.8972321,7257973.671,3712249.279,768824.6965,266691.1483,2171.264263
6,"Greenhouse, nursery, and floriculture production",19071.76758,2055963135,519541931.2,212858383.2,293684539.8,132334.0982
7,Tobacco farming,43.32290649,3762413.025,994294.0474,508035.779,804528.3556,-54594.51675
8,Cotton farming,414.5336304,48783000.95,13273093.22,5739590.168,9238763.809,-323844.3136
9,Sugarcane and sugar beet farming,3907.404053,599955017.1,127247314.5,126465095.5,125107948.3,-11293383.6
10,All other crop farming,26580.77734,736722961.4,187177276.6,86825775.15,109368736.3,-19241224.29
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",3588.852051,510922973.6,6297306.538,94811172.49,114393493.7,-14148426.06
12,Dairy cattle and milk production,980.7663574,473819000.2,17325902.94,31964693.07,36121463.78,-9139072.418
13,Poultry and egg production,667.3557739,395115081.8,18727025.99,6619573.116,12146579.74,2908725.023
14,"Animal production, except cattle and poultry and eggs",2037.35022,240198440.6,20906986.24,116833892.8,67780342.1,23193670.27
15,"Forestry, forest products, and timber tract production",1760.680908,132547012.3,67692703.25,21351942.06,7251986.98,1903819.323
16,Commercial logging,3766.530762,328166076.7,139907180.8,48173633.58,9154355.049,4732917.309
17,Commercial fishing,6365.833984,333603973.4,21743894.58,52737319.95,215679748.5,37869319.92
18,Commercial hunting and trapping,464.3380432,78629409.79,6705611.229,13683519.36,50321609.5,2242472.887
19,Support activities for agriculture and forestry,46563.04688,1982144165,1539138550,74174797.06,-15037336.35,33026424.41
20,Oil and gas extraction,15300.99121,3531464600,6497046.947,95990844.73,-60591056.82,10943282.13
21,Coal mining,358.1783752,76324676.51,20188.06338,-5072.372034,69471.25494,10629750.25
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,63.52534485,17533340.45,298747.0031,-1288.273372,329106.6587,1777334.571
24,Gold ore mining,38.65257263,10762993.81,406995.8925,-149.549669,924328.506,1266235.471
25,Silver ore mining,18.84032822,6789478.779,554813.0274,-204.8215247,1430602.074,825574.5769
26,Uranium-radium-vanadium ore mining,25.84422493,10212724.69,2618920.326,-515.7014821,3964643.478,359960.8839
