IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,6185117.761,1.0735E+12,3.14488E+11,39068728896,2.06785E+11,35020020297
1,Oilseed farming,47.6303978,46664142.61,39075.36715,52356521.61,-6421181.202,-1625846.267
2,Grain farming,647.2775269,239310379,5662108.898,112643135.1,70651115.42,-7461782.932
3,Vegetable and melon farming,3326.926758,555465698.2,35271873.47,117588317.9,95951828,5853.347946
4,Fruit farming,1233.929443,150086151.1,9153602.6,37345706.94,36339313.51,2028.747462
5,Tree nut farming,2082.621826,113973434.4,23600143.43,22741746.9,4021173.954,2788.571874
6,"Greenhouse, nursery, and floriculture production",2160.604248,318460235.6,32579895.02,62106761.93,43679431.92,1681.71234
7,Tobacco farming,393.7994385,47025276.18,5031169.891,11960999.49,9655221.939,-845191.1807
8,Cotton farming,4956.80127,797184021,87811515.81,176676666.3,144963928.2,-6595479.965
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,30986.07031,1210957764,124556724.5,268832489,172613189.7,-38202518.46
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1677.056763,339101959.2,1692072.511,118533927.9,72900787.35,2034898.758
12,Dairy cattle and milk production,451.7254028,301985992.4,4470534.325,38375419.62,22105262.76,46609.9456
13,Poultry and egg production,6427.691406,5280168457,101316970.8,166633529.7,155859817.5,870757.9374
14,"Animal production, except cattle and poultry and eggs",762.2315063,124543861.4,4448257.446,115660835.3,-2748184.681,1228690.505
15,"Forestry, forest products, and timber tract production",1378.27478,106396209.7,44303306.58,31347871.78,1807368.994,2050915.003
16,Commercial logging,7514.508789,661080810.5,255852462.8,145863815.3,-5111778.259,12701926.23
17,Commercial fishing,888.0319824,19527511.6,15127364.16,-4450552.464,2314426.422,6210018.158
18,Commercial hunting and trapping,683.0361328,74068527.22,11443433.76,-330557.4954,49419448.85,3885908.842
19,Support activities for agriculture and forestry,14792.52441,615545837.4,453506713.9,77892250.06,-40156871.8,12845496.18
20,Oil and gas extraction,3143.478516,799756591.8,0,85098251.34,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,2425.391113,844555297.9,168314819.3,79322196.96,249257019,58534534.45
29,Sand and gravel mining,1426.161621,338830108.6,92968070.98,59118667.6,39202507.02,29024778.37
30,"Other clay, ceramic, refractory minerals mining",1077.523315,284453613.3,99898582.46,2799087.286,45214801.79,20954715.73
31,"Potash, soda, and borate mineral mining",46.32509995,15352047.92,4501721.859,1041874.766,859048.6646,1379401.684
