IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,929347.2132,1.49835E+11,49193421540,6151915894,29409363909,8533175823
1,Oilseed farming,2.033296824,494954.6158,0,-843.8777877,0,-86954.02741
2,Grain farming,808.0490723,80755172.73,16160627.37,-316329.0322,10000840.19,-14143942.83
3,Vegetable and melon farming,1561.743042,76643211.36,41163860.32,-1536637.902,5553647.518,-8528.801613
4,Fruit farming,3128.056641,109525016.8,56498371.12,-3039143.801,11123926.16,-8475.414477
5,Tree nut farming,2523.288086,45177055.36,74047470.09,-1247253.18,-29872949.6,3861.010307
6,"Greenhouse, nursery, and floriculture production",1928.1073,88999382.02,77010978.7,-870423.4958,5120559.692,-16204.24353
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0.122624397,14023.33193,10184.54321,0,1177.828643,-1703.910064
10,All other crop farming,283.4730225,2821404.457,2454565.763,-42340.75174,168701.5146,-530469.4772
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",938.1858521,46234996.8,1951329.589,-505861.8188,4169475.079,-1124821.544
12,Dairy cattle and milk production,49.50350952,9520000.458,1192012.31,-63094.7575,292317.2712,-83303.28763
13,Poultry and egg production,62.69076157,14548448.56,2361143.112,-34616.79444,180140.6592,-60014.21437
14,"Animal production, except cattle and poultry and eggs",2255.614014,95968513.49,29028188.71,-1167877.436,19429224.01,-1799312.353
15,"Forestry, forest products, and timber tract production",133.7487793,11392966.27,4982672.691,3200969.934,577186.6441,23027.0084
16,Commercial logging,84.02923584,9888125.42,5102648.735,1139826.179,822195.5895,8046.816103
17,Commercial fishing,1532.758423,94525138.85,10440736.77,16916704.18,19017950.06,1616344.81
18,Commercial hunting and trapping,0,0,0,0,0,0
19,Support activities for agriculture and forestry,2014.275146,61367057.8,48140167.24,10252790.45,-12606536.87,403543.3531
20,Oil and gas extraction,485.3381958,115247352.6,0,4907485.008,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,194.8678894,72538017.27,17798225.4,888343.6918,27872543.33,2749036.074
29,Sand and gravel mining,11.46132374,1605296.731,174780.2496,262600.4815,77937.64025,137525.8118
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,25.73615456,5446180.344,1779548.526,351541.3105,850946.3072,326501.3397
35,Drilling oil and gas wells,36.38422012,8686429.024,0,367141.813,0,0
36,Support activities for oil and gas operations,89.73092651,16561056.14,4647532.463,511039.7935,-3766003.847,147656.6643
37,Metal mining services,52.17676163,12157644.27,0,527442.7533,0,0
38,Other nonmetallic minerals services,52.17676163,12026532.17,0,527364.1944,0,0
39,Electric power generation - Hydroelectric,0,0,0,0,0,0
40,Electric power generation - Fossil fuel,2175.531006,2980275879,367953369.1,0,601266052.2,204162124.6
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,112.7928085,41922481.54,11843207.36,0,13398086.55,1799173.713
43,Electric power generation - Wind,696.652771,471651916.5,5047597.408,6176129.818,23027776.72,51774185.18
44,Electric power generation - Geothermal,75.37532043,34766258.24,6965322.018,280037.5819,6186785.221,1963948.846
45,Electric power generation - Biomass,282.8354797,99630035.4,7666114.33,1886635.661,10804463.39,6730360.031
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,1000.108948,1233761719,144520126.3,659619.3314,222991165.2,81559822.08
48,Natural gas distribution,306.5812378,223942871.1,40412158.97,20330.16086,46713142.4,10256861.69
49,"Water, sewage and other systems",510.1728821,107843895,24140914.92,3038259.268,16941740.04,5342027.187
50,Construction of new health care structures,1393.637085,260282684.3,82927352.91,30859088.9,58335727.69,2362422.466
51,Construction of new manufacturing structures,2208.072754,384412719.7,131267944.3,48768947.6,45557456.97,3254265.547
52,Construction of new power and communication structures,3060.508057,674941894.5,182254913.3,69327919.01,195605438.2,6278947.353
53,Construction of new educational and vocational structures,3613.60083,580949951.2,216312088,64806343.08,113988098.1,4740596.294
54,Construction of new highways and streets,2906.499268,717714477.5,178776596.1,60084346.77,193682022.1,6044445.992
55,"Construction of new commercial structures, including farm structures",5564.519043,847213439.9,318609436,119378936.8,84448196.41,12063500.4
56,Construction of other new nonresidential structures,7238.641602,738063842.8,427853179.9,154515945.4,-186276855.5,11263034.82
57,Construction of new single-family residential structures,8671.044922,1528284058,504896820.1,198318038.9,296798614.5,14535453.8
58,Construction of new multifamily residential structures,2682.969971,385331420.9,157460525.5,61457286.83,99592239.38,3038969.278
59,Construction of other new residential structures,6051.217773,1431304565,357652679.4,135760788,264501770,20737176.9
60,Maintenance and repair construction of nonresidential structures,4099.708496,961597229,241945709.2,93600555.42,143091705.3,13164769.17
61,Maintenance and repair construction of residential structures,1948.618652,476133789.1,107447700.5,40896465.3,82123352.05,12665460.59
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",1475.965332,169906662,87179878.23,33440387.73,-34363067.63,2327451.468
63,Dog and cat food manufacturing,12.14151955,13502411.84,161170.4677,64880.79578,214544.8923,208067.7301
64,Other animal food manufacturing,52.66083908,52390838.62,2757289.41,165750.2353,1297078.848,1216336.727
65,Flour milling,0,0,0,0,0,0
66,Rice milling,13.13762188,8544321.06,549494.5049,0,188072.9795,26812.91103
67,Malt manufacturing,0,0,0,0,0,0
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,19.93774605,87038543.7,604412.2577,0,1148067.355,357974.8273
70,Fats and oils refining and blending,0,0,0,0,0,0
71,Breakfast cereal manufacturing,2.896786928,2054151.773,90394.43731,8274.464868,63333.23568,11111.63013
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,64.66429138,23181917.19,1575383.425,160640.4185,357987.6721,106879.7484
75,Chocolate and confectionery manufacturing from cacao beans,32.16171265,19345649.72,1271218.3,39646.0928,684440.434,106135.0331
76,Confectionery manufacturing from purchased chocolate,553.4404907,181636032.1,24335474.01,304910.4214,5214056.969,792707.5028
