IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2084913.758,4.04137E+11,97594217347,13129123144,68327569449,11322230805
1,Oilseed farming,4452.48877,4855957031,6763752.46,586221679.7,939784545.9,-2550841.331
2,Grain farming,19032.04688,8791380859,344566162.1,443410064.7,1098399902,17162866.59
3,Vegetable and melon farming,70.2919693,15997952.46,1682807.684,362891.3164,1169516.444,954.206509
4,Fruit farming,44.17868805,7167565.823,724138.9751,191107.1986,734435.6179,560.463639
5,Tree nut farming,3.820925713,297427.0582,102021.1652,6359.25075,4440.947436,39.46628203
6,"Greenhouse, nursery, and floriculture production",686.5494995,147370605.5,24974924.09,3079638.958,8554183.96,4121.536389
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,1998.758057,91747100.83,15632532.12,2182480.335,5534562.111,-1602859.139
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",18021.37695,4089560791,33803691.86,153177261.4,372069854.7,32799484.25
12,Dairy cattle and milk production,975.4855347,869219970.7,21315776.82,11835900.31,26926786.42,11174072.27
13,Poultry and egg production,1520.954834,1634251831,51946014.4,5526356.697,20415090.56,8897546.768
14,"Animal production, except cattle and poultry and eggs",41133.60938,8078124512,478552246.1,804882080.1,1649964111,19402099.61
15,"Forestry, forest products, and timber tract production",103.7671814,10242406.85,7140243.053,0,1077921.033,0
16,Commercial logging,650.307373,55427276.61,10842152.6,20215757.37,984621.1672,1596129.417
17,Commercial fishing,177.775116,3165584.326,1073553.085,-418192.2972,367815.2263,2089519.501
18,Commercial hunting and trapping,312.8791809,7387323.38,1046646.833,-72514.27323,-1829799.175,2992514.849
19,Support activities for agriculture and forestry,14307.21875,648205566.4,343266296.4,287451629.6,-107799484.3,17485570.91
20,Oil and gas extraction,1582.959106,365841461.2,0,5961505.413,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,1722.823486,428509033.2,116727600.1,4524447.441,75020965.58,26861150.74
29,Sand and gravel mining,745.9723511,133176666.3,50683555.6,1427375.793,9275367.737,9798982.62
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,19.39941025,3190007.21,1005699.396,104357.5555,197364.8071,271272.0037
35,Drilling oil and gas wells,151.6514435,35703361.51,528490.1857,-714423.1796,490519.2256,723526.1202
36,Support activities for oil and gas operations,193.2637787,34003898.62,726102.7694,75010.74672,434231.6687,416466.3553
37,Metal mining services,170.1775665,38573310.85,0,640725.9107,0,0
38,Other nonmetallic minerals services,201.1579285,49396717.07,2115768.671,420744.0615,1961172.581,566099.5841
39,Electric power generation - Hydroelectric,40.67281723,25940105.44,5928748.608,0,8905162.811,1632219.911
40,Electric power generation - Fossil fuel,1562.294067,2215963135,236791534.4,0,487580230.7,194022979.7
41,Electric power generation - Nuclear,487.2138672,468477233.9,91957283.02,0,86586235.05,39050334.93
42,Electric power generation - Solar,1.415663362,647437.9301,177597.6121,0,253172.5168,29883.55048
43,Electric power generation - Wind,189.6322327,284727905.3,23907724.38,0,137439498.9,18411365.51
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,90.09343719,37742675.78,4160410.404,257544.1003,7388734.818,2828561.306
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,3250.529541,4112341797,400481933.6,598489.9402,785952514.6,377070709.2
48,Natural gas distribution,1577.953125,910944702.1,75486244.2,3403331.757,109822494.5,70937782.29
49,"Water, sewage and other systems",511.4799805,133585907,35184825.9,549265.9211,31648839.95,7672450.542
50,Construction of new health care structures,3417.744629,470926300,136082656.9,66635368.35,55108028.41,2689656.973
51,Construction of new manufacturing structures,5991.54834,862740722.7,256118499.8,106219642.6,72899314.88,5384046.078
52,Construction of new power and communication structures,7727.020996,1229159912,313058075,150264267,193797836.3,12871220.59
53,Construction of new educational and vocational structures,9086.874023,1123932983,402907409.7,139891281.1,120334693.9,5392763.615
54,Construction of new highways and streets,7010.199707,1295832764,293682373,129662750.2,192023162.8,7236562.252
55,"Construction of new commercial structures, including farm structures",13455.35547,1632686523,521416992.2,261212036.1,81104484.56,12792483.33
56,Construction of other new nonresidential structures,17281.76953,1261562378,685210022,335840057.4,-558462097.2,9430253.029
57,Construction of new single-family residential structures,21291.43945,2849284912,824682128.9,426170898.4,305695495.6,31278388.98
58,Construction of new multifamily residential structures,6587.936035,649509399.4,257331115.7,132537277.2,97432563.78,5593041.42
59,Construction of other new residential structures,14927.62402,2772448730,594083496.1,293443573,251032989.5,23874647.14
60,Maintenance and repair construction of nonresidential structures,10100.66699,1913374146,399615295.4,202701965.3,137802856.4,15796875.95
61,Maintenance and repair construction of residential structures,4872.425293,949582702.6,183008194,86994247.44,83355102.54,13618052.48
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",3658.159912,329061492.9,146600143.4,72665527.34,-95088729.86,3329072.237
63,Dog and cat food manufacturing,1532.164795,2236107422,131634033.2,185953.5426,447972808.8,34272228.24
64,Other animal food manufacturing,2995.661865,3178945801,264658538.8,3793395.042,203068176.3,36380859.38
65,Flour milling,397.2359009,453763580.3,27583845.14,270752.7876,35562637.33,2328086.853
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,0,0,0,0,0,0
68,Wet corn milling,3345.427002,6389880859,343749969.5,545337.379,537205017.1,41360515.59
69,Soybean and other oilseed processing,860.5605469,4092773438,69371177.67,433691.7996,336871215.8,20398899.08
70,Fats and oils refining and blending,61.16994858,99034347.53,5034023.285,19238.73648,5910335.064,505353.3316
71,Breakfast cereal manufacturing,1905.408325,1828857666,208398895.3,294510.6924,373281189,9599996.567
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,122.0281296,46495323.18,3599855.661,945083.4394,2091305.971,265736.7885
75,Chocolate and confectionery manufacturing from cacao beans,5.074711323,3594695.568,341776.7882,39450.67897,470444.9177,22105.1313
76,Confectionery manufacturing from purchased chocolate,618.9066162,224773422.2,34376235.96,1548268.795,18829767.23,1169889.808
77,"Frozen fruits, juices and vegetables manufacturing",13.13006687,6053091.526,679649.8299,159924.5369,726963.8181,33288.03927
78,Frozen specialties manufacturing,1471.15918,588701782.2,96270141.6,1139468.551,62925262.45,2417413.235
79,Canned fruits and vegetables manufacturing,285.3608093,157705734.3,22272445.68,1304884.434,22717836.38,658039.2718
80,Canned specialties,0,0,0,0,0,0
81,Dehydrated food products manufacturing,0,0,0,0,0,0
82,Cheese manufacturing,551.0949707,503727233.9,37054073.33,112875.1487,18736913.68,2643601.179
83,"Dry, condensed, and evaporated dairy product manufacturing",881.0787354,1265297729,88457237.24,673264.5631,174887008.7,6271047.115
84,Fluid milk manufacturing,825.6260986,621288696.3,61080619.81,452844.6496,50175472.26,3757711.172
85,Creamery butter manufacturing,0,0,0,0,0,0
86,Ice cream and frozen dessert manufacturing,1773.286133,810227600.1,123208419.8,401532.4414,88295547.49,5020705.223
87,Frozen cakes and other pastries manufacturing,2127.398926,178399719.2,61854434.97,2102330.923,18328428.27,10952573.78
88,Poultry processing,3105.489258,997200805.7,172244567.9,811219.3942,71102317.81,4666547.298
89,"Animal, except poultry, slaughtering",20067.27344,13940132813,1211816528,3426771.879,532201721.2,90315162.66
90,Meat processed from carcasses,9012.384766,4696028320,566702880.9,1333470.225,45388259.89,26106388.09
91,Rendering and meat byproduct processing,294.4346924,106677444.5,18592073.44,480430.2156,-1315376.759,710424.4232
92,Seafood product preparation and packaging,6.956955433,2683045.626,89694.61173,259093.1356,28629.36631,19342.59199
93,"Bread and bakery product, except frozen, manufacturing",3333.439941,431219299.3,96193214.42,13459709.17,31573545.46,11961836.81
94,Cookie and cracker manufacturing,1145.771362,399577514.6,60561946.87,1671256.304,34761138.92,2389181.614
95,"Dry pasta, mixes, and dough manufacturing",217.5937653,126277114.9,11877349.85,636131.7039,20211250.31,775221.0498
96,Tortilla manufacturing,70.95727539,15133500.1,2772104.263,246539.6971,734915.5545,97895.43599
97,Roasted nuts and peanut butter manufacturing,107.3969803,45154834.75,7467306.137,0,1457079.172,0
98,Other snack food manufacturing,173.78125,96940002.44,15292971.61,321957.618,14056133.27,280340.9994
99,Coffee and tea manufacturing,150.8516846,99935943.6,7831576.824,1890421.51,9667562.485,571654.9158
100,Flavoring syrup and concentrate manufacturing,7.395584583,21518461.23,591146.2903,272102.356,6027819.633,106384.8436
101,"Mayonnaise, dressing, and sauce manufacturing",145.4804077,80957344.06,7601845.264,486855.5069,8863721.848,456611.9611
102,Spice and extract manufacturing,1130.097534,637188964.8,79171661.38,621978.5213,54704719.54,3648005.009
103,All other food manufacturing,3524.457031,1310258179,220872039.8,5742420.673,99993080.14,6191555.023
104,Bottled and canned soft drinks & water,1258.589478,971599060.1,94435768.13,377879.56,124928207.4,8011718.75
