IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,1027599.806,1.6072E+11,41572509696,8322427809,23397037968,4954631831
1,Oilseed farming,15.47800922,22018896.1,45985.89614,14606540.68,6877843.38,-604098.1412
2,Grain farming,2533.669678,1021686279,62433624.27,294442230.2,214236511.2,-41492576.6
3,Vegetable and melon farming,8899.499023,1400104370,229623306.3,181470748.9,171780883.8,-38719.89623
4,Fruit farming,173.734375,20587865.83,3243000.507,3136539.221,3540510.178,-374.945841
5,Tree nut farming,2.932292223,142351.2548,76130.13685,17390.85093,3567.212261,3.57689396
6,"Greenhouse, nursery, and floriculture production",543.3530884,68879226.68,18199817.66,8224533.081,6710091.114,-3641.998861
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,1410.565796,288425994.9,63964332.58,70118721.01,41018054.96,-9866095.543
10,All other crop farming,17177.25391,832266296.4,221097976.7,113123893.7,84260826.11,-30098571.78
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",6192.491699,1736894897,22384450.91,371727966.3,265212432.9,-5926334.858
12,Dairy cattle and milk production,3647.564941,2378393066,90936981.2,185050079.3,123654785.2,-4889034.748
13,Poultry and egg production,101.5140381,83861282.35,4156044.96,1620374.68,1758192.062,-77395.97559
14,"Animal production, except cattle and poultry and eggs",1100.862549,222006286.6,19502376.56,120209556.6,72380180.36,-699637.6514
15,"Forestry, forest products, and timber tract production",273.9784851,17662401.2,10795233.73,692343.0562,162907.1236,667270.3624
16,Commercial logging,2280.101074,168859146.1,80714775.09,6888267.04,-1626450.658,6487526.417
17,Commercial fishing,349.0821228,6486826.897,1232286.692,679517.6864,392363.1012,4074281.216
18,Commercial hunting and trapping,222.8283081,21487756.73,2475319.624,1436380.744,12234326.36,2109821.796
19,Support activities for agriculture and forestry,9492.881836,475105804.4,299591705.3,113767738.3,-20914260.86,11133985.52
20,Oil and gas extraction,1130.731201,267284301.8,2538936.853,6592323.78,-923922.5388,2009345.055
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",98.00030518,55964122.77,6847486.019,702102.3035,-7033807.755,5538117.409
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,140.750946,42100502.01,4052340.508,7561339.378,-1259453.177,2011812.21
25,Silver ore mining,587.8276367,178137085,45720706.94,9958804.131,-12897833.82,11218175.89
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,78.23151398,19396911.62,1455107.093,2662612.2,-457462.4002,766039.3119
28,Stone mining and quarrying,444.6364136,67912002.56,11810883.52,5731463.432,-5669488.43,3034796.238
29,Sand and gravel mining,824.0893555,108442688,29169561.39,11711647.03,-5660649.776,4739114.761
30,"Other clay, ceramic, refractory minerals mining",18.87943459,2467970.848,142938.4649,223789.2449,-28844.29507,104603.1862
31,"Potash, soda, and borate mineral mining",84.44278717,20681821.82,6875475.407,315920.6808,-1016697.049,708298.5044
32,Phosphate rock mining,447.765625,92411315.92,32082912.45,5806611.061,-6319602.013,4495060.444
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,203.2373657,23452758.79,4875589.848,1407453.895,-948768.7349,1237603.188
35,Drilling oil and gas wells,144.0283813,35195430.76,1640133.262,-965377.152,997265.5177,591178.5364
36,Support activities for oil and gas operations,318.763855,59376667.02,5023198.128,-2626737.833,2193913.937,1425667.048
37,Metal mining services,303.5139465,82467720.03,11912147.52,-5191232.681,6783433.437,1310100.198
38,Other nonmetallic minerals services,185.1803741,58345890.05,9946449.28,-219804.4211,7196352.005,611231.5059
39,Electric power generation - Hydroelectric,330.8829651,142318893.4,19972518.92,537185.4901,34590003.97,10146166.8
40,Electric power generation - Fossil fuel,43.45499802,66228446.96,7717953.682,0,18324029.92,4094774.246
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,103.2297134,17278985.98,628885.2692,321576.4165,1033688.784,1674588.919
43,Electric power generation - Wind,146.8418274,124111267.1,4135408.878,351775.974,27411369.32,10929663.66
44,Electric power generation - Geothermal,22.05758286,15240145.68,3928699.493,0,5070112.228,572914.1235
45,Electric power generation - Biomass,63.03606033,19719812.39,617710.2923,161186.6504,1264904.38,1508340.001
46,Electric power generation - All other,20.14554977,3284699.44,2199021.578,0,-1504745.126,194593.9213
47,Electric power transmission and distribution,2009.82312,2631800049,272017761.2,146638.6765,613855468.8,170188232.4
48,Natural gas distribution,251.8144684,203884368.9,34170219.42,11705.07818,57349384.31,8417489.052
49,"Water, sewage and other systems",700.4760132,149627960.2,30216539.38,675429.4634,31105775.83,7472171.307
50,Construction of new health care structures,2044.436768,295704864.5,64465789.79,39130393.98,65003799.44,1240828.156
51,Construction of new manufacturing structures,3406.9375,469471283,109576965.3,62744251.25,55034748.08,2088263.512
52,Construction of new power and communication structures,4758.064941,805651245.1,151438949.6,90301681.52,213596771.2,5994880.199
53,Construction of new educational and vocational structures,5061.039551,634122924.8,171530456.5,81329124.45,125160545.3,2458674.431
54,Construction of new highways and streets,4200.74707,838715210,140314254.8,75427162.17,216186889.6,3366162.3
55,"Construction of new commercial structures, including farm structures",8040.670898,946814392.1,245733230.6,149205902.1,93555496.22,6452226.162
56,Construction of other new nonresidential structures,10458.01074,978518615.7,327112548.8,195405029.3,-26377218.25,4587922.096
