IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,7928498.405,1.54748E+12,4.68921E+11,54158685431,2.84445E+11,60116426256
1,Oilseed farming,11453.8877,6251526367,8833423.615,1034025391,1449730469,-2563276.291
2,Grain farming,33146.50781,8393161133,333711517.3,580005554.2,1256541138,18768791.2
3,Vegetable and melon farming,812.4422607,110466194.2,11787714,3433204.651,9676516.533,8806.53318
4,Fruit farming,215.3726044,20402959.82,2091093.779,745343.8044,2505087.852,2181.73163
5,Tree nut farming,16.80626869,819915.3543,285304.6954,24018.87253,14669.38481,138.5945798
6,"Greenhouse, nursery, and floriculture production",2911.698242,403048614.5,69291641.24,11539965.63,28033212.66,13953.42685
7,Tobacco farming,7.36615181,752789.557,135344.3414,28110.79286,78378.71462,-11587.12432
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,3177.384277,75836448.67,13108261.11,2471690.655,5481717.587,-2868622.065
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",5391.172852,614077941.9,5149215.221,31513690.95,66945144.65,10066019.06
12,Dairy cattle and milk production,596.0020752,309869995.1,7708699.226,5781083.584,11502230.64,3629897.833
13,Poultry and egg production,279.8065186,172117385.9,5549937.725,797448.7543,2576349.735,732415.1993
14,"Animal production, except cattle and poultry and eggs",12562.87598,1308870728,78658500.67,178680267.3,320337982.2,21966997.15
15,"Forestry, forest products, and timber tract production",698.1580811,53424781.8,34252693.18,256311.2378,4483862.877,812567.5321
16,Commercial logging,1172.277222,84818504.33,36951717.38,720451.2954,5955817.223,1913249.493
17,Commercial fishing,456.2402039,5831638.336,588251.3523,-818180.4419,1381030.083,4583105.564
18,Commercial hunting and trapping,398.1503601,10883687.02,1017073.87,-65322.25013,45316.81538,3251569.271
19,Support activities for agriculture and forestry,10419.16211,495398651.1,271493835.4,197170745.8,-66267059.33,14495151.52
20,Oil and gas extraction,14250.26855,3342852295,40981616.97,60225425.72,-44968166.35,46866928.1
21,Coal mining,2660.929932,1144244385,266310363.8,9102292.061,292450958.3,88957420.35
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,49.98234177,15304809.57,196390.5841,2540242.195,142334.9231,1866778.851
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,65.74842834,16144847.87,15547.49906,1854653.597,12602.0601,1680228.233
28,Stone mining and quarrying,1931.009033,661928894,152080535.9,6088627.815,239395752,34171669.01
29,Sand and gravel mining,1547.598633,360325927.7,139141647.3,7106737.137,62367012.02,23102861.4
30,"Other clay, ceramic, refractory minerals mining",49.34120941,9306089.401,2055887.461,258899.6589,989095.9263,708940.804
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,152.465332,34062278.75,7927115.917,1757755.995,5177475.929,3230686.665
34,Other nonmetallic minerals,16.74865723,2317926.645,239407.897,304507.643,115073.0774,267795.9204
35,Drilling oil and gas wells,1417.241943,349543396,17206136.7,-2759363.651,4022247.314,7020620.823
36,Support activities for oil and gas operations,2804.922607,543616638.2,57527931.21,-14822178.84,15716509.82,15654261.59
37,Metal mining services,1546.98938,354517395,4814922.333,4424143.314,-4685301.304,5139657.497
38,Other nonmetallic minerals services,1771.524902,431153961.2,25176149.37,3628888.13,4861608.028,7063269.615
39,Electric power generation - Hydroelectric,248.2084808,165031982.4,42710262.3,0,50161365.51,14344821.93
40,Electric power generation - Fossil fuel,3129.723633,4407056152,471428680.4,16978555.68,759021728.5,560224853.5
41,Electric power generation - Nuclear,3837.602051,3865148438,832872619.6,0,613196411.1,442964752.2
42,Electric power generation - Solar,767.9379272,201278381.3,8641860.962,58055271.15,9632633.209,23626007.08
43,Electric power generation - Wind,1208.159302,1495909912,111874465.9,42469280.24,502877990.7,169921875
