IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,3939141.494,7.91724E+11,1.91761E+11,30057109282,1.31484E+11,21461610932
1,Oilseed farming,7401.464355,3030011230,5848487.854,433530181.9,708787841.8,-6608194.828
2,Grain farming,19364.47656,3631280762,197224945.1,217068298.3,548380249,4621429.443
3,Vegetable and melon farming,1282.372437,127463623,18579875.95,3426782.37,11262808.8,27844.32285
4,Fruit farming,185.5373993,12894574.17,1805276.513,407474.5178,1597009.778,3764.90294
5,Tree nut farming,11.63696098,411864.3999,195771.9922,10436.81148,7433.065213,192.2342926
6,"Greenhouse, nursery, and floriculture production",1308.356323,130771957.4,30711032.87,3238856.316,9174889.565,12559.91962
7,Tobacco farming,34.07714081,2535388.947,622683.7039,81898.14538,266280.8597,-30009.09463
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,4478.848145,79762550.35,18833129.88,2248770.475,5815786.839,-2263957.5
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",4316.13623,368599975.6,4222106.934,16362928.39,40534206.39,33407203.67
12,Dairy cattle and milk production,1712.551392,653276977.5,22200119.02,10542826.65,24460803.99,15532765.39
13,Poultry and egg production,3388.873291,1533907715,67564559.94,6147623.062,23160615.92,7122589.111
14,"Animal production, except cattle and poultry and eggs",16775.54883,1300433228,106756263.7,153566986.1,321048431.4,40426258.09
15,"Forestry, forest products, and timber tract production",272.2729797,25492656.71,12140772.82,6679262.638,932409.8229,428835.6602
16,Commercial logging,1384.25293,161718170.2,24485057.83,88519447.33,-3092998.505,5427125.931
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,454.9972534,11178113.94,84342.15188,-6250.561681,-3248212.099,6726464.748
19,Support activities for agriculture and forestry,7826.638672,403173156.7,175652160.6,335197021.5,-181340881.3,14692961.69
20,Oil and gas extraction,4572.404785,1071726929,9746644.974,32868408.2,-19547019.96,9139381.409
21,Coal mining,2564.000732,1085389404,266824005.1,3004622.936,296165863,49726848.6
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,133.1875153,46918445.59,8114581.108,1773478.627,2883359.909,2447023.869
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,1746.89624,522650878.9,111305351.3,8050127.983,177094055.2,17956830.98
29,Sand and gravel mining,1104.985229,197730773.9,57490268.71,12769870.76,26045774.46,9598994.255
