IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,1943151.361,3.68095E+11,88383616045,16947908489,55485055314,11861036539
1,Oilseed farming,1594.15564,1643547241,3541006.327,472484008.8,189433181.8,-4110612.869
2,Grain farming,12332.59277,4460500000,270414947.5,535734863.3,331900054.9,-17314687.73
3,Vegetable and melon farming,141.1830597,21907266.62,3564428.568,1183363.795,953785.0022,2179.167466
4,Fruit farming,28.18839836,3225376.844,504036.9034,204787.6418,196826.1898,406.5688991
5,Tree nut farming,58.99572372,2933519.602,1556433.082,149359.3305,26085.82191,693.107897
6,"Greenhouse, nursery, and floriculture production",453.7904968,60053249.36,15742055.89,2988431.931,2075986.862,3099.45154
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,868.4354248,125171997.1,35328933.72,7078659.058,5736868.382,-686355.114
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,5368.024902,213817474.4,56352321.62,12112091.06,7681649.685,-3930490.732
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",38972.69922,8301773438,106142662,740468200.7,449820343,93620605.47
12,Dairy cattle and milk production,901.7410889,567323974.6,21519601.82,18395883.56,10466617.58,507440.567
13,Poultry and egg production,128.47966,100412475.6,4936880.112,808584.6901,747034.0133,136623.5018
14,"Animal production, except cattle and poultry and eggs",3500.623535,572618652.3,52470592.5,135864227.3,69654609.68,6519291.401
15,"Forestry, forest products, and timber tract production",124.591774,10477929.12,6919562.34,0,1127888.083,0
16,Commercial logging,317.0005188,20936723.71,7584067.345,642491.0426,1439571.738,649458.8852
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,478.4755859,11075298.31,884609.8781,-65558.06845,-3188787.222,5408720.97
19,Support activities for agriculture and forestry,9665.87793,480170105,204567001.3,260344757.1,-71199371.34,13627584.46
20,Oil and gas extraction,31076.04102,7707803223,143441543.6,535025329.6,-268010528.6,232322235.1
21,Coal mining,106.7533035,25711086.27,2248381.615,1644030.333,-475611.5377,2739446.64
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,1099.814941,196546981.8,57748069.76,4901401.997,-12048786.16,14839223.86
29,Sand and gravel mining,602.0134888,86149009.7,26981166.84,4556093.216,-2275838.614,6859393.597
30,"Other clay, ceramic, refractory minerals mining",49.32196426,8832874.298,3223690.748,64103.75237,-282753.855,536580.0261
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,100.7040863,19855607.99,7931923.866,171777.9785,-414219.3794,1616410.136
34,Other nonmetallic minerals,44.9007988,5208026.409,248797.7892,704144.0606,-21043.79237,546671.3905
35,Drilling oil and gas wells,3422.739502,885223999,66321289.06,40775669.1,-30170732.5,25684976.58
36,Support activities for oil and gas operations,7071.567871,1414881348,171532348.6,62148586.27,-51200763.7,48630573.27
37,Metal mining services,3340.860352,813861694.3,15420812.61,57503025.05,-28605299,24865278.24
38,Other nonmetallic minerals services,3361.961182,811108215.3,16413904.19,57499008.18,-28863862.99,25120939.25
39,Electric power generation - Hydroelectric,4.646152496,3220963.717,808987.7367,0,1158204.556,171536.8629
40,Electric power generation - Fossil fuel,1205.506836,1638503052,168675888.1,-290940.7616,331052917.5,137827423.1
41,Electric power generation - Nuclear,934.0881958,916620727.5,193281021.1,0,173466842.7,68878326.42
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,522.6204224,635698059.1,46286472.32,-294768.1546,253624939,46789337.16
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,0,0,0,0,0,0
