IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2543999.593,4.66275E+11,1.18962E+11,13033664459,65811981656,15592963426
1,Oilseed farming,3761.343262,911369934.1,2038191.319,414586731,287136627.2,-56914791.11
2,Grain farming,8182.842773,922909973.1,58078079.22,175404815.7,187716812.1,-52126808.17
3,Vegetable and melon farming,484.8283081,29464046.48,4976222.992,2518478.632,3506507.158,8203.698322
4,Fruit farming,131.5807037,5566092.014,902896.5831,559228.6587,928480.6252,2080.711536
5,Tree nut farming,48.73084259,1064792.037,586424.3507,85787.49001,25882.15098,627.3163599
6,"Greenhouse, nursery, and floriculture production",1292.865479,80256889.34,21838008.88,6319823.742,7583862.305,9671.480395
7,Tobacco farming,6596.072266,301624786.4,85830345.15,30977195.74,42666229.25,-7823691.368
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,22464.64258,238351715.1,65206764.22,21365348.82,23407207.49,-15292635.92
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",14796.95313,748300964.4,9931186.676,105615493.8,110831840.5,24690198.9
12,Dairy cattle and milk production,760.5979614,176574996.9,6952453.136,9060131.073,8904805.183,3387274.027
13,Poultry and egg production,4674.82959,1283039551,65480308.53,16349092.48,26092327.12,5450236.797
14,"Animal production, except cattle and poultry and eggs",16464.98633,763132019,72586509.7,286520111.1,253748840.3,36503047.94
15,"Forestry, forest products, and timber tract production",195.1695099,16941204.07,7928037.643,4138542.175,974308.3715,93039.49773
16,Commercial logging,2458.808594,235337509.2,15986557.01,133093261.7,803166.6279,3071875.334
17,Commercial fishing,382.8903198,8401369.095,1091972.113,-1515555.501,6665804.863,2018782.377
18,Commercial hunting and trapping,166.2637634,4363461.018,232301.2799,-65881.95264,707146.9426,713487.4463
19,Support activities for agriculture and forestry,10294.77246,429358429,318961822.5,74386329.65,-47772922.52,6214498.52
20,Oil and gas extraction,6371.290039,1600398315,37441127.78,15213459.97,64057044.98,35197216.03
21,Coal mining,6934.900391,2292472412,531526245.1,-155455581.7,471741272,174340499.9
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,38.04394531,7967044.83,28783.06247,-1183616.4,16859.39729,1068012.118
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,1989.052734,499725647,133013473.5,-66058708.19,169220367.4,26438922.88
29,Sand and gravel mining,180.6093903,23690990.45,11598237.04,-9144276.619,4201496.601,2026631.832
30,"Other clay, ceramic, refractory minerals mining",2.205637693,154233.3364,54324.92495,-301937.4609,21122.84675,23827.92346
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,5.60178709,383187.592,86156.84509,-991691.2913,45478.57866,89536.80098
34,Other nonmetallic minerals,0,0,0,0,0,0
35,Drilling oil and gas wells,808.5838623,205966873.2,13476379.39,-6594513.893,9997287.75,4204228.401
36,Support activities for oil and gas operations,1266.48584,239080551.1,19948434.83,-10020771.03,11045865.06,6099056.244
37,Metal mining services,732.8712158,183428375.2,7391674.042,367524.7431,8360549.927,3951608.896
