IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2718723.803,5.52047E+11,1.24267E+11,17687413115,1.00949E+11,19622841742
1,Oilseed farming,897.0314941,564497741.7,640782.7139,257672546.4,130632339.5,-9002479.553
2,Grain farming,2532.08252,656534668,20970504.76,125205978.4,98083526.61,-10686387.06
3,Vegetable and melon farming,374.4735413,46740802.76,4006839.275,4008918.762,4085762.024,8673.291653
4,Fruit farming,87.26665497,7810888.29,643111.5866,787453.0554,957012.1169,1888.883999
5,Tree nut farming,147.2526245,6211942.673,1736492.753,502194.4046,110906.6531,2595.184371
6,"Greenhouse, nursery, and floriculture production",1179.526123,136291305.5,18823360.44,10769016.27,9459558.487,12082.65591
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,1318.964355,166725997.9,24793094.64,14970908.16,15342129.71,-642312.4075
9,Sugarcane and sugar beet farming,2298.487061,360843994.1,41828586.58,58050228.12,36561386.11,-4142195.702
10,All other crop farming,17636.66406,461559417.7,64091476.44,41514953.61,33293048.86,-7958375.931
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1807.353394,236428985.6,1592662.93,33483997.34,25720745.09,4133294.106
12,Dairy cattle and milk production,53.17229843,26143999.1,522491.4551,1346054.196,968415.7372,324129.2238
13,Poultry and egg production,1003.668457,598098022.5,15493206.98,7647354.126,8933871.269,1601740.479
14,"Animal production, except cattle and poultry and eggs",1545.307251,171980743.4,8302987.099,64791862.49,42002849.58,4691968.441
15,"Forestry, forest products, and timber tract production",677.8424072,47537296.3,24552810.67,10816840.17,-1572293.997,516901.6123
16,Commercial logging,4323.793457,342370941.2,145763580.3,61222724.91,-13375036.24,3890543.938
17,Commercial fishing,7390.677246,488726470.9,75515655.52,143932266.2,83385856.63,27543226.24
18,Commercial hunting and trapping,707.5938721,79641166.69,1951851.249,65044815.06,590399.9805,2147818.804
19,Support activities for agriculture and forestry,5764.384766,204724243.2,160339584.4,40447093.96,-42313350.68,2817624.092
