IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,4838024.739,9.30628E+11,3.30167E+11,43556247474,1.81533E+11,26897587729
1,Oilseed farming,0.866713524,161278.2031,0,-1835.098141,0,-1272.841939
2,Grain farming,60.31537628,5241486.073,634394.7053,-137022.7188,1472874.999,-36660.97298
3,Vegetable and melon farming,2247.960449,107576499.9,34944362.64,-14394107.82,17687538.15,309839.4573
4,Fruit farming,2157.762451,71443977.36,22289766.31,-13230401.04,16464773.18,277936.5778
5,Tree nut farming,3.964931011,69132.15667,73228.40393,-13610.56417,2321.578329,415.7543881
6,"Greenhouse, nursery, and floriculture production",2683.366699,134030914.3,70143577.58,-8748187.065,17497690.2,163501.7246
7,Tobacco farming,121.3102493,4399329.662,2407756.567,-422872.4837,859748.4231,-13730.20373
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,2726.153076,22016401.29,11584383.96,-2205002.069,2987069.368,-177054.286
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",264.8823242,10117999.08,258268.6543,-738797.0686,2070382.357,3599251.032
12,Dairy cattle and milk production,193.466629,35147998.81,2661715.984,-1554627.657,2448857.307,7018163.204
13,Poultry and egg production,88.727211,18964248.66,1861480.474,-301144.6893,532814.4431,842601.1205
14,"Animal production, except cattle and poultry and eggs",1149.573608,41498703,7452977.657,-3308714.628,14613244.06,20757204.06
15,"Forestry, forest products, and timber tract production",534.4060059,58323776.25,24296646.12,21725566.86,1500138.879,376478.6124
16,Commercial logging,943.8348999,112833869.9,29512174.61,49093059.54,1804818.273,800529.3012
17,Commercial fishing,5796.739746,516227294.9,254976257.3,207277740.5,19717767.72,25630649.57
18,Commercial hunting and trapping,57.49380493,15220142.36,80709.39779,14230220.79,-54478.84649,207809.1502
19,Support activities for agriculture and forestry,3240.253662,107078880.3,71928276.06,25880987.17,-18285840.99,3140901.566
20,Oil and gas extraction,1687.402588,505711792,0,122070175.2,0,16807.07
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,528.0358887,193850174,27114749.91,1759632.945,95540512.08,6489017.01
29,Sand and gravel mining,866.2781372,170680892.9,42960937.5,3650250.196,43103321.08,8977418.9
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,20.55459595,4704570.293,1276177.406,121292.1962,1373047.113,226790.2941
35,Drilling oil and gas wells,194.7492981,55375579.83,4032391.071,9728984.833,-4182811.26,1267395.854
36,Support activities for oil and gas operations,201.9135742,36562820.43,722942.0543,13409515.38,-11685266.49,315580.0104
37,Metal mining services,184.0173492,45940547.94,295563.4594,13126173.97,-8539697.647,41033.87147
38,Other nonmetallic minerals services,217.6276398,58752098.08,3678985.357,13117806.43,-6570749.283,563386.8575
39,Electric power generation - Hydroelectric,629.0063477,241743789.7,26006517.41,17948131.56,35836360.93,15437473.3
40,Electric power generation - Fossil fuel,4798.208008,6489185547,728975708,36206729.89,1377069458,361766357.4
41,Electric power generation - Nuclear,552.0795288,516325134.3,110117492.7,0,95122207.64,26800477.98
42,Electric power generation - Solar,62.15896988,26543745.04,7603639.603,0,9944063.187,794715.7025
43,Electric power generation - Wind,77.02639771,60000396.73,1635435.82,2522467.375,8625210.762,4579972.744
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,201.6109161,32630672.45,6768344.402,5971727.848,-5659240.723,1573068.976
47,Electric power transmission and distribution,4335.3125,5413917480,600726196.3,46801269.53,1080907959,286832946.8
48,Natural gas distribution,2493.123291,2200274902,472054504.4,529823.4224,631505554.2,67156936.65
49,"Water, sewage and other systems",2014.070313,422840148.9,55894760.13,73417900.09,46033416.75,17016613.01
50,Construction of new health care structures,7813.549805,1230446533,403262542.7,221418777.5,119184692.4,5545868.397
51,Construction of new manufacturing structures,12023.66211,1924113525,616350585.9,349606231.7,102833038.3,8227346.42
52,Construction of new power and communication structures,16627.75,2956853271,836848571.8,497180999.8,404855133.1,14695911.41
53,Construction of new educational and vocational structures,19168.8457,2757007324,1083231934,466010101.3,236835937.5,10244340.9
54,Construction of new highways and streets,15394.8584,3137631592,830348266.6,428666870.1,388637481.7,11526306.15
55,"Construction of new commercial structures, including farm structures",29620.25,4183320801,1465666626,857495361.3,173468856.8,22098625.18
56,Construction of other new nonresidential structures,38137.36328,3020568115,1936923340,1117847168,-1795164795,18598201.75
57,Construction of new single-family residential structures,46978.05859,7508227051,2327029541,1409144165,889973815.9,98761405.94
58,Construction of new multifamily residential structures,14560.33887,1767044678,724939758.3,439272979.7,240493835.4,16194345.47
59,Construction of other new residential structures,32950.64844,6771817871,1672362793,974050293,527937377.9,43586139.68
60,Maintenance and repair construction of nonresidential structures,22296.6875,4666661621,1120527466,671967956.5,289758117.7,29382646.56
