IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,3732976.423,6.63314E+11,2.22514E+11,37574553864,1.39841E+11,25732447304
1,Oilseed farming,592.020874,216506561.3,494637.6979,139104126,73122573.85,-6958290.577
2,Grain farming,1951.788818,285386718.8,19208848.95,80207122.8,65149772.64,-9648391.724
3,Vegetable and melon farming,862.8257446,61540874.48,11116952.9,7778691.292,8220179.558,18164.44844
4,Fruit farming,411.2902527,20965475.08,3637533.426,3114876.032,3925205.946,8091.779426
5,Tree nut farming,3.562713861,86462.52006,50931.88584,10301.11127,2358.841477,57.07027594
6,"Greenhouse, nursery, and floriculture production",3363.584229,224436981.2,65319038.39,26134492.87,23803335.19,31316.23939
7,Tobacco farming,20.86289406,1086595.297,330716.8186,165021.2705,172512.4121,-19199.63025
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,3374.408203,49356426.24,14442179.68,6542329.311,5440143.108,-1783400.178
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",989.5842896,71891990.66,1020516.515,15004754.07,11950995.45,2056751.251
12,Dairy cattle and milk production,535.1973267,149850006.1,6310739.517,11369962.69,8481784.821,2965414.286
13,Poultry and egg production,3099.384521,1048726318,57246303.56,19761175.16,23937026.98,4495892.525
14,"Animal production, except cattle and poultry and eggs",1550.234009,98089515.69,9844175.339,53723079.68,25554609.3,4278136.73
15,"Forestry, forest products, and timber tract production",264.4625549,27508172.99,19565782.55,1258557.32,1479682.803,45136.55975
16,Commercial logging,838.2075195,75205635.07,26406171.8,18735816.96,1608811.617,370607.4655
17,Commercial fishing,1933.956787,52471023.56,3158569.574,12306441.31,9872184.753,4492613.792
18,Commercial hunting and trapping,177.6647339,10451035.5,1716247.32,4326802.731,1286894.441,335304.4391
19,Support activities for agriculture and forestry,3448.296387,108241294.9,76094535.83,21412794.11,-17587099.08,2338952.78
20,Oil and gas extraction,2419.262451,551056823.7,368307.1733,-265367.8954,814996.2425,128420.949
21,Coal mining,213.2774811,102966926.6,16123849.87,1936186.314,40613533.02,5225648.88
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,493.2436218,192452819.8,26514968.87,4998940.468,95735046.39,6405133.724
29,Sand and gravel mining,575.052002,115523330.7,25403720.86,9906179.428,26117532.73,6308246.613
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,47.39177704,6421046.734,199901.5361,1508972.168,220388.2337,555427.3725
35,Drilling oil and gas wells,263.7277527,67820846.56,3842159.986,4041698.456,-1353206.396,988587.0218
