IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,842217.0532,1.22111E+11,36877319054,4961561567,17658126561,5624157391
1,Oilseed farming,1.526938081,418618.8281,0,74222.68391,0,-10600.72798
2,Grain farming,136.0329742,17225681.3,1410491.347,1276014.924,7236387.73,-390515.8043
3,Vegetable and melon farming,3260.166016,224861114.5,49415470.12,7491304.398,55271121.98,88560.66316
4,Fruit farming,1395.549683,66800216.67,14099594.12,2615857.601,23014518.74,35427.67465
5,Tree nut farming,0.3878434,15532.18905,11130.6617,0,779.7759026,12.85953567
6,"Greenhouse, nursery, and floriculture production",984.0145264,70065261.84,24807016.37,2150416.374,13674530.98,11817.02875
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,3438.589111,40712272.64,14492417.34,1422375.441,8257684.708,-1054818.988
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",394.4876099,22175998.69,382956.2366,1219920.993,6783799.648,1056589.365
12,Dairy cattle and milk production,425.8531799,111858001.7,5730823.04,2237018.347,11651018.14,3044616.938
13,Poultry and egg production,275.2333069,85262695.31,5662012.1,423457.5331,3581239.7,515139.7586
14,"Animal production, except cattle and poultry and eggs",1581.681274,88305923.46,10147725.11,11998418.81,56308940.89,5629062.176
15,"Forestry, forest products, and timber tract production",243.0536346,12837429.05,8785214.424,576237.5593,-1413905.025,148504.287
16,Commercial logging,4749.48291,279598968.5,120043312.1,12550117.49,-15423423.77,3297043.324
17,Commercial fishing,7346.93457,485264190.7,81839897.16,363100647,11697303.77,20518819.81
18,Commercial hunting and trapping,0,0,0,0,0,0
19,Support activities for agriculture and forestry,2518.76123,74440704.35,54816856.38,17319440.84,-17624565.12,950688.8986
20,Oil and gas extraction,166.6947632,38473838.81,0,576396.1077,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,402.4831848,64840240.48,9849425.316,677016.3178,3942542.076,2391925.812
29,Sand and gravel mining,429.0912781,43460449.22,4138029.099,1039284.348,471643.6267,2153385.162
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,53.76574326,5212683.201,281844.7351,143677.2048,34448.30328,286934.4652
35,Drilling oil and gas wells,27.80091858,6996228.218,662290.4539,17830.6587,-41995.87181,1395.690488
36,Support activities for oil and gas operations,17.92068291,3061594.486,0,61697.03975,0,0
37,Metal mining services,24.60640526,5774846.077,271118.9389,27645.28058,-9182.49134,495.892833
38,Other nonmetallic minerals services,17.92068291,4011456.013,0,61940.20808,0,0
