IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,5703878.058,1.08025E+12,3.02201E+11,32485935223,1.6733E+11,34262935020
1,Oilseed farming,2927.586426,941442627,2782515.764,-9615808.487,349064605.7,-10206378.94
2,Grain farming,8964.695313,1380406616,114803054.8,-32393173.22,330421966.6,-13161130.91
3,Vegetable and melon farming,6334.157227,541691101.1,120907348.6,-65061996.46,75866859.44,198118.4185
4,Fruit farming,6993.180664,412797515.9,88494888.31,-68620323.18,81035919.19,204410.3444
5,Tree nut farming,16.3913784,513448.894,373712.7483,-90740.57639,14687.59961,390.0340816
6,"Greenhouse, nursery, and floriculture production",8608.842773,775128234.9,278739013.7,-45414539.34,86198501.59,119032.912
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,1582.862671,165917007.4,50077171.33,-8430686.951,26935033.8,-992641.3894
10,All other crop farming,5166.025879,73583404.54,26604049.68,-6615320.683,8504117.966,-810357.3918
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",8453.391602,567863952.6,9960076.332,-37220581.05,98980720.52,26063369.75
12,Dairy cattle and milk production,5138.064453,1664031982,86589263.92,-66068702.7,98758605.96,42296352.39
13,Poultry and egg production,1351.642212,514019775.4,34669216.16,-7327026.367,12301856.04,2912795.544
14,"Animal production, except cattle and poultry and eggs",9529.322266,596650939.9,75001525.88,-43497734.07,233476287.8,39044189.45
15,"Forestry, forest products, and timber tract production",700.9455566,49523681.64,27616506.58,5566377.163,1289142.37,1377931.356
16,Commercial logging,4520.962402,318703674.3,112255775.5,47952232.36,-5409718.037,12430073.74
17,Commercial fishing,736.1161499,11602238.66,4018580.437,-2536200.285,1349410.892,8576603.889
18,Commercial hunting and trapping,418.8916626,22622629.17,5294533.73,-117580.8311,6850992.203,3963336.945
19,Support activities for agriculture and forestry,10250.33203,410812194.8,265084686.3,113504081.7,-57904106.14,12893686.29
20,Oil and gas extraction,10247.7334,2441331787,42055751.8,75920.71593,22569492.34,46845973.97
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",75.9473877,117592071.5,2876935.005,-585926.2943,69824287.41,6797801.495
23,Iron ore mining,997.8470459,551286621.1,121248779.3,-1198462.963,175100036.6,19040630.34
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,916.5321655,588376709,63380836.49,-3936223.507,409847259.5,9826628.685
29,Sand and gravel mining,2285.161133,519958252,114791107.2,-16804113.39,211362182.6,20708908.08
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,49.00987244,14769795.42,3843340.158,-37512.52964,4019548.416,777070.2839
33,Other chemical and fertilizer mineral mining,70.77005005,18528896.33,2998234.749,-833588.5406,8044327.736,909464.4785
34,Other nonmetallic minerals,132.9920654,30106267.93,6230823.994,-751961.8273,12302743.91,1278352.261
35,Drilling oil and gas wells,1176.68811,303921203.6,29674850.46,2121378.422,-4203464.985,7277530.67
36,Support activities for oil and gas operations,2552.573242,559875183.1,124356994.6,9280922.89,-17183099.75,16123203.28
37,Metal mining services,1237.038574,304233917.2,23110177.99,55453.9822,-696907.2223,6029233.456
38,Other nonmetallic minerals services,1185.453613,280100738.5,12685867.31,130748.0037,336467.2065,5687091.827
39,Electric power generation - Hydroelectric,509.3757629,277935607.9,58984767.91,13541933.06,69049095.15,17710235.6
40,Electric power generation - Fossil fuel,6562.336914,9067844727,1113718384,12386112.21,1787288208,704081420.9
41,Electric power generation - Nuclear,2602.291016,2456272217,539903076.2,0,396203094.5,180156021.1
42,Electric power generation - Solar,78.27050781,21357040.41,220496.4608,9119277.954,244974.2258,1445190.907
43,Electric power generation - Wind,103.0192719,90078491.21,2702000.618,9514466.286,12105928.42,8730656.624
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,126.9979324,65566467.29,11067721.37,3178879.976,15319036.48,3428030.729
46,Electric power generation - All other,47.61675262,6838022.232,8699513.435,0,-8047957.42,523597.8961
47,Electric power transmission and distribution,8148.712402,10556007813,1303239014,39398223.88,2004939697,820284301.8
48,Natural gas distribution,3057.692383,2165542725,346674743.7,45067653.66,393666717.5,118081359.9
49,"Water, sewage and other systems",1087.844727,303390594.5,49648929.6,78388504.03,36424304.96,14442785.26
50,Construction of new health care structures,8157.038086,1230493164,340165252.7,165245407.1,217981018.1,4920237.541
51,Construction of new manufacturing structures,13873.48926,2113072998,622857605,267789093,234593750,10411414.15
52,Construction of new power and communication structures,17871.77344,3238742676,737218505.9,368544372.6,818369506.8,21313255.31
53,Construction of new educational and vocational structures,20764.80469,2797895996,962925964.4,347537872.3,437628906.3,9133517.265
54,Construction of new highways and streets,16365.0791,3325712158,704546875,321435638.4,716709594.7,11391995.43
55,"Construction of new commercial structures, including farm structures",32203.61133,4079506348,1277001099,638149719.2,320735137.9,33850303.65
56,Construction of other new nonresidential structures,40357.92969,3520208740,1639518555,831271423.3,-812762695.3,18367340.09
57,Construction of new single-family residential structures,49724.79688,7185667969,1962158447,1065883911,1128126709,83443885.8
58,Construction of new multifamily residential structures,15342.09766,1691702271,610896789.6,329674957.3,372578277.6,13823745.73
59,Construction of other new residential structures,34579.91016,6885334473,1408138428,727359130.9,980683288.6,39548572.54
60,Maintenance and repair construction of nonresidential structures,23531.65625,4720853027,952943237.3,503057861.3,541086364.7,27222139.36
61,Maintenance and repair construction of residential structures,11569.84375,2407430908,447800201.4,215699752.8,320314941.4,40183292.39
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",8555.783203,881867126.5,353149841.3,180741272,-129973815.9,6547545.433
63,Dog and cat food manufacturing,145.8116302,209539047.2,13212024.69,493182.1525,39371833.8,2096981.287
64,Other animal food manufacturing,825.9829712,839289672.9,52385566.71,3171382.904,35551555.63,11703681.95
65,Flour milling,567.6602783,660546936,48716060.64,210984.6026,54997646.33,2134216.785
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,0,0,0,0,0,0
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,136.5670166,644388916,11518599.51,83949.17101,48979835.51,2076996.803
70,Fats and oils refining and blending,35.91200256,57869571.69,3082495.213,19251.0765,3169071.913,190363.7499
71,Breakfast cereal manufacturing,2372.99585,2122066406,223239944.5,101721.5997,350142974.9,7669311.523
72,Beet sugar manufacturing,971.9002075,644369262.7,67757942.2,43411.97386,83964126.59,3730288.506
73,Sugar cane mills and refining,45.84905243,47658126.83,4083582.878,132145.9711,5578039.646,166039.8096
74,Nonchocolate confectionery manufacturing,373.1846619,150667633.1,18365715.03,1354115.367,9342716.217,521296.382
75,Chocolate and confectionery manufacturing from cacao beans,77.92501831,46242527.01,1766512.156,347768.5452,2129195.929,217836.4098
76,Confectionery manufacturing from purchased chocolate,822.6556396,270766754.2,29065174.1,2326488.256,13940950.39,998369.0977
77,"Frozen fruits, juices and vegetables manufacturing",1239.633179,563009155.3,72115921.02,897094.1305,67544738.77,2010659.218
78,Frozen specialties manufacturing,1628.50354,637388488.8,104040634.2,577134.0728,59548278.81,1716563.344
79,Canned fruits and vegetables manufacturing,3785.893066,1859599976,201653335.6,2882060.051,180109756.5,5596524.715
80,Canned specialties,148.4440765,129639801,11474884.99,544401.4072,18085220.34,347390.2047
81,Dehydrated food products manufacturing,736.460022,344851440.4,49305324.55,187702.5962,46320659.64,1066680.193
82,Cheese manufacturing,681.7886963,618592773.4,45180404.66,552634.0008,20005298.61,2099054.575
