IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,3798310.644,6.9573E+11,2.15481E+11,22844956838,1.11131E+11,24104837580
1,Oilseed farming,5442.952148,3367904785,5518290.997,-4325953.96,1100703979,-1178975.582
2,Grain farming,18416.76953,5290210938,243904830.9,-15611679.08,1116178467,7335754.395
3,Vegetable and melon farming,1773.906494,273796569.8,33878952.03,-4135554.79,33800815.58,31072.08759
4,Fruit farming,212.2745209,22823474.88,2712463.617,-477120.012,3949308.634,3474.848811
5,Tree nut farming,4.252925873,235623.1362,95073.53604,-5236.636382,5941.14745,56.6747658
6,"Greenhouse, nursery, and floriculture production",1869.911865,294015991.2,58613300.32,-2166319.37,28820129.39,14480.45112
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,2814.078613,535708984.4,89635253.91,-3423191.309,76657447.81,-7411484.718
10,All other crop farming,2164.04248,58570713.04,11739494.32,-662188.5896,5966624.26,-1426021.814
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",16108.15332,2080112793,20225826.26,-17145725.25,319589141.8,21107992.17
12,Dairy cattle and milk production,2759.323975,1628219971,46969554.9,-8129753.113,85177551.27,18540870.67
13,Poultry and egg production,1515.173462,1057653687,39546554.57,-1895926.714,22311721.8,2850684.881
14,"Animal production, except cattle and poultry and eggs",24372.95703,2879944580,200694229.1,-26403442.38,993357055.7,12310894.01
15,"Forestry, forest products, and timber tract production",459.3229065,32202415.47,19970922.47,844568.3718,1934278.488,492386.4007
16,Commercial logging,2540.08667,158882690.4,62910419.46,6985485.554,-588047.9813,4468976.498
17,Commercial fishing,643.6848755,11875934.6,856809.1393,535912.2157,5319023.132,4965772.629
18,Commercial hunting and trapping,396.5990906,25070262.91,5064284.801,1133798.718,10225047.11,2482878.208
19,Support activities for agriculture and forestry,10122.36621,440001098.6,240858978.3,157672088.6,-44062438.96,9262803.078
20,Oil and gas extraction,3059.182617,727749267.6,4796583.652,58179325.1,-34888278.96,4167710.304
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",171.6410828,342617553.7,13292296.41,-3976994.276,221081359.9,24806407.93
23,Iron ore mining,3732.500488,1913868530,461121826.2,-5811313.629,456352233.9,115038353
24,Gold ore mining,9.785814285,2758068.562,133285.9844,-71390.68842,271939.4565,356923.0735
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,1.29088819,71932.80756,17128.326,-152006.1344,23294.21975,20197.98011
27,Other metal ore mining,28.8762188,5671967.506,15716.08521,-627324.1639,35860.98552,721875.3695
28,Stone mining and quarrying,556.166748,266591369.6,36871723.18,-9617533.684,163392898.6,9644590.378
29,Sand and gravel mining,1913.519653,356005188,97049072.27,-50556552.89,122457702.6,28038717.27
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,157.7857819,23610853.2,5242542.267,-4287104.607,7093720.913,2456019.64
35,Drilling oil and gas wells,275.7690735,64619331.36,640926.5399,3146737.576,-3128908.396,905708.4322
36,Support activities for oil and gas operations,379.0464172,66343872.07,1463159.8,5284903.526,-4836872.578,980842.948
37,Metal mining services,432.5758362,105046363.8,6360809.803,2844664.097,-2098700.762,1518419.981
38,Other nonmetallic minerals services,377.1840515,89264999.39,2774388.79,5339527.13,-2940589.428,964571.0588
39,Electric power generation - Hydroelectric,505.803009,259717712.4,59858654.02,0,65160911.56,16880786.9
40,Electric power generation - Fossil fuel,1987.572266,2651543945,319064056.4,219942.674,476144897.5,205330352.8
41,Electric power generation - Nuclear,1402.655151,1228728271,245455520.6,0,167500808.7,93495971.68
42,Electric power generation - Solar,27.77391815,10720172.88,3230499.268,0,3337570.667,487580.3888
43,Electric power generation - Wind,573.0908203,524749816.9,30722927.09,2121655.703,128002151.5,46673553.47
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,386.0351563,173564163.2,27770481.11,972160.1009,35743633.27,10066480.64
46,Electric power generation - All other,245.7840576,33550094.6,41275280,77274.46407,-39637027.74,2604460.001
47,Electric power transmission and distribution,6538.10498,8239095703,1016486511,2889689.207,1457822021,636379211.4
48,Natural gas distribution,1845.831299,1258217529,207410095.2,1288209.438,219106475.8,68552169.8
49,"Water, sewage and other systems",744.1914063,128692504.9,16924709.32,4130015.85,12713150.02,9764069.557
50,Construction of new health care structures,5410.13623,834330505.4,260258453.4,117946617.1,117976608.3,5078293.8
51,Construction of new manufacturing structures,9144.146484,1417171509,452693145.8,187842224.1,124928421,7480326.653
52,Construction of new power and communication structures,11983.82129,2227716064,584763000.5,256194885.3,494561218.3,24983713.15
53,Construction of new educational and vocational structures,13788.0293,1897910889,708138916,247768371.6,243130401.6,7858637.333
54,Construction of new highways and streets,11126.59863,2270970459,561074462.9,229311233.5,401736511.2,10300111.77
55,"Construction of new commercial structures, including farm structures",21025.14648,2804717529,972145080.6,454536254.9,172583053.6,23887342.45
56,Construction of other new nonresidential structures,27007.7793,2194312012,1282232666,591606323.2,-927806640.6,14387876.51
57,Construction of new single-family residential structures,32925.31641,4915422852,1522682739,757183898.9,626040405.3,58782920.84
58,Construction of new multifamily residential structures,10160.77148,1165646851,474672943.1,234866958.6,204517791.7,10036540.03
59,Construction of other new residential structures,22935.72852,4651398926,1089127075,519137390.1,534971984.9,34436874.39
60,Maintenance and repair construction of nonresidential structures,15597.78027,3205135498,740213867.2,360085418.7,293944091.8,23508977.89
61,Maintenance and repair construction of residential structures,7642.513672,1614695435,341785461.4,154465042.1,177319473.3,27292478.56
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",5678.293457,564011108.4,273790283.2,130035980.2,-158195053.1,5520104.885
63,Dog and cat food manufacturing,444.6551819,591504760.7,31200693.13,5906837.463,76162971.5,7495342.731
64,Other animal food manufacturing,1878.424805,1968141357,162310302.7,20366359.71,87931686.4,22658742.9
65,Flour milling,499.886261,589510131.8,48957748.41,4783882.618,45274822.24,2206983.328
66,Rice milling,36.17809677,25610364.91,2474135.16,85726.42505,1552863.717,73411.72546
67,Malt manufacturing,140.2344513,221727127.1,14657445.91,333396.9116,22779926.3,1030969.381
68,Wet corn milling,266.9847717,494288116.5,26046689.99,257899.5824,29197528.84,2485641.718
69,Soybean and other oilseed processing,618.052124,2907832764,58040695.19,3895655.632,202168548.6,11033934.59
70,Fats and oils refining and blending,266.3277893,416144165,17624423.98,769340.3363,14842532.16,1656974.316
71,Breakfast cereal manufacturing,1417.109863,1269954712,150411727.9,712113.4996,193249588,5376454.83
72,Beet sugar manufacturing,1600.923706,1071810303,128388504,607950.3894,130323593.1,7212955.475
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,988.237854,428751220.7,68816131.59,8996305.466,28676023.48,1618326.306
75,Chocolate and confectionery manufacturing from cacao beans,119.0001144,82672401.43,7690269.47,3194751.024,7592834.473,390016.1088
76,Confectionery manufacturing from purchased chocolate,331.0694885,118577438.4,10456213.95,13219252.59,4108253.956,471788.8832
77,"Frozen fruits, juices and vegetables manufacturing",793.4138184,362577087.4,49967369.08,3664407.015,38336303.71,1510435.224
78,Frozen specialties manufacturing,1892.601196,719418518.1,110365333.6,6996097.088,51744274.14,2341813.803
79,Canned fruits and vegetables manufacturing,2485.258301,1255581909,156900207.5,15011964.8,114793884.3,4312243.462
80,Canned specialties,318.15979,261413269,20516195.3,948185.3247,26487176.9,872549.355
81,Dehydrated food products manufacturing,107.3933258,49904075.62,4030338.764,6428926.468,3101600.409,183148.9056
82,Cheese manufacturing,2496.262939,2286480225,186719680.8,6512415.409,67724899.29,9018095.97
83,"Dry, condensed, and evaporated dairy product manufacturing",745.2608032,969887695.3,50620018.01,1858300.686,71786476.14,3993937.969
84,Fluid milk manufacturing,1137.100708,851041015.6,93141166.69,2473447.323,54881492.61,3897024.632
85,Creamery butter manufacturing,266.2015076,476041015.6,16459981.92,303274.0355,44110351.56,3344119.31
86,Ice cream and frozen dessert manufacturing,426.5481262,201142074.6,34713668.82,4961194.515,17844118.12,909751.4153
87,Frozen cakes and other pastries manufacturing,3275.051025,296185394.3,102998107.9,12655826.57,23846111.3,25581724.17
88,Poultry processing,6968.866699,2181715576,377435730,5244748.592,111757698.1,7885427.952
89,"Animal, except poultry, slaughtering",5137.567871,3540756592,306450836.2,22594713.21,95797515.87,17497764.59
90,Meat processed from carcasses,5395.255859,2823124512,351976135.3,9327262.878,21504228.59,11898281.1
91,Rendering and meat byproduct processing,413.8542786,157447509.8,31901891.71,3549205.542,-2847254.515,856772.4824
92,Seafood product preparation and packaging,499.2407837,215164260.9,23167114.26,21587141.04,5304121.494,1038830.638
93,"Bread and bakery product, except frozen, manufacturing",7506.863281,1101859375,273174194.3,99297462.46,74934272.77,28331300.74
94,Cookie and cracker manufacturing,15.58518028,7113453.388,768007.6361,1921326.637,316195.6668,24579.98693
95,"Dry pasta, mixes, and dough manufacturing",296.2970886,179264190.7,21810033.8,3703776.36,26621110.92,794766.4857
96,Tortilla manufacturing,561.5419312,131878646.9,32904769.9,2851060.629,6257241.726,583094.8949
97,Roasted nuts and peanut butter manufacturing,407.1391602,191766067.5,27584640.5,3661725.998,22687217.71,483803.2126
98,Other snack food manufacturing,1416.893433,752516052.2,95461990.36,10603425.03,96390892.03,3880558.729
99,Coffee and tea manufacturing,290.3338318,196750030.5,13489276.89,16566743.85,11944077.49,828090.6677
100,Flavoring syrup and concentrate manufacturing,32.72809219,105103683.5,4780609.131,744321.5251,34965896.61,352230.0422
101,"Mayonnaise, dressing, and sauce manufacturing",92.81388092,54319038.39,6063589.096,2421996.593,5071343.899,219434.4252
102,Spice and extract manufacturing,296.2277527,166854827.9,19576313.02,6043432.236,9702466.011,720668.5543
103,All other food manufacturing,3943.25415,1501835571,241735031.1,82775642.4,78499153.14,5219154.835
104,Bottled and canned soft drinks & water,886.5629272,683111389.2,78929336.55,1063678.145,74896003.72,4250189.304
105,Manufactured ice,121.6579285,15759023.67,5258989.811,183065.2356,-3339856.148,110099.6956
106,Breweries,2557.77002,1085084717,98781997.68,8717279.434,124869262.7,67782928.47
107,Wineries,381.3591003,110840461.7,8465979.576,1986428.738,5113866.329,2719909.668
108,Distilleries,458.9342346,457127227.8,27790790.56,2029677.391,66953323.36,83866401.67
