IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,1601813.037,2.60624E+11,61035343075,8105777737,38624366149,9981854176
1,Oilseed farming,3139.160645,1103636963,1223199.129,469506622.3,201705413.8,-28198736.19
2,Grain farming,2610.062744,444320282,13857015.61,78971984.86,52424873.35,-9874420.166
3,Vegetable and melon farming,1153.612183,110432640.1,9243268.967,8827507.973,7623900.89,28274.31634
4,Fruit farming,166.1640778,10940799.71,879543.6025,1027975.798,1058690.429,3805.906745
5,Tree nut farming,165.6225739,5853367.805,1597620.726,441021.502,82535.12532,3088.165773
6,"Greenhouse, nursery, and floriculture production",562.3936768,57422443.39,7743423.462,4228623.867,3147655.725,6093.243137
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,5136.45166,578697998,84023689.27,48429096.22,42056888.58,-2241928.339
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,10090.70703,157838012.7,21399648.67,13231164.93,8991670.609,-4078668.118
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",2999.051514,220328979.5,1449162.722,29081562.04,18930292.13,7244511.127
12,Dairy cattle and milk production,61.06919861,22059000.02,430442.6908,1058487.892,645325.0051,393929.3027
13,Poultry and egg production,6781.371094,2868282959,72545967.1,34179866.79,33837024.69,11451275.83
14,"Animal production, except cattle and poultry and eggs",4560.89209,314373931.9,14819153.79,110381607.1,60638484.95,14642032.62
15,"Forestry, forest products, and timber tract production",535.272583,35450092.32,13068275.45,11458580.97,-301288.5153,782671.5112
16,Commercial logging,6163.680664,476070251.5,144729003.9,124583152.8,-10130064.96,10373409.27
17,Commercial fishing,1225.898926,282300476.1,30444095.61,17245824.81,162191375.7,8359589.577
18,Commercial hunting and trapping,255.868988,26555837.63,1447647.095,16921609.88,3113348.722,1420948.863
19,Support activities for agriculture and forestry,7052.131348,289844329.8,218145629.9,55311511.99,-41827377.32,5078398.228
20,Oil and gas extraction,8519.191406,2178255127,55702133.18,127899345.4,-28398778.92,86245353.7
21,Coal mining,287.3099976,115911987.3,24761806.49,31736.18391,33175384.52,5314236.641
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,113.1643143,16814182.28,742089.5696,39592.77272,1425173.64,1117201.924
29,Sand and gravel mining,932.1484375,124937622.1,25521486.28,267362.5946,13956368.45,7729517.937
30,"Other clay, ceramic, refractory minerals mining",161.365387,34247875.21,9859506.607,12342.26674,5787126.064,1278236.032
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,10.24228096,1087349.176,89277.8784,4435.594659,52353.74346,90558.85673
35,Drilling oil and gas wells,1484.369995,445872345,82268013,9473590.851,340371.4001,14387696.27
36,Support activities for oil and gas operations,3121.724121,706043273.9,144146835.3,13053942.68,-171538.0102,26441782
37,Metal mining services,915.8640137,230080413.8,5988307.953,13746263.5,-3031058.55,9230776.787
38,Other nonmetallic minerals services,923.9990234,230292495.7,6605534.077,13744215.97,-3035977.125,9339796.066
39,Electric power generation - Hydroelectric,0,0,0,0,0,0
40,Electric power generation - Fossil fuel,1019.730042,1440960449,147684585.6,0,348544616.7,97791099.55
41,Electric power generation - Nuclear,690.3361206,652688049.3,122394660.9,0,132089569.1,42725723.27
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,0,0,0,0,0,0
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,4470.027832,5525855957,507463439.9,-451079.2792,1135905151,378679931.6
48,Natural gas distribution,1058.671997,620893371.6,56181354.52,-1981277.108,93260749.82,36469234.47
49,"Water, sewage and other systems",1930.984985,372519744.9,65669227.6,-1796602.726,66929023.74,20748386.38
50,Construction of new health care structures,2420.193604,292351898.2,68623703,39066596.98,33831741.33,1832649.827
51,Construction of new manufacturing structures,4677.572754,620692077.6,171973846.4,63117813.11,50785926.82,5268075.943
52,Construction of new power and communication structures,5598.212402,790387939.5,165241180.4,87797569.27,122428230.3,9804408.073
53,Construction of new educational and vocational structures,6397.564453,688419799.8,209411300.7,81891380.31,72823776.25,3666651.964
54,Construction of new highways and streets,5144.331055,846985656.7,156230606.1,75938285.83,115963577.3,4814901.352
55,"Construction of new commercial structures, including farm structures",9752.016602,1031734619,268509735.1,150729919.4,51988601.68,12465072.63
56,Construction of other new nonresidential structures,12737.14648,914157653.8,360793304.4,202109481.8,-237293716.4,6632434.368
57,Construction of new single-family residential structures,15126.33105,1784880371,411565856.9,249368713.4,212197570.8,15555576.32
58,Construction of new multifamily residential structures,4667.057129,382968505.9,128261474.6,77591499.33,63189422.61,2975900.65
59,Construction of other new residential structures,10541.00293,1775352173,297269409.2,171843429.6,153204818.7,16138099.67
60,Maintenance and repair construction of nonresidential structures,7130.946777,1229354736,198944793.7,118590072.6,83923782.35,10745542.53
61,Maintenance and repair construction of residential structures,3457.593018,626579284.7,94890296.94,51384994.51,53778717.04,13092954.64
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",2575.310059,218892990.1,72936126.71,42438182.83,-40687469.48,2313000.441
63,Dog and cat food manufacturing,162.9970703,220777465.8,11330183.03,166432.2913,32785373.69,3936901.569
64,Other animal food manufacturing,489.8838501,493350402.8,28164148.33,2302683.592,18727655.41,7357020.855
65,Flour milling,0,0,0,0,0,0
66,Rice milling,332.3253479,233955505.4,20680080.41,123680.8226,15386003.49,966696.62
67,Malt manufacturing,0,0,0,0,0,0
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,112.2624359,525881225.6,8670549.393,335830.2414,35800678.25,2873945.236
70,Fats and oils refining and blending,0,0,0,0,0,0
71,Breakfast cereal manufacturing,0,0,0,0,0,0
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,7.567302704,3099902.391,96124.69375,483062.6845,47481.81254,17940.42625
75,Chocolate and confectionery manufacturing from cacao beans,0,0,0,0,0,0
76,Confectionery manufacturing from purchased chocolate,52.76668549,16887489.32,347352.8922,1874339.938,161777.2132,108282.9833
77,"Frozen fruits, juices and vegetables manufacturing",0,0,0,0,0,0
78,Frozen specialties manufacturing,474.9040833,168115356.4,18345382.69,1230965.495,10195769.31,842716.0382
79,Canned fruits and vegetables manufacturing,11.08253098,5279992.104,82916.0288,796003.4013,71911.33499,27875.74939
80,Canned specialties,0,0,0,0,0,0
81,Dehydrated food products manufacturing,42.73212814,17946172.71,1556868.434,476482.2423,1420233.607,104391.18
82,Cheese manufacturing,0,0,0,0,0,0
83,"Dry, condensed, and evaporated dairy product manufacturing",0,0,0,0,0,0
84,Fluid milk manufacturing,453.406189,319191101.1,22641660.69,726125.7768,15814524.65,2228239.775
85,Creamery butter manufacturing,0,0,0,0,0,0
86,Ice cream and frozen dessert manufacturing,7.544670105,3233931.541,69922.01507,573831.3198,42606.13397,23296.08984
87,Frozen cakes and other pastries manufacturing,1257.016479,106771476.7,30951816.56,4608019.829,8526105.881,12365882.87
