IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,680772.0615,1.05316E+11,26800500056,4712013345,15694843620,3246988973
1,Oilseed farming,106.7348328,71612922.67,204488.2476,-14725.94216,26750905.99,-154013.7827
2,Grain farming,6320.799805,1487843018,119546455.4,-702915.8473,358801422.1,-3830898.762
3,Vegetable and melon farming,574.0021973,57968070.98,12500373.84,-140172.9584,8179455.757,45778.4757
4,Fruit farming,55.87595367,4161036.491,861818.552,-13925.69765,822957.0389,4164.170008
5,Tree nut farming,0.142536715,5699.5661,4007.888958,0,164.2595307,10.69098744
6,"Greenhouse, nursery, and floriculture production",360.4259338,31043861.39,10785322.19,-36618.18802,3478060.007,12719.94319
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,473.0419312,61220001.22,17851528.17,-62627.50924,10012790.68,-122423.9096
10,All other crop farming,10634.01172,275657714.8,96287796.02,-498931.5271,32096282.96,-689419.21
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",9940.463867,1378007935,23350879.67,-1818403.602,241987640.4,78362449.65
12,Dairy cattle and milk production,107.0668106,43840000.15,2203972.101,-35043.25077,2621313.572,2247155.905
13,Poultry and egg production,82.78730011,42109539.03,2743960.381,-12084.48503,1015328.169,454877.5852
14,"Animal production, except cattle and poultry and eggs",2374.669434,252797241.2,30701192.86,-371037.9601,99662078.86,24831153.87
15,"Forestry, forest products, and timber tract production",101.9414902,9696932.793,6391445.16,1090919.375,124275.9675,101664.9082
16,Commercial logging,1402.333374,114224845.9,33587032.32,32475547.79,-1190433.145,2367376.328
17,Commercial fishing,593.899292,17170776.37,93719.48242,5168177.605,7473791.599,4148208.141
18,Commercial hunting and trapping,324.2476807,19296194.08,60541.27961,12111091.61,204790.3836,1842517.853
19,Support activities for agriculture and forestry,5383.192871,206046890.3,151539810.2,31021570.21,-20870409.01,3794826.269
