IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,6020601.263,1.03971E+12,2.98511E+11,37070481232,1.98089E+11,36917221868
1,Oilseed farming,602.4086304,465798400.9,786785.543,414408081.1,35146476.75,-108443046.6
2,Grain farming,1688.643188,519602417,24696315.77,193135803.2,25310743.33,-2741264.82
3,Vegetable and melon farming,3214.704102,463174560.5,59082695.01,77428359.99,13201307.3,-1574.36647
4,Fruit farming,1020.997864,106222900.4,13014093.4,20872127.53,4243561.745,-248.0777621
5,Tree nut farming,33.90047455,1628458.738,677379.6082,256593.3764,9479.867294,4.652354164
6,"Greenhouse, nursery, and floriculture production",4662.966309,608883728,125133384.7,93770561.22,13779465.68,-3515.068442
7,Tobacco farming,4600.006836,478547821,102850708,96119148.25,16211847.31,-10803705.22
8,Cotton farming,1969.831299,281058990.5,62192028.05,49188838.96,8432864.189,-2867811.441
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,17148.74023,543023437.5,112202117.9,95196228.03,12771438.6,-23133987.43
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1562.783081,250882980.3,2514804.125,69251953.13,8899167.061,-2183800.936
12,Dairy cattle and milk production,283.5687866,162100997.9,4820617.676,16266738.89,1957811.236,-3195191.622
13,Poultry and egg production,7347.008301,5120818359,197386810.3,127615219.1,24940319.06,-29382390.98
14,"Animal production, except cattle and poultry and eggs",17287.4043,2310289063,165970413.2,1696411621,183975753.8,-813119.3519
15,"Forestry, forest products, and timber tract production",632.0091553,51153553.01,30531501.77,4517762.184,3197639.465,577705.3237
16,Commercial logging,6170.667969,478764892.6,164997589.1,93158065.8,3432643.175,10427736.28
17,Commercial fishing,2596.059814,100331878.7,1045757.651,10707592.01,64950965.88,18542242.05
18,Commercial hunting and trapping,348.7896118,41780727.39,1048356.533,5839431.763,28063522.34,2025297.642
19,Support activities for agriculture and forestry,15922.60742,698858398.4,498075500.5,71533264.16,-4016771.317,13293268.2
20,Oil and gas extraction,4236.002441,976085327.1,434351.8019,22377738.95,-12614633.56,2848211.765
21,Coal mining,110.4041595,29891241.07,3767274.618,959411.6211,2579774.141,2361185.789
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,14.48729229,4052682.877,175930.3659,393127.4712,79509.87667,343589.8125
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,503.7368469,157069229.1,32932029.72,2982402.325,16645196.91,8113010.406
28,Stone mining and quarrying,2141.345215,531299926.8,124366592.4,5482656.479,122077598.6,24106973.65
29,Sand and gravel mining,694.1808472,106991653.4,30860502.24,3218031.645,8625617.981,6600069.046
30,"Other clay, ceramic, refractory minerals mining",112.1977997,22786256.79,7451626.778,44958.06992,2235525.37,1017881.87
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,126.1817551,17720209.12,4103135.586,631785.7504,1229817.152,1274823.427
35,Drilling oil and gas wells,497.5674133,127957267.8,10259405.14,3773885.965,-2682973.862,2837674.141
36,Support activities for oil and gas operations,583.9168091,109667976.4,8685097.694,4269162.178,-2884385.109,1851247.43
