IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,584669.9044,1.10747E+11,29558437940,3292650254,18114899566,4191019566
1,Oilseed farming,4383.035156,2708029785,3860796.213,-5795886.04,885329162.6,-6326776.028
2,Grain farming,13406.14355,3880745117,155682998.7,-19082534.79,819061218.3,-8147298.813
3,Vegetable and melon farming,1795.690186,282001434.3,30362112.05,-7097434.998,34824996.95,190679.8035
4,Fruit farming,3.532396555,385413.7361,39855.47647,-13425.09408,66712.47631,350.541668
5,Tree nut farming,0,0,0,0,0,0
6,"Greenhouse, nursery, and floriculture production",53.13243484,8580144.882,1488327.503,-105339.3036,841317.9517,2494.267654
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,1494.243652,288906005.9,42061538.7,-3076118.946,41354480.74,-387869.3581
10,All other crop farming,659.6975708,17895467.76,3120977.402,-337123.1258,1823609.471,-42841.66172
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",8038.302246,1036770874,8771640.778,-14239544.87,159341354.4,84164939.88
12,Dairy cattle and milk production,90.367836,54108001.71,1358136.773,-450163.2452,2831484.079,2525570.631
13,Poultry and egg production,36.24870682,25619987.49,833532.8698,-76524.63764,540641.129,265210.4497
14,"Animal production, except cattle and poultry and eggs",1397.299072,165818252.6,10054530.14,-2533104.42,57212924.96,19439714.43
15,"Forestry, forest products, and timber tract production",91.92901611,6262685.299,2881893.635,1334347.367,188080.743,65054.51351
16,Commercial logging,41.92647171,4435191.631,2670218.706,0,360222.0118,0
17,Commercial fishing,97.01980591,3558315.992,581584.3344,674030.1847,883750.0811,457571.1489
18,Commercial hunting and trapping,116.4967194,5798140.526,92284.26963,3687121.63,-288243.8302,447326.3621
19,Support activities for agriculture and forestry,4438.969727,198697921.8,110270431.5,90378196.72,-37703624.73,2306325.674
20,Oil and gas extraction,6696.435059,3512325684,341149749.8,5851908.684,801707702.6,841206237.8
21,Coal mining,1136.091797,486327026.4,160639816.3,-59315.30148,-26115560.53,143755233.8
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,38.09452057,7349036.694,434707.6416,-135626.7333,-69705.47885,2578478.336
29,Sand and gravel mining,955.4610596,188371109,59869514.47,-1139672.637,-3881059.17,54122127.53
30,"Other clay, ceramic, refractory minerals mining",26.57518959,6396747.589,2277322.292,-17302.2449,-153512.4034,1439438.701
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,46.82511139,6597159.863,67736.21589,-199277.9076,-4403.137602,2843814.611
35,Drilling oil and gas wells,3315.740967,1489713013,390763855,4983297.825,257119293.2,78699157.71
36,Support activities for oil and gas operations,14472.72559,4918246582,1644963379,45353565.22,650215148.9,155000274.7
37,Metal mining services,719.9066772,374330535.9,36675613.4,628946.7812,86525077.82,90033683.78
38,Other nonmetallic minerals services,750.401062,384277313.2,39731819.15,628853.0827,87920768.74,90615966.8
39,Electric power generation - Hydroelectric,0,0,0,0,0,0
40,Electric power generation - Fossil fuel,1088.808472,1369964966,171208953.9,0,248771011.4,45671535.49
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,17.85206032,18602706.91,1608860.612,0,6526572.704,585417.8071
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
