IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,1328928.985,2.55789E+11,61924076784,13746246176,42321958148,7334981996
1,Oilseed farming,1682.045776,2774464355,5891726.494,1216477173,219841064.5,-7985331.059
2,Grain farming,14807.96484,6741040039,402803253.2,1234847046,344831176.8,23784769.06
3,Vegetable and melon farming,538.203186,92774894.71,14878224.37,7643292.427,2776825.666,13395.84216
4,Fruit farming,17.67881012,2310102.94,355821.4307,223704.3828,96914.67881,411.1129383
5,Tree nut farming,3.187877655,167731.8364,87715.4097,13025.03143,1025.384758,60.41787128
6,"Greenhouse, nursery, and floriculture production",410.0098877,56035583.5,14477972.98,4252953.529,1331704.259,4518.660717
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,251.5172424,56588001.25,12271366.12,8744353.294,1963218.808,-386288.2555
10,All other crop farming,2300.079346,129764083.9,33708702.09,11211153.03,3204952.478,-884909.451
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",31438.22266,10596776367,133540130.6,1441548340,394727874.8,157502624.5
12,Dairy cattle and milk production,324.3756409,233279998.8,8721667.29,11536840.44,2958751.678,2124364.376
13,Poultry and egg production,247.5619354,226934646.6,10997262.95,2787138.224,1160671.473,-28163.45729
14,"Animal production, except cattle and poultry and eggs",4268.310547,940482116.7,84941505.43,340337707.5,78648544.31,11076984.41
15,"Forestry, forest products, and timber tract production",67.70914459,6427124.5,4411710.739,0,694574.7733,0
16,Commercial logging,269.7138672,15822267.53,5303589.821,89233.97213,879249.6324,513403.4753
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,193.54776,4771187.305,0,-94311.81103,0,1623840.57
19,Support activities for agriculture and forestry,10137.52734,407885681.2,227512100.2,112692604.1,-19498115.54,10795181.27
20,Oil and gas extraction,1728.776245,407268707.3,4405436.516,25398111.34,-19330688.48,3764898.3
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
