IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,889995.7283,1.5097E+11,47637349235,8433108486,25391604908,5727800034
1,Oilseed farming,1.958274484,331956.327,0,-962.5554085,0,-2867.798321
2,Grain farming,51.46826172,4239391.327,439693.3019,-28242.47815,1804628.73,-31296.36869
3,Vegetable and melon farming,335.6275024,15868906.97,4417208.672,-541097.4622,3952481.985,32599.57582
4,Fruit farming,376.834259,12183211.33,3257188.32,-574950.2778,4253287.792,34204.7736
5,Tree nut farming,4.721755028,83535.43282,75824.81951,-4191.098735,4249.588121,348.9037917
6,"Greenhouse, nursery, and floriculture production",1025.146729,52859996.8,23705617.9,-879227.6382,10453838.35,44015.20267
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,2528.035645,18927961.35,8534374.237,-483089.596,3890233.994,-164221.6444
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",329.0053101,11493999.48,251414.001,-213876.3666,3562869.787,3148696.184
12,Dairy cattle and milk production,238.7071075,42330001.83,2746948.719,-477128.2971,4467700.481,6102060.318
13,Poultry and egg production,250.2204437,51716667.18,4350053.787,-209281.7128,2201120.615,1674425.006
14,"Animal production, except cattle and poultry and eggs",404.8774414,13727766.04,2102419.376,-277567.5952,6096353.054,5150256.157
15,"Forestry, forest products, and timber tract production",97.50969696,7399254.322,4098615.646,1063346.505,229785.9639,105331.6072
16,Commercial logging,1681.228516,119348114,27790624.62,34696174.62,-2617589.951,3149171.829
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,63.31845093,6064017.296,99354.08831,4763881.683,-115339.9199,396438.39
19,Support activities for agriculture and forestry,1172.720581,42460342.41,18544054.03,18991876.6,-5020860.672,1109098.077
20,Oil and gas extraction,446.2290344,103938140.9,0,2489598.274,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,167.0561523,29471456.53,7657238.007,-71516.75224,-463976.0256,2435231.924
29,Sand and gravel mining,615.3601685,77824798.58,19907638.55,-303313.4043,-487660.9743,7570816.517
30,"Other clay, ceramic, refractory minerals mining",82.26696014,16086809.16,6470713.139,-8046.192117,-164825.6779,963529.8252
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,0,0,0,0,0,0
35,Drilling oil and gas wells,75.66030121,19221097.95,1997171.64,-447258.6215,-269766.9268,641150.2361
36,Support activities for oil and gas operations,88.20483398,17393829.35,2376859.188,2650.802955,-252422.5712,501376.5693
37,Metal mining services,47.97229385,10960600.85,0,267575.0554,0,0
38,Other nonmetallic minerals services,97.48390961,25668457.03,3626552.82,267535.1799,-336978.6441,626996.696
39,Electric power generation - Hydroelectric,86.56010437,56668422.7,10813111.31,0,21060890.2,4631860.733
40,Electric power generation - Fossil fuel,576.1686401,677078674.3,27064804.08,2927290.201,72265663.15,96282135.01
41,Electric power generation - Nuclear,456.2359619,484276886,90313919.07,0,110271843,48759353.64
42,Electric power generation - Solar,19.83727837,3991346.836,238343.1494,129911.7506,440584.6,565154.0756
43,Electric power generation - Wind,1.308177114,2518173.933,192167.446,0,1432518.959,169357.2253
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,121.9583817,81963012.7,13811052.32,0,31805915.83,5065804.482
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,832.9744873,1280341675,140704742.4,129198.5512,359087066.7,127413963.3
48,Natural gas distribution,419.1785583,302568542.5,35938018.8,665627.5988,67930000.31,25020372.39
49,"Water, sewage and other systems",176.6565094,43787910.46,8954419.136,595098.7935,10585978.51,3436962.128
50,Construction of new health care structures,1595.450684,186734359.7,53780189.51,61621944.43,-28364671.71,1474310.875
51,Construction of new manufacturing structures,2608.240723,359593597.4,91607215.88,97926231.38,-16329494.48,2632712.126
52,Construction of new power and communication structures,3548.971436,424252136.2,116859832.8,138193924,-92492118.84,4867971.897
53,Construction of new educational and vocational structures,3940.038574,433039764.4,151029464.7,129533569.3,-47528106.69,2541944.027
54,Construction of new highways and streets,3222.088135,454070068.4,113654983.5,119952453.6,-91978889.47,3006762.266
55,"Construction of new commercial structures, including farm structures",6258.562012,762022338.9,204037353.5,239579483,-37907199.86,4595642.567
56,Construction of other new nonresidential structures,8036.415527,466796814,264077087.4,311742462.2,-481028015.1,4849247.456
57,Construction of new single-family residential structures,9804.548828,1296325195,313431579.6,392543975.8,-13005164.15,22462760.93
58,Construction of new multifamily residential structures,3042.802002,259787841.8,97778198.24,122402328.5,-36452579.5,3723197.222
59,Construction of other new residential structures,6863.261719,1118333740,225931854.2,271462219.2,-130052139.3,10756891.25
60,Maintenance and repair construction of nonresidential structures,4661.950684,811781982.4,151830307,187117660.5,-68399322.51,7010405.064
61,Maintenance and repair construction of residential structures,2336.948242,409716308.6,77273292.54,80989265.44,-32377521.51,4397006.989
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",1680.566162,133552124,55707054.14,66822029.11,-82998901.37,1426948.309
63,Dog and cat food manufacturing,39.26416016,47816570.28,1418653.727,-176593.4527,3935503.244,1071588.993
64,Other animal food manufacturing,58.14766693,60261638.64,3638922.215,54492.21283,3089254.379,1632321.835
65,Flour milling,0,0,0,0,0,0
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,0,0,0,0,0,0
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,0,0,0,0,0,0
70,Fats and oils refining and blending,12.61004162,19622394.56,756704.9861,-36875.28521,724208.951,126954.1681
71,Breakfast cereal manufacturing,0,0,0,0,0,0
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,45.53966141,43983592.99,2749202.728,-16996.41533,3495864.868,311593.473
74,Nonchocolate confectionery manufacturing,31.34259415,11575187.68,935821.2948,-56180.49949,443165.3917,82939.16285
75,Chocolate and confectionery manufacturing from cacao beans,645.0632935,474222747.8,58916179.66,-64288.54167,66106048.58,3399927.855
76,Confectionery manufacturing from purchased chocolate,204.5466156,70254905.7,9924291.611,-374983.4895,4431253.433,470215.4398
77,"Frozen fruits, juices and vegetables manufacturing",0,0,0,0,0,0
78,Frozen specialties manufacturing,88.24408722,30439052.58,3134345.531,-90981.72188,1670016.289,176074.9668
79,Canned fruits and vegetables manufacturing,46.92320633,19650726.32,823663.8904,-201543.6143,684840.56,132210.955
80,Canned specialties,0,0,0,0,0,0
81,Dehydrated food products manufacturing,0,0,0,0,0,0
82,Cheese manufacturing,0,0,0,0,0,0
83,"Dry, condensed, and evaporated dairy product manufacturing",0,0,0,0,0,0
84,Fluid milk manufacturing,542.1333618,426165893.6,54598121.64,-123801.4176,36559997.56,2992105.246
85,Creamery butter manufacturing,0,0,0,0,0,0
86,Ice cream and frozen dessert manufacturing,17.09018326,7213575.84,924747.7055,-28283.09126,540209.353,58913.2309
87,Frozen cakes and other pastries manufacturing,1186.615845,96189010.62,35010078.43,3015690.327,8802998.543,1858802.557
