IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,5486441.573,1.03508E+12,3.37902E+11,60874158832,1.75937E+11,49081078715
1,Oilseed farming,108.7103806,33030963.9,92524.58811,9329647.064,12448690.41,-156905.8448
2,Grain farming,280.028717,36715133.67,2893900.871,4332619.19,8933002.472,-170036.1371
3,Vegetable and melon farming,3285.754639,215766693.1,45643348.69,11451266.29,30716749.19,498121.7384
4,Fruit farming,2598.13916,121106361.4,24605955.12,7554908.752,24165618.9,368097.1861
5,Tree nut farming,5.401189327,122361.8463,84407.07624,6121.085025,3557.869932,623.0126601
6,"Greenhouse, nursery, and floriculture production",7589.811523,476519073.5,162403961.2,23298402.79,53863788.6,508808.3148
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,3241.565186,41786495.21,14318448.07,2325685.024,4908805.37,-210411.6827
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",117.938797,7460999.489,124024.4955,653840.1246,1321885.228,1764663.935
12,Dairy cattle and milk production,69.61668396,17819999.69,878824.532,567722.6186,1075007.319,2777724.981
13,Poultry and egg production,208.5531158,64142211.91,4100154.4,507482.1711,1560361.385,2178513.288
14,"Animal production, except cattle and poultry and eggs",960.4082642,53886516.57,6336362.362,12398717.88,13491180.42,19084020.61
15,"Forestry, forest products, and timber tract production",578.3711548,75990768.43,26452573.78,35192581.18,2507927.179,555083.7517
16,Commercial logging,423.9805908,61059803.01,28391622.54,14953805.92,3273246.288,235615.8346
17,Commercial fishing,1270.197021,177239654.5,15121487.62,68751846.31,28285232.54,8839476.585
18,Commercial hunting and trapping,92.1364975,22682882.31,1540966.511,18727132.8,767367.363,520910.4419
19,Support activities for agriculture and forestry,4760.060059,176032867.4,179159286.5,-5425892.83,-41271049.5,7704586.506
20,Oil and gas extraction,1796.968018,586686645.5,6479640.007,496409484.9,-328277893.1,3541328.192
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,92.3482666,52160007.48,1201955.795,37902725.22,-361633.5094,1733395.934
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,792.2237549,232055145.3,62532226.56,82376747.13,-23777299.88,16483825.68
29,Sand and gravel mining,612.8626099,195274795.5,32289699.55,106252090.5,-4963608.742,10766846.66
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,6.186999321,3666342.497,74312.23989,2798017.025,-7072.371431,154745.996
34,Other nonmetallic minerals,23.61619759,7506077.766,1037995.219,4225754.261,-160002.1124,440770.5367
35,Drilling oil and gas wells,218.2400665,82145309.45,8623165.131,37719776.15,-15916957.86,1818520.784
36,Support activities for oil and gas operations,338.303833,79143531.8,6341866.493,54594524.38,-41032268.52,2607821.226
37,Metal mining services,193.1848145,62451469.42,696599.6027,53352703.09,-35037757.87,379025.7573
38,Other nonmetallic minerals services,271.2443237,94801017.76,7186220.169,53344753.27,-27103504.18,1594371.676
39,Electric power generation - Hydroelectric,111.7230988,56661129,5481809.139,6136758.327,10019639.02,8999111.176
40,Electric power generation - Fossil fuel,1775.637207,2699297852,208118927,54579048.16,521483825.7,440354614.3
