IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,1114378.083,1.86699E+11,50624288614,5324771271,41967487592,7418268153
1,Oilseed farming,0.461321831,202221.7959,0,211645.1263,0,-19458.00893
2,Grain farming,261.1577148,48699573.52,3898030.758,21796682.36,11405657.77,-4532139.778
3,Vegetable and melon farming,963.133728,92613739.01,19895280.84,18642507.55,12691387.18,-5106.83842
4,Fruit farming,118.0890579,7998666.286,1650336.146,1892516.494,1536354.303,-310.6608638
5,Tree nut farming,5267.706055,177554397.6,124378639.2,33687877.66,4969564.438,7825.357839
6,"Greenhouse, nursery, and floriculture production",398.2263184,37549053.19,12995616.91,6963133.335,4085624.695,-3248.890629
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,443.0829773,45858001.71,17088792.8,9664018.631,6615370.274,-887089.7889
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,8610.544922,155014801,53940471.65,32722610.47,17528947.83,-15971591
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",10557.8125,921358947.8,15553240.78,306240936.3,157133377.1,-12283368.11
12,Dairy cattle and milk production,3275.067627,1217895020,60993827.82,147162841.8,70722305.3,-5351024.628
13,Poultry and egg production,105.2524414,46726558.69,3033204.079,1402169.347,1094177.723,-97829.17798
14,"Animal production, except cattle and poultry and eggs",380.0197754,29665431.98,3580591.44,26167957.31,-1207112.312,-294267.0584
15,"Forestry, forest products, and timber tract production",113.4604416,9618873.596,6270905.972,309175.7596,781247.1986,44210.62022
16,Commercial logging,472.0730591,30782306.67,7475451.946,5775096.416,1008547.544,706353.1876
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,306.8323364,16356672.29,629068.6727,5154231.071,3840482.473,1868824.84
19,Support activities for agriculture and forestry,4897.864746,205141052.2,143468612.7,23750490.19,-2765408.039,3783089.876
20,Oil and gas extraction,10518.25293,6933793457,438903015.1,378196411.1,3044910400,680497009.3
21,Coal mining,1331.92395,580624450.7,143048477.2,-293616.7717,166124115,27766551.97
22,"Copper, nickel, lead, and zinc mining",1102.820068,1436325439,106870826.7,-1020639.181,667726867.7,101097076.4
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,7.994036198,2517827.749,369685.322,-9695.568122,283339.7388,185711.2795
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,47.78125,18706766.13,4766239.643,-42966.36954,4085463.524,754467.4873
28,Stone mining and quarrying,116.8786087,26070911.41,4275858.402,-551182.8065,7117879.391,1295456.886
29,Sand and gravel mining,528.3989868,72857620.24,18194364.55,-2813111.544,8624207.497,4941440.582
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",628.5970459,191649368.3,66316925.05,-174532.2198,14225440.98,8562280.655
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,43.27763367,9052257.538,2443722.963,-184324.041,1687871.337,571625.7095
34,Other nonmetallic minerals,203.2228241,31479522.71,8743398.666,-601046.2642,4444265.366,2013233.662
35,Drilling oil and gas wells,3707.685791,1476732788,294794097.9,27698946,233746337.9,72727432.25
36,Support activities for oil and gas operations,15586.99316,4385723633,1216476929,33738819.12,363208953.9,163058120.7
37,Metal mining services,1182.507568,756547424.3,50280342.1,40572372.44,328965148.9,73148551.94
38,Other nonmetallic minerals services,1251.904541,772373230,53612339.02,40594577.79,328310882.6,73949790.95
39,Electric power generation - Hydroelectric,0,0,0,0,0,0
40,Electric power generation - Fossil fuel,407.2381287,526928222.7,52360893.25,-71334.60045,98739517.21,37666168.21
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,97.12714386,32677246.09,7953896.523,0,10383970.26,1524315.119
43,Electric power generation - Wind,47.40805817,66051322.94,5808206.081,0,30578725.81,3422062.635
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,2667.802979,3180623779,311171600.3,-153029.9932,558397583,219795181.3
48,Natural gas distribution,829.0775146,590364257.8,94674583.44,-927.1324379,126134429.9,27357250.21
49,"Water, sewage and other systems",1027.69397,185120193.5,31456125.26,-446554.3926,25791873.93,10715950.97
50,Construction of new health care structures,1863.58667,246420669.6,72498901.37,21145708.08,35703025.82,2342879.772
51,Construction of new manufacturing structures,2930.311279,385930084.2,112205528.3,31281921.39,32754943.85,3240114.45
52,Construction of new power and communication structures,5218.731445,876584167.5,253539444,47209743.5,176902969.4,21276704.79
53,Construction of new educational and vocational structures,4819.676758,566328552.2,202832122.8,44484619.14,72770622.25,4693455.696
54,Construction of new highways and streets,3984.641846,723279357.9,167703109.7,41071994.78,125665367.1,6171871.662
55,"Construction of new commercial structures, including farm structures",7341.23584,833226623.5,275827240,81726974.49,52412586.21,10699005.13
56,Construction of other new nonresidential structures,9509.423828,665719543.5,369991516.1,106492881.8,-252123016.4,6905450.821
57,Construction of new single-family residential structures,11482.31445,1476011475,433323272.7,135238723.8,214046646.1,13107944.49
58,Construction of new multifamily residential structures,3559.770752,329931182.9,135197311.4,42005268.1,65269653.32,2832332.134
59,Construction of other new residential structures,8042.697266,1452019043,310072723.4,92934059.14,160866363.5,20703462.6
60,Maintenance and repair construction of nonresidential structures,5454.062988,998424377.4,208689056.4,64095893.86,87249107.36,13397467.61
61,Maintenance and repair construction of residential structures,2602.401855,497316497.8,95467247.01,27690219.88,52754882.81,10228958.13
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",1968.487061,165257766.7,75768966.67,22916774.75,-44454822.54,2568125.725
63,Dog and cat food manufacturing,5.025733471,6478498.459,277556.3002,57560.01174,755015.6713,67820.91409
64,Other animal food manufacturing,211.1826019,210449386.6,11710204.12,998253.9415,6969497.681,2473078.728
65,Flour milling,16.87840652,18883102.42,1136078.835,30069.90626,1170763.135,59439.4654
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,0,0,0,0,0,0
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,0,0,0,0,0,0
70,Fats and oils refining and blending,0,0,0,0,0,0
71,Breakfast cereal manufacturing,334.3494873,282596618.7,26513629.91,0,37960445.4,1011620.164
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,31.19958115,12460483.55,1330557.227,348171.5322,617856.3237,40858.80518
75,Chocolate and confectionery manufacturing from cacao beans,37.58974457,22698276.52,1059208.512,220796.3169,1165384.173,98319.6944
76,Confectionery manufacturing from purchased chocolate,68.46704102,20814394,1142067.075,415387.6603,500034.2131,77820.1893
77,"Frozen fruits, juices and vegetables manufacturing",319.4592896,128865417.5,10710891.72,162519.1122,9157451.63,484989.4047
78,Frozen specialties manufacturing,164.8783417,57611679.08,6187612.057,290741.0562,3232793.57,162772.5512
79,Canned fruits and vegetables manufacturing,536.5479736,246469467.2,20180541.99,851192.9512,16453311.92,742612.6599
80,Canned specialties,242.6103668,189111572.3,10812363.62,104793.4145,15555527.69,530627.3103
81,Dehydrated food products manufacturing,181.6160583,74363731.38,6407438.755,1063342.69,5494826.794,246763.3337
82,Cheese manufacturing,1260.279175,1140155762,84166519.17,273831.8741,34019107.82,3630760.67
83,"Dry, condensed, and evaporated dairy product manufacturing",0,0,0,0,0,0
84,Fluid milk manufacturing,166.6389771,121351631.2,11183903.69,276705.8611,7343497.276,455699.3246
