IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,1797551.569,2.83554E+11,87278442419,8961762268,54313150050,16065440314
1,Oilseed farming,0,0,0,0,0,0
2,Grain farming,41.08512115,16788547.52,1277934.551,-21874.3477,3505164.146,-226170.8379
3,Vegetable and melon farming,177.8625641,26146831.51,5341572.762,-174369.365,3194131.613,3429.225413
4,Fruit farming,7.638352871,860235.2738,168790.2957,-7939.7792,147296.0413,137.5813008
5,Tree nut farming,15.53563404,684882.2832,456253.022,-6720.410194,17088.45794,228.1146008
6,"Greenhouse, nursery, and floriculture production",128.1745758,14554423.33,4790361.881,-47346.93468,1411739.349,1094.503212
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,4195.695801,225111221.3,74492767.33,-1123682.618,22692371.37,-2471460.342
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",960.7576294,328523986.8,5273931.98,-1195587.516,49946689.61,1832721.71
12,Dairy cattle and milk production,194.138031,120375999.5,5733124.256,-265368.5808,6231412.888,984786.0336
13,Poultry and egg production,22.88796234,18275617.6,1128198.028,-14464.23586,381501.466,30388.56201
14,"Animal production, except cattle and poultry and eggs",127.2531967,25985738.75,2989743.233,-105185.7322,8869330.406,321465.9691
15,"Forestry, forest products, and timber tract production",82.7642746,11261524.2,8855409.622,0,791586.3991,0
16,Commercial logging,89.87678528,13569716.45,9601083.755,-64480.66235,1017821.789,3960.095812
17,Commercial fishing,261.2277222,62754943.85,8860675.812,-3244052.41,35726570.13,1281595.349
18,Commercial hunting and trapping,222.2089233,5556906.223,493905.5741,-320012.0032,774966.7168,888828.3968
19,Support activities for agriculture and forestry,1370.357178,36195949.55,29650154.11,690715.611,-5772297.859,1302056.074
20,Oil and gas extraction,2355.248779,542547790.5,1142148.495,17053596.5,-11839954.38,734789.6099
21,Coal mining,0,0,0,0,0,0
