IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,12599341.11,2.52617E+12,8.83815E+11,1.37921E+11,5.16958E+11,1.17882E+11
1,Oilseed farming,354.8335571,141209716.8,494838.5656,64882858.28,68804496.77,-1860096.693
2,Grain farming,2909.346924,473568145.8,46696468.35,90909500.12,148965133.7,-6413257.599
3,Vegetable and melon farming,4826.196289,375917877.2,99483055.11,32455142.97,69188453.67,140228.2268
4,Fruit farming,5244.970215,293402160.6,74576087.95,29774671.55,75690971.37,142418.5038
5,Tree nut farming,76.72476196,2082655.191,1737842.441,163877.1296,75702.18295,1696.344931
6,"Greenhouse, nursery, and floriculture production",5381.529297,386235717.8,164676559.4,30719894.41,56444141.39,69157.48119
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,19947.30664,329068328.9,141061706.5,29793561.94,49977642.06,-4701472.759
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",4293.867188,355123962.4,7385051.25,50626274.11,81344192.5,12319590.57
12,Dairy cattle and milk production,8087.260254,2485293945,153332870.5,128803512.6,193834594.7,61844425.2
13,Poultry and egg production,545.6906128,203508316,16274269.1,2619271.04,6400490.284,1092482.924
14,"Animal production, except cattle and poultry and eggs",1307.629639,93437698.36,13650509.83,34733139.04,35606105.8,4980816.364
15,"Forestry, forest products, and timber tract production",871.1311035,114163925.2,86748390.2,2797892.57,7393957.615,230057.627
16,Commercial logging,4571.14502,372991394,124723823.5,82155258.18,6290764.332,6664868.832
17,Commercial fishing,1336.387085,41354377.75,3014213.562,15716207.5,4686183.929,9380243.301
18,Commercial hunting and trapping,292.5395508,22822219.85,3032237.053,12390335.08,1321014.047,1667150.14
19,Support activities for agriculture and forestry,9364.137695,369968322.8,250595214.8,84245529.17,-51156467.44,15727447.51
20,Oil and gas extraction,5796.289551,2076925293,13223019.6,2030256836,-1309583130,25263483.05
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",255.8533173,173521194.5,2640739.918,4186881.542,7596062.183,28794878.01
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,139.0892181,41904991.15,429335.2067,7998582.363,151493.8623,3942166.805
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,134.6985016,33063220.98,419247.6571,4091660.5,165447.1606,2610562.086
28,Stone mining and quarrying,2374.983398,545071533.2,119432632.4,19005462.65,91532119.75,31983612.06
29,Sand and gravel mining,3411.133545,523254699.7,128260986.3,44730857.85,27989818.57,38802932.74
30,"Other clay, ceramic, refractory minerals mining",16.14159012,2655125.141,520111.4416,105383.8208,121826.9095,176109.463
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,596.1395264,138552002,49106987,1853493.333,15615427.97,9540304.184
34,Other nonmetallic minerals,316.2098999,56937290.19,19913846.97,2290656.09,4660130.978,3808286.428
35,Drilling oil and gas wells,751.5214844,217652618.4,11894717.22,148360748.3,-120832801.8,6393833.16
36,Support activities for oil and gas operations,1186.437378,258334869.4,28558834.08,213829620.4,-191980606.1,9319047.928
37,Metal mining services,642.9542847,226952636.7,2632457.018,217722290,-139649139.4,2932507.277
38,Other nonmetallic minerals services,658.8856812,230271347,4223445.415,218059570.3,-140363540.6,3140917.301
39,Electric power generation - Hydroelectric,2105.149902,807627075.2,49175125.12,93804260.25,56885387.42,117406913.8
40,Electric power generation - Fossil fuel,3323.083984,4379307617,375036773.7,79203140.26,594744140.6,570325378.4
41,Electric power generation - Nuclear,2919.550049,2853812012,596350891.1,0,432455108.6,321628051.8
42,Electric power generation - Solar,558.5877075,156349838.3,19668888.09,25007892.61,21594129.56,16378234.86
43,Electric power generation - Wind,575.3115845,524755981.4,19281951.9,24073640.82,85369110.11,77572418.21
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,267.6286316,119668670.7,13711128.23,7019562.244,18753551.48,11542260.17
46,Electric power generation - All other,176.8825989,31582054.14,2322449.207,7253565.788,-2162293.911,3132399.082
47,Electric power transmission and distribution,27942.15039,38055621094,4565489746,79801582.34,6952309570,4552894531
48,Natural gas distribution,7485.750488,5152067383,707846130.4,98559471.13,794631164.6,461312561
49,"Water, sewage and other systems",1321.188721,399714660.6,108231041,23440713.88,82200714.11,34653713.23
50,Construction of new health care structures,16866.05469,2815665039,938397705.1,310198700,503387481.7,25336618.42
51,Construction of new manufacturing structures,26073.25,4218996094,1433582153,493566803,418796936,36126346.59
52,Construction of new power and communication structures,36525.64453,7170964844,1999229614,710230041.5,1725492432,92822288.51
53,Construction of new educational and vocational structures,43680.46094,6739693848,2844882568,653426696.8,1003072693,49178302.76
54,Construction of new highways and streets,34805.30078,7807367676,2140137207,596274292,1673770386,54642219.54
55,"Construction of new commercial structures, including farm structures",64668.79297,9153607422,3458784912,1205041748,735629638.7,119911392.2
56,Construction of other new nonresidential structures,84023.64063,7369352539,4717955078,1570200439,-2838583984,81031410.22
57,Construction of new single-family residential structures,106750.1484,17827535156,5524649414,2086761719,3493894531,397581909.2
58,Construction of new multifamily residential structures,32081.04883,4153914551,1707331909,628799377.4,988501647.9,66616783.14
59,Construction of other new residential structures,71380.67188,15498978516,3960013916,1363588989,2270306641,206329788.2
60,Maintenance and repair construction of nonresidential structures,48224.26953,10467182617,2626016602,943166320.8,1235314697,136562591.6
61,Maintenance and repair construction of residential structures,23088.47461,5241207031,1207405640,413158569.3,732908386.2,126992424
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",17451.05469,1795001099,957693847.7,338910797.1,-492587554.9,29474531.17
63,Dog and cat food manufacturing,819.9417114,1056350952,70843193.05,4500872.135,30017980.58,82948989.87
64,Other animal food manufacturing,1718.969727,1853041626,146122604.4,21098279.95,55343467.71,97779243.47
65,Flour milling,778.7242432,867024231,72092857.36,2074125.29,11572607.99,20630243.3
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,9.832569122,14555097.58,781781.5542,301215.9467,210903.2124,435342.2523
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,76.19978333,341328949,4556467.056,1257308.96,2754945.278,8174807.549
70,Fats and oils refining and blending,121.06884,187527099.6,8089793.205,421403.0504,1182589.889,4522057.056
71,Breakfast cereal manufacturing,28.83025742,21560853.96,876402.1993,1108948.231,195453.7779,659030.2587
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,389.8074646,369738189.7,32580703.74,384513.6762,6328019.142,9934827.805
74,Nonchocolate confectionery manufacturing,850.1636353,343605346.7,42254577.64,14084839.82,3056371.689,8364821.434
75,Chocolate and confectionery manufacturing from cacao beans,274.7177429,170195755,9344797.134,6543252.945,1601533.294,5410208.225
76,Confectionery manufacturing from purchased chocolate,2194.806396,757808288.6,96010292.05,37696434.02,6547935.009,18769538.88
77,"Frozen fruits, juices and vegetables manufacturing",410.3365784,174332366.9,24336240.77,2892354.25,3241014.481,4690749.168
78,Frozen specialties manufacturing,2270.75415,849439636.2,143131515.5,20323719.02,11648462.3,16877115.25
79,Canned fruits and vegetables manufacturing,3179.224854,1543595215,213176452.6,36310482.03,27073110.58,33133426.67
80,Canned specialties,222.5742645,183048355.1,23033029.56,2466260.91,5161710.262,3666871.071
81,Dehydrated food products manufacturing,218.6140289,97120796.2,17249290.47,1725878.716,2304194.927,2232606.888
82,Cheese manufacturing,3321.536133,2984785156,206468826.3,10109883.31,12999196.05,72038787.84
83,"Dry, condensed, and evaporated dairy product manufacturing",709.8687744,891044128.4,51197681.43,2741346.121,12603012.08,22841611.86
84,Fluid milk manufacturing,5743.859375,4263729004,555521423.3,14225285.53,56818367,118172645.6
85,Creamery butter manufacturing,7.531227112,12987342.83,172191.7093,512419.2238,80099.00898,571553.3495
86,Ice cream and frozen dessert manufacturing,1302.723633,536200683.6,68078613.28,9506970.406,6074478.626,16678810.12
87,Frozen cakes and other pastries manufacturing,11488.08398,1073263916,388278991.7,29845912.93,58963096.62,136296142.6
88,Poultry processing,962.5146484,287801544.2,44050994.87,2995620.012,2264091.015,6539306.164
89,"Animal, except poultry, slaughtering",748.8783569,516522216.8,39453746.8,6829628.944,7679603.577,10918194.77
90,Meat processed from carcasses,2491.635986,1339994751,163807342.5,15148594.86,9097912.788,30449197.77
91,Rendering and meat byproduct processing,415.1858521,165865539.6,28458372.12,2792809.486,7471034.527,2757499.456
92,Seafood product preparation and packaging,625.227356,296434753.4,40439430.24,41081958.77,1607127.428,7835844.04
93,"Bread and bakery product, except frozen, manufacturing",32870.57031,4635519043,1215883545,337175445.6,109146919.3,231689498.9
94,Cookie and cracker manufacturing,1563.457153,551374450.7,105736404.4,13712200.16,7556464.195,14740981.1
95,"Dry pasta, mixes, and dough manufacturing",810.56604,409250335.7,35236732.48,7885782.242,7465676.308,13054746.63
