IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,7055475.58,1.32349E+12,3.59724E+11,43499085545,2.36198E+11,45808786888
1,Oilseed farming,8557.71875,2526412354,6330002.785,-13571530.34,783950439.5,-23497331.62
2,Grain farming,17488.2168,2433059326,171535888.7,-30028373.72,487401641.8,-20217760.09
3,Vegetable and melon farming,1903.565186,144564483.6,27353849.41,-9132082.939,16944719.31,61261.20687
4,Fruit farming,708.673645,37328117.37,6783801.079,-3263505.936,6132661.343,21313.75112
5,Tree nut farming,23.69997406,652241.528,402443.6176,-60624.11517,15614.73031,580.2586675
6,"Greenhouse, nursery, and floriculture production",6666.820801,523813964.8,159682434.1,-16141023.64,48750114.44,94850.55506
7,Tobacco farming,47.77917862,2741811.514,874099.3738,-124423.2208,381984.1146,-10285.2555
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,14125.02832,183519149.8,56247753.14,-8677309.036,17750198.36,-1744920.015
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",9737.652344,600230957,8924679.756,-20691398.62,87558258.06,30898105.62
12,Dairy cattle and milk production,3138.845459,907247985.8,40020660.4,-18944919.59,45062129.97,26586364.75
13,Poultry and egg production,3617.30249,1232481445,70469375.61,-9239765.167,24685594.56,8020925.522
14,"Animal production, except cattle and poultry and eggs",15329.57031,872420105,92967529.3,-33450649.26,285706756.6,64633468.63
15,"Forestry, forest products, and timber tract production",630.3505249,68448822.02,25344602.58,27886632.92,2504844.904,416150.0633
16,Commercial logging,3204.942871,410154113.8,39366683.96,259471283,-4222.314339,3938416.481
17,Commercial fishing,530.8241577,10962354.66,946548.6407,935839.8318,5962734.699,2934078.455
18,Commercial hunting and trapping,361.7208252,7371985.435,1039582.133,2643701.792,-20612335.21,1625898.6
19,Support activities for agriculture and forestry,10882.02637,297876861.6,237525665.3,124403755.2,-154371963.5,8325868.607
20,Oil and gas extraction,17060.0957,12443057617,86544036.87,43831810,8336586914,97544685.36
21,Coal mining,1234.060303,508704772.9,87931838.99,233190353.4,-72453750.61,33983837.13
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,2154.943359,510400817.9,130933486.9,197642105.1,-106411590.6,31349700.93
29,Sand and gravel mining,1494.5271,414771545.4,82613685.61,216755645.8,-27143451.69,18348300.93
30,"Other clay, ceramic, refractory minerals mining",43.86159515,10338588.71,1609254.599,4057138.443,-549809.5751,516814.8875
31,"Potash, soda, and borate mineral mining",16.71933174,5957088.47,981925.3683,2188215.017,-245835.1851,300671.2198
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,301.3066406,68550582.89,33230682.37,5304585.457,-6759639.263,5216960.907
34,Other nonmetallic minerals,21.8834095,11346438.41,212100.6399,9099199.295,-69879.82988,287383.5862
35,Drilling oil and gas wells,2516.001465,1251294678,95324325.56,-4789089.68,565375610.4,20097698.21
36,Support activities for oil and gas operations,7145.743652,2446629150,424288787.8,-12939109.8,783289611.8,55802215.58
37,Metal mining services,1858.877197,1340686646,11051022.53,4508733.273,900134338.4,10648743.63
38,Other nonmetallic minerals services,2474.618408,1574703247,89655120.85,3756220.579,919867858.9,16046171.19
39,Electric power generation - Hydroelectric,263.1956482,90059448.24,3477310.896,6036096.573,6316372.395,12923151.97
40,Electric power generation - Fossil fuel,3340.472656,5098375488,522083618.2,0,1300065796,501785400.4
41,Electric power generation - Nuclear,1348.111694,1381689697,260349029.5,0,296458587.6,130692504.9
42,Electric power generation - Solar,288.0244751,78696022.03,9947634.697,6167700.768,17149230.96,7429178.238
43,Electric power generation - Wind,214.4691467,179239379.9,3796615.839,4857779.503,26394617.08,25472787.86
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,131.7067108,51345294.95,3201283.932,2473194.122,6875487.328,5014811.516
46,Electric power generation - All other,58.60523605,10375144,7110726.833,0,-4607682.228,902415.2756
47,Electric power transmission and distribution,8280.570313,11349443359,1094951294,14397239.69,2600468750,1148109619
48,Natural gas distribution,6495.969727,5129805664,750889465.3,20137449.26,1326514893,351074340.8
49,"Water, sewage and other systems",1808.652588,452377319.3,89781417.85,25860145.57,97912445.07,31852560.04
50,Construction of new health care structures,10317.9043,1496252319,432107238.8,219341857.9,203024719.2,6565282.345
51,Construction of new manufacturing structures,17531.74609,2599391602,771558349.6,353901977.5,224791763.3,13985225.68
52,Construction of new power and communication structures,22911.88672,3899004150,963703064,565555297.9,675037963.9,36681335.45
