IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2342563.43,4.12962E+11,1.0196E+11,25272385473,67312316547,12806431279
1,Oilseed farming,380.6763916,149087631.2,224944.5766,58388668.06,50323665.62,-9524600.983
2,Grain farming,2818.340088,554941345.2,23560451.51,90802001.95,120928215,-29709701.54
3,Vegetable and melon farming,147.5779266,17078985.21,1946046.352,1256823.063,2177615.166,700.8788525
4,Fruit farming,35.70514679,2806176.424,307104.528,242728.1886,501503.706,158.4617858
5,Tree nut farming,343.37677,15109025,5613933.563,1048001.289,393467.3965,1240.634127
6,"Greenhouse, nursery, and floriculture production",1264.628662,163933059.7,30094066.62,11113615.99,16596303.94,2654.837212
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,2040.010254,292760009.8,57866134.64,22554725.65,39294902.8,-2481436.968
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,14435.81836,255295791.6,47119609.83,19701602.94,26860355.38,-16255081.18
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",40619.83203,3327967773,29798032.76,404386505.1,528085327.1,19001676.56
12,Dairy cattle and milk production,299.4299927,129050003.1,3428076.506,5700716.972,6972523.212,374251.4253
13,Poultry and egg production,1694.026367,846413635.3,29143180.85,9285439.491,18441326.14,554254.055
14,"Animal production, except cattle and poultry and eggs",12899.22949,1013647827,65046951.29,327648895.3,361100585.9,8021429.062
15,"Forestry, forest products, and timber tract production",355.4755859,21512855.53,12602678.3,319146.5139,1256162.047,400413.7814
16,Commercial logging,1196.018433,64508537.29,19085775.38,1940966.606,1530273.795,1878804.445
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,42.46271896,1568379.641,105911.836,95771.7523,423153.7879,248661.3691
19,Support activities for agriculture and forestry,7948.69043,310175384.5,194686035.2,70086181.64,-20560503.01,6072158.337
20,Oil and gas extraction,73988.25781,33185003906,2501024658,2665293701,9460087891,1737636597
21,Coal mining,355.099884,174427688.6,13919827.46,195053222.7,-103792526.2,4200744.152
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,88.78919983,12686269.76,9457635.88,37811370.85,-62202964.78,988613.5459
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,1878.607788,127787277.2,81366058.35,409176208.5,-598410217.3,11709618.57
29,Sand and gravel mining,953.6219482,281332519.5,42332736.97,280603790.3,-125865577.7,5014232.635
30,"Other clay, ceramic, refractory minerals mining",69.91168976,9127986.908,2957611.084,7462217.808,-9144208.908,351874.5005
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,212.1872864,63084613.8,9277619.362,62658370.97,-27660751.34,1185115.218
35,Drilling oil and gas wells,11658.5332,4693926758,757455200.2,185814804.1,934669677.7,150252243
36,Support activities for oil and gas operations,39926.49609,11520625000,2703004395,169699310.3,1687769287,276512847.9
37,Metal mining services,7954.179199,3535287109,268874908.4,286458313,1020989075,185977966.3
38,Other nonmetallic minerals services,8145.263184,3577343750,283282318.1,286159576.4,1025359497,187418472.3
39,Electric power generation - Hydroelectric,68.95088196,21660966.87,1867096.186,475294.0238,2136600.256,1121154.308
40,Electric power generation - Fossil fuel,2425.978027,2969806641,324197265.6,1129556.537,508589050.3,120986633.3
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,64.31806946,9738334.656,24149.61345,649613.0824,26228.13359,552144.1698
43,Electric power generation - Wind,206.3766174,236059494,21106288.91,221081.4506,92440650.94,8053452.492
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,4254.32373,4739629883,482213501,567507.565,722575744.6,199114395.1
