IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2531515.973,4.29563E+11,1.32E+11,18888625255,78776494350,12084363957
1,Oilseed farming,6.590479851,5394515.514,15071.15271,1554403.543,2044516.802,-88181.2498
2,Grain farming,1271.351929,349996582,27514425.28,42134376.53,85635131.84,-7143004.417
3,Vegetable and melon farming,4612.571289,531101379.4,112054328.9,28755035.4,76033348.08,87695.6135
4,Fruit farming,6303.231934,538317321.8,109086181.6,34258472.44,108020240.8,111980.2594
5,Tree nut farming,2659.768311,97103401.18,66807525.63,4955462.933,2839319.944,38493.14898
6,"Greenhouse, nursery, and floriculture production",10482.91406,1013019775,344343872.1,50527889.25,115151702.9,88204.82343
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,103.1053543,15272999.76,4357360.363,1551008.463,2534412.384,-247372.2845
10,All other crop farming,30132.85352,933694458,319097137.5,53013576.51,110301254.3,-18111309.05
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",4223.680664,713052917.5,11821984.29,63747581.48,127044059.8,7938983.44
12,Dairy cattle and milk production,1007.704773,473296997.1,23280179.98,15382596.02,28712652.21,5041804.314
13,Poultry and egg production,327.8945923,192332794.2,12262181.28,1552378.297,4705117.226,429468.8106
14,"Animal production, except cattle and poultry and eggs",778.8568115,98219696.04,11670743.94,23358482.36,39286857.6,1941458.821
15,"Forestry, forest products, and timber tract production",797.3654785,92806663.51,64672935.49,12987752.91,-3369393.349,2960727.93
16,Commercial logging,8365.319336,801986755.4,337694366.5,164869995.1,-14761304.86,33902805.33
17,Commercial fishing,3009.27124,194419647.2,58670200.35,74299629.21,8943519.592,49258041.38
18,Commercial hunting and trapping,225.4536285,39957118.99,541465.8189,31801435.47,1902157.307,3011699.2
19,Support activities for agriculture and forestry,20677.37695,1005248596,802053955.1,119763954.2,-106098762.5,33730209.35
20,Oil and gas extraction,1757.988525,403378540,0,3653214.693,0,53071.61435
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,85.38262177,20237094.88,93881.36864,399811.2082,46811.17833,1659011.96
25,Silver ore mining,133.6444092,37947715.76,3817407.37,275716.8412,2161098.48,3470513.105
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,1427.371338,267827972.4,39894008.64,1363735.795,43204582.21,13211130.14
29,Sand and gravel mining,1432.902344,229204177.9,74891708.37,996755.1827,23094623.57,11144838.33
30,"Other clay, ceramic, refractory minerals mining",64.05181885,9096555.71,1286871.076,33074.12937,425944.9244,478932.8873
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,280.0662537,39247848.51,10093750,237725.2579,3337852.24,2316237.926
35,Drilling oil and gas wells,171.1512451,40036575.32,154186.219,148266.4347,83476.14855,516745.3885
36,Support activities for oil and gas operations,335.5844116,59229103.09,1031940.341,84589.71977,359977.8116,1576233.864
37,Metal mining services,199.4700623,46046607.97,773050.3678,368093.3416,327980.9654,115600.8616
38,Other nonmetallic minerals services,282.3738708,70343582.15,4448472.023,238931.343,2405227.9,1018944.86
39,Electric power generation - Hydroelectric,296.9057312,175972717.3,27740884.78,10756787.3,52103851.32,16212532.04
40,Electric power generation - Fossil fuel,272.2021179,457846832.3,52014663.7,0,133929534.9,45824268.34
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,2.026759386,1124530.554,287187.2783,0,511935.6513,57994.67117
43,Electric power generation - Wind,430.7206116,718591491.7,49884181.98,14798181.53,358597198.5,56890193.94
44,Electric power generation - Geothermal,28.61229324,18299343.11,3712865.114,704865.694,5196485.519,1332259.417
45,Electric power generation - Biomass,366.5298462,168328369.1,8719867.706,30607093.81,19364868.16,15627902.03
46,Electric power generation - All other,6.409947395,1215242.028,904359.1022,0,-562042.4747,110616.1326
47,Electric power transmission and distribution,2339.73877,3394873535,343188812.3,10911247.25,845913574.2,360632110.6
48,Natural gas distribution,1424.78894,1204666260,185359161.4,7192690.849,337947509.8,86090026.86
49,"Water, sewage and other systems",599.9262085,167778900.1,17248888.02,50258075.71,19918121.34,11702054.98
50,Construction of new health care structures,4100.57959,632872802.7,196553482.1,84356529.24,92821517.94,6692540.169
51,Construction of new manufacturing structures,7002.898438,1069681763,341493896.5,134482910.2,89187408.45,11146249.77
52,Construction of new power and communication structures,9222.22168,1623346191,432765991.2,189557861.3,312856231.7,20796844.48
53,Construction of new educational and vocational structures,10264.46582,1451760010,548665832.5,177395614.6,198058715.8,13215579.03
54,Construction of new highways and streets,8372.517578,1730017700,430795166,164084213.3,314149200.4,16930450.44
55,"Construction of new commercial structures, including farm structures",16195.91992,2143330322,748771179.2,328305633.5,133405700.7,22673595.43
56,Construction of other new nonresidential structures,21082.7832,1718267212,1007987549,434432800.3,-708466674.8,21114082.34
57,Construction of new single-family residential structures,25368.05078,3815569336,1177144531,542324462.9,545978149.4,47136322.02
58,Construction of new multifamily residential structures,7840.394043,898503967.3,367061309.8,168095092.8,167495834.4,9461595.535
59,Construction of other new residential structures,17643.75781,3592209717,842148925.8,371372558.6,417107940.7,58618602.75
60,Maintenance and repair construction of nonresidential structures,12008.31934,2466230713,568690246.6,256226287.8,227465210,37789840.7
61,Maintenance and repair construction of residential structures,5817.159668,1223750610,259913116.5,112347877.5,135961837.8,19956638.34
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",4346.635254,423254119.9,207942550.7,91658348.08,-122988449.1,7152935.505
63,Dog and cat food manufacturing,59.64595413,74996002.2,3544185.162,28422.53447,6837820.53,1440755.129
64,Other animal food manufacturing,403.3657532,409279968.3,27222892.76,605483.4723,13698440.55,8097054.482
65,Flour milling,418.7511597,473054321.3,35435123.44,39637.16328,25899471.28,2645815.849
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,178.6122742,273606994.6,17380620.96,11002.16899,21349168.78,1879787.803
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,36.04346848,162783798.2,2218233.347,0,6106746.197,925768.137
70,Fats and oils refining and blending,66.08792877,101614540.1,3843701.839,17894.31274,2558376.312,589029.4909
71,Breakfast cereal manufacturing,366.1712952,282278869.6,21087924.96,13934.05814,21413732.53,1988764.167
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,471.0314636,177361877.4,17386640.55,312099.2184,5726193.905,1105718.255
75,Chocolate and confectionery manufacturing from cacao beans,46.8095665,26681032.18,727216.363,67987.96356,567476.213,220373.258
76,Confectionery manufacturing from purchased chocolate,443.8721313,138465576.2,12250665.66,407782.2268,3804207.325,906320.3335
77,"Frozen fruits, juices and vegetables manufacturing",5099.727539,2152260742,254349945.1,131382.4058,154232910.2,13894961.36
78,Frozen specialties manufacturing,2620.790771,941099548.3,129553070.1,92454.74637,48006385.8,4641520.977
79,Canned fruits and vegetables manufacturing,1682.198608,779370483.4,77159530.64,527802.5866,44617630,4180585.861
80,Canned specialties,78.24027252,60240127.56,3711037.159,154711.4551,3786655.664,308853.5368
81,Dehydrated food products manufacturing,1691.067749,740720336.9,103906951.9,104399.7481,63199050.9,4115946.293
82,Cheese manufacturing,935.6161499,836264770.5,58703308.11,94030.30574,16828388.21,4839449.406
83,"Dry, condensed, and evaporated dairy product manufacturing",0,0,0,0,0,0
84,Fluid milk manufacturing,835.2324829,608053588.9,62910427.09,40724.09868,29297363.28,4097632.408
85,Creamery butter manufacturing,30.18029785,53925529.48,2144021.988,7311.17418,4541110.516,543081.4624
86,Ice cream and frozen dessert manufacturing,601.4905396,252607360.8,35123943.33,131937.0419,14269853.59,1836517.811
87,Frozen cakes and other pastries manufacturing,2651.6875,224393447.9,86351791.38,8172989.845,20232580.18,3486330.986
88,Poultry processing,131.0272827,40128108.98,6750373.363,10115.30962,1579733.729,212280.6609
89,"Animal, except poultry, slaughtering",510.5939026,340136993.4,23512681.96,244496.882,6021812.439,2423937.082
90,Meat processed from carcasses,1513.860596,774226806.6,82584266.66,288470,5197585.583,4763999.939
91,Rendering and meat byproduct processing,90.16283417,35491806.03,6184354.305,167706.4002,1854142.189,273654.5801
92,Seafood product preparation and packaging,1261.518188,487544738.8,58532348.63,92070.08779,10591540.34,3752128.124
93,"Bread and bakery product, except frozen, manufacturing",6404.40332,874218322.8,259606750.5,10410259.25,62685337.07,7346319.675
94,Cookie and cracker manufacturing,781.9049683,283536895.8,57953598.02,107489.2581,18857860.57,1757534.504
95,"Dry pasta, mixes, and dough manufacturing",249.548645,129832687.4,11399900.44,74812.9487,10997463.23,958506.4054
96,Tortilla manufacturing,499.0491638,103505699.2,20327253.34,33578.13507,3055093.05,741747.0813
97,Roasted nuts and peanut butter manufacturing,255.47052,113905418.4,17472316.74,140192.1958,9659021.378,450726.4495
98,Other snack food manufacturing,1006.825256,496590850.8,58579696.66,115580.1639,45728950.5,4059082.985
99,Coffee and tea manufacturing,1337.522949,820607482.9,61684722.9,1199171.662,43168128.97,5461459.16
100,Flavoring syrup and concentrate manufacturing,142.6659851,362453033.4,11812290.19,39165.62721,68283721.92,2197494.268
101,"Mayonnaise, dressing, and sauce manufacturing",428.5327148,222016677.9,19971374.51,202842.8018,13201488.49,1450616.36
102,Spice and extract manufacturing,198.645462,96648437.5,5765756.13,210346.1921,2258547.068,693437.5763
103,All other food manufacturing,2800.147217,934940673.8,120981933.6,1020540.833,31050428.39,5305930.138
104,Bottled and canned soft drinks & water,426.7069702,304809692.4,28378225.33,27462.69479,21282716.75,2930993.795
105,Manufactured ice,84.69799805,10414039.61,3346855.879,10873.93705,-2484851.599,109959.4831
106,Breweries,3083.186768,1372692627,154751083.4,172126.1591,154608413.7,116986839.3
107,Wineries,3987.834229,1258629517,169066925,299288.6007,80714660.64,40717708.59
108,Distilleries,332.0535278,347713714.6,20883287.43,37468.82081,39764156.34,86981620.79
