IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,7783240.662,1.41702E+12,4.31705E+11,76915117685,2.39535E+11,49007622742
1,Oilseed farming,698.1090088,235795974.7,495636.5228,96493476.87,114832984.9,-1007638.454
2,Grain farming,4074.24707,610167358.4,36089305.88,104321060.2,191835586.5,-2474600.792
3,Vegetable and melon farming,2168.334961,166753372.2,26470293.05,12822164.54,30675619.13,80739.40873
4,Fruit farming,2707.836914,146849975.6,22389177.32,13272531.51,37864540.1,94228.58804
5,Tree nut farming,47.70669174,1283025.98,664139.5092,92989.83216,48206.69815,1351.533341
6,"Greenhouse, nursery, and floriculture production",14383.4082,1080624268,276364379.9,76548774.72,157840774.5,236812.2786
7,Tobacco farming,630.8413696,35961212.16,9618000.984,3322387.457,7862993.717,-71333.78834
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,25749.51953,373255615.2,95974830.63,30098087.31,56659671.78,-1671678.066
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",8594.503906,604941955.6,7545972.347,76807899.48,138496353.1,31576337.81
12,Dairy cattle and milk production,6017.574707,1791719971,66306427,82702056.88,139669555.7,58973575.59
13,Poultry and egg production,4259.952148,1515645874,72701782.23,17373697.28,47643852.23,10929626.46
14,"Animal production, except cattle and poultry and eggs",7242.274414,485545837.4,40560577.39,153238372.8,233191101.1,35342536.93
15,"Forestry, forest products, and timber tract production",1116.76416,111334777.8,36333660.13,50367137.91,1591061.115,1257597.446
16,Commercial logging,4799.057129,515955322.3,70144310,280682403.6,-2702157.974,7037876.129
17,Commercial fishing,404.4613647,9060915.947,1751284.361,-638286.1137,5222587.585,2573945.761
18,Commercial hunting and trapping,375.6345825,7655552.387,1484394.193,-54180.08566,-13800590.52,1943487.406
19,Support activities for agriculture and forestry,13270.83008,458212066.7,330988891.6,168227233.9,-151888366.7,10891681.67
20,Oil and gas extraction,15562.60352,11282038086,525098693.8,286015899.7,6577503906,355318176.3
21,Coal mining,6276.052734,2625908691,536204223.6,-42160541.53,892744201.7,89486930.85
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,175.1194763,44223712.92,3447921.991,-5149844.17,1837709.546,2372519.97
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,6954.479004,1618209717,262312011.7,-151763290.4,626026672.4,52602672.58
29,Sand and gravel mining,1565.334961,174755645.8,45488986.97,-41724205.02,30912626.27,9996634.483
30,"Other clay, ceramic, refractory minerals mining",40.70783234,3694579.601,500217.3781,-1788056.493,364862.9189,250027.3883
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,198.8975525,19383504.87,4649782.658,-6526551.723,3388439.178,1351418.734
35,Drilling oil and gas wells,3300.925293,1564024536,243351745.6,29813400.27,491356750.5,44742794.04
36,Support activities for oil and gas operations,13664.90234,4452596680,1171683960,82766151.43,788020263.7,122640831
37,Metal mining services,1673.072754,1208032227,56451210.02,30740186.69,709883483.9,38029441.83
38,Other nonmetallic minerals services,2309.703857,1405314697,100070571.9,32139114.38,721305664.1,42766704.56
39,Electric power generation - Hydroelectric,558.7975464,204456466.7,19241872.79,657364.5473,27567037.58,26828733.44
40,Electric power generation - Fossil fuel,3984.955811,5561125488,560493652.3,1868283.629,1100815552,588229797.4
41,Electric power generation - Nuclear,3370.038574,3398835938,707887451.2,0,635756591.8,319841705.3
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,47.40805817,79928466.8,7440081.12,0,40795753.48,5450308.8
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,324.7269287,126675010.7,11463191.99,388477.8023,19417951.58,12118484.5
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,11135.33398,15076607422,1696522705,1510202.765,3155111572,1493966919
48,Natural gas distribution,5923.170898,4489980957,718653198.2,19979627.61,993660339.4,312918853.8
49,"Water, sewage and other systems",3099.197998,857154907.2,242844436.6,1809864.998,205485534.7,52362472.53
50,Construction of new health care structures,11848.10547,1865585571,546179199.2,272545715.3,309610504.2,7831522.465
51,Construction of new manufacturing structures,19649.95117,3043102539,926403320.3,429854553.2,288708374,13749407.77
52,Construction of new power and communication structures,27483.82617,5188101563,1298110229,582244140.6,1265750122,53120616.91
53,Construction of new educational and vocational structures,28749.72461,4102175293,1466069580,568673767.1,611473754.9,15108350.75
54,Construction of new highways and streets,23748.4375,4986077148,1140906372,525879882.8,1021930969,16667490.01
55,"Construction of new commercial structures, including farm structures",45706.08594,6113423340,2021338013,1043524658,440989410.4,38992713.93
56,Construction of other new nonresidential structures,58485.10938,5132835449,2651083252,1371124878,-1589565186,28210388.18
57,Construction of new single-family residential structures,72346.60156,11021691406,3185772949,1738895142,1664197021,146493209.8
58,Construction of new multifamily residential structures,22279.07617,2623714355,992737915,538764648.4,538472473.1,24097553.25
59,Construction of other new residential structures,50109.875,10341673828,2285639893,1189988037,1395448853,66013336.18
60,Maintenance and repair construction of nonresidential structures,34030.66406,7067837891,1536448730,820690429.7,764893371.6,46158401.49
61,Maintenance and repair construction of residential structures,16401.30469,3513301514,703342468.3,358297576.9,449579071,40940727.23
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",12310.48535,1278633423,561200561.5,293363800,-266027038.6,11819115.64
63,Dog and cat food manufacturing,2069.822021,2888008545,183452072.1,529205.0242,494222412.1,18565931.32
64,Other animal food manufacturing,2155.321777,2175531982,137987289.4,3963304.281,87983474.73,23831865.31
65,Flour milling,323.8467102,372317596.4,27173458.1,317551.7321,27733226.78,761339.9029
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,0,0,0,0,0,0
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,67.08652496,323412658.7,7598627.09,199284.628,29210319.52,638408.0648
70,Fats and oils refining and blending,104.8277283,165742919.9,7930256.367,32891.27722,7370559.692,347268.1344
71,Breakfast cereal manufacturing,487.9542236,456747406,57387866.97,146648.8242,81372406.01,985839.963
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,104.3589172,112219734.2,11685578.35,61224.57236,14430253.98,235983.4462
74,Nonchocolate confectionery manufacturing,1511.794067,655087158.2,111107338,1047336.459,51096553.8,1318099.618
75,Chocolate and confectionery manufacturing from cacao beans,3539.655762,2418370605,245731994.6,845620.0361,267759124.8,6169631.481
76,Confectionery manufacturing from purchased chocolate,5501.043457,1976484741,325039764.4,5547399.998,140941696.2,4168697.357
77,"Frozen fruits, juices and vegetables manufacturing",268.3153992,118816886.9,14791870.12,224976.6439,12524689.67,272027.88
78,Frozen specialties manufacturing,1420.634644,535243164.1,80053161.62,1510981.917,41421733.86,936328.9475
79,Canned fruits and vegetables manufacturing,4396.997559,2196728516,266061676,5235656.738,214831375.1,4063374.996
80,Canned specialties,1137.682739,986120422.4,92357055.66,329228.0138,131591888.4,1661293.149
81,Dehydrated food products manufacturing,87.51305389,36948413.85,3817787.647,342521.8463,3242471.933,79394.78755
82,Cheese manufacturing,1589.40686,1458860962,122044342,967037.3797,48853546.14,3058039.188
83,"Dry, condensed, and evaporated dairy product manufacturing",363.0177307,489217437.7,30465883.26,74932.2027,47681980.13,1035837.173
84,Fluid milk manufacturing,3216.146484,2344096924,222140838.6,1250594.854,144455078.1,5869466.782
85,Creamery butter manufacturing,42.28956604,76291893.01,2654462.814,80138.3853,7850693.226,283123.3144
86,Ice cream and frozen dessert manufacturing,1381.41272,599186950.7,85437812.81,1521834.254,48469093.32,1568780.422
87,Frozen cakes and other pastries manufacturing,7969.831055,703910644.5,251747024.5,24411869.05,69401908.87,39309356.69
88,Poultry processing,5044.094238,1567212280,262424621.6,442908.4659,85754951.48,3038985.729
89,"Animal, except poultry, slaughtering",6088.661621,4200342773,380824188.2,2843793.392,132698700,11965006.83
90,Meat processed from carcasses,6996.975098,3601827881,410296417.2,3457724.571,29694137.57,9023155.212
91,Rendering and meat byproduct processing,511.9785461,189629684.4,33646564.48,491358.8464,846064.5676,1261685.729
92,Seafood product preparation and packaging,138.8361053,53204067.23,4486895.561,1802920.341,1133724.809,154387.3996
93,"Bread and bakery product, except frozen, manufacturing",18172.04102,2527796143,697951232.9,59515964.51,211971878.1,42688484.19
94,Cookie and cracker manufacturing,1802.359497,625316345.2,102474655.2,2551615.238,46561504.36,1507329.106
95,"Dry pasta, mixes, and dough manufacturing",1015.92572,586247070.3,64316749.57,672387.8384,86639129.64,1450582.981
96,Tortilla manufacturing,319.9414063,70245887.76,15737765.31,158672.7947,3302838.326,176892.7276
97,Roasted nuts and peanut butter manufacturing,586.2183228,271088562,42584362.03,1076216.817,29377553.94,289245.9929
98,Other snack food manufacturing,6232.95166,3328988037,406285308.8,4945391.655,504919464.1,10180942.54
99,Coffee and tea manufacturing,1004.695435,683674011.2,73386947.63,4403964.996,71713829.04,1525289.893
100,Flavoring syrup and concentrate manufacturing,505.0155945,1379881958,42386360.17,876018.5838,342143066.4,2893555.641
101,"Mayonnaise, dressing, and sauce manufacturing",1206.657837,685290527.3,80942947.39,1028728.008,74712364.2,1517904.043
102,Spice and extract manufacturing,604.1611938,334652832,42622333.53,1141269.326,23313562.39,782614.4099
103,All other food manufacturing,3821.86792,1323919312,186536956.8,7895576.954,66851387.02,2693587.303
104,Bottled and canned soft drinks & water,4146.879883,3190692871,355646667.5,1151064.992,372442382.8,10583723.07
105,Manufactured ice,349.4381714,45713722.23,15446276.66,178641.1256,-8989839.554,168371.6774
106,Breweries,3505.224365,1581146606,188916137.7,3543388.128,263552429.2,49444786.07
107,Wineries,2121.317627,602366943.4,46017482.76,2787764.311,30677158.36,8049541.473
108,Distilleries,561.6411133,470341522.2,20753515.24,1361610.532,55180175.78,54682975.77
109,Tobacco product manufacturing,476.0304871,1246627441,38758438.11,64453.78065,407871337.9,150850585.9
110,"Fiber, yarn, and thread mills",400.1242981,125729156.5,16523782.73,-43525.62129,3785109.043,1166943.073
111,Broadwoven fabric mills,761.9996338,190385971.1,49099712.37,-46489.47343,11615072.25,1408039.689
112,Narrow fabric mills and schiffli machine embroidery,602.2362671,109633239.7,37242465.97,-20478.20576,2136929.512,666025.8174
113,Nonwoven fabric mills,673.3390503,301257812.5,52078277.59,-20082.74943,25481758.12,2265026.808
114,Knit fabric mills,524.7665405,117450439.5,29949043.27,-1407.115837,5584905.148,885553.658
115,Textile and fabric finishing mills,308.5932617,74948692.32,13191147.8,-52534.55415,2052492.619,546826.2434
116,Fabric coating mills,339.746521,123789093,24941505.43,-20505.79339,4746315.956,778970.7184
117,Carpet and rug mills,447.1772461,147774780.3,22727077.48,-70325.67263,9089363.098,1527824.283
118,Curtain and linen mills,627.4163208,125151016.2,26857618.33,-425502.0022,6337306.023,992268.7411
119,Textile bag and canvas mills,820.7833862,138334457.4,42923545.84,-245026.7822,6127390.385,988547.1463
120,"Rope, cordage, twine, tire cord and tire fabric mills",105.4537735,30133983.61,7434774.399,-80933.10148,2888340.473,237215.355
121,Other textile product mills,1885.366821,265134033.2,79011810.3,-881020.7844,9569392.204,2034265.041
122,Hosiery and sock mills,213.9230957,20403835.3,6417951.107,656272.5902,966376.0662,923856.4968
123,Other apparel knitting mills,233.217392,23928071.98,7491166.115,567177.9513,903836.1311,928342.2232
124,Cut and sew apparel contractors,1084.604126,85133285.52,50328849.79,-357320.2789,568619.6089,1231883.049
125,Mens and boys cut and sew apparel manufacturing,996.1412964,127088905.3,31046833.04,141969.6361,4153266.43,1789620.996
126,Womens and girls cut and sew apparel manufacturing,988.5882568,184847061.2,28183153.15,-91689.04275,6203475.952,2150397.778
127,Other cut and sew apparel manufacturing,1663.21106,192740188.6,61245353.7,-19013.22231,7313701.153,2186774.969
128,Apparel accessories and other apparel manufacturing,827.1700439,87826339.72,28476903.92,-137620.0914,3361496.449,1404079.318
129,Leather and hide tanning and finishing,244.306076,69347877.5,5907806.396,509460.7472,1735592.723,585853.6363
130,Footwear manufacturing,387.5022583,65845863.34,18416536.33,67140.31845,834833.7412,512206.1372
131,Other leather and allied product manufacturing,467.7519531,45588638.31,10742002.49,596763.3128,161968.7378,395768.0464
132,Sawmills,5298.824707,1431271973,204540405.3,74498588.56,78120124.82,8498042.107
133,Wood preservation,340.455719,196868026.7,18021078.11,3480549.812,31458580.02,1152086.735
134,Veneer and plywood manufacturing,734.9207764,188978942.9,31324829.1,6004322.052,11995891.57,1083601.594
135,Engineered wood member and truss manufacturing,1584.754028,364479248,91064102.17,7294560.909,28616727.83,1864687.681
136,Reconstituted wood product manufacturing,735.4940796,393504516.6,51099811.55,2283110.142,58799373.63,2357847.691
137,Wood windows and door manufacturing,1944.872437,438760162.4,101166488.6,12452255.25,32733325.96,2556337.833
