IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,647397.2612,1.06645E+11,34001586638,3827828075,19575104840,4807007038
1,Oilseed farming,0,0,0,0,0,0
2,Grain farming,3.805511713,260000.7951,27362.65399,15597.37604,63480.9956,-2315.224614
3,Vegetable and melon farming,214.8633118,8903471.947,2514765.501,240214.9141,1271940.827,12293.73738
4,Fruit farming,95.66781616,2667270.422,723577.9166,84586.44897,534090.2805,5114.970729
5,Tree nut farming,2.358443499,39117.28412,34995.07532,966.2354714,1108.638244,102.6623868
6,"Greenhouse, nursery, and floriculture production",563.9029541,27180599.21,12368594.17,675579.3691,3083133.459,14261.98985
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,161.677597,977040.0524,447010.1297,27643.86497,115177.8325,-10505.25345
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",59.24935532,1643999.815,36488.6038,73239.91507,292290.8366,333766.6988
12,Dairy cattle and milk production,13.16355705,2012000.084,132485.2258,32585.76617,121800.3035,198209.4496
13,Poultry and egg production,77.32359314,13603784.56,1161076.903,54715.20498,332091.4209,304765.9695
14,"Animal production, except cattle and poultry and eggs",404.5142212,10944328.31,1737411.976,1294392.824,4359588.623,3029702.187
15,"Forestry, forest products, and timber tract production",34.82181931,3993002.176,2966362.953,0,347351.1338,0
16,Commercial logging,115.8805313,12556988.72,3288227.797,4909675.598,438980.9668,37515.02186
17,Commercial fishing,1847.526245,91849273.68,36904876.71,26799293.52,23142492.29,3468039.751
18,Commercial hunting and trapping,0,0,0,0,0,0
19,Support activities for agriculture and forestry,427.2230835,12984546.66,10549893.38,1195389.509,-2375319.004,395555.7942
20,Oil and gas extraction,221.1911163,51120468.14,0,833474.1592,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,101.3502197,25905921.94,2355172.634,-301163.7628,9961002.35,1809124.589
29,Sand and gravel mining,194.90979,40344955.44,9785211.563,-343708.0681,11784345.63,2921821.356
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,0,0,0,0,0,0
35,Drilling oil and gas wells,17.45067596,3702074.528,0,-288039.6545,0,0
