IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2814815.114,4.73873E+11,1.26362E+11,15646524215,75458920014,16910884404
1,Oilseed farming,231.7411957,99558876.04,117914.0061,1215615.153,48667270.66,-2568728.924
2,Grain farming,1017.958984,196521972.7,6549364.567,1002509.952,62018043.52,-4748704.433
3,Vegetable and melon farming,1645.823853,165260238.6,14781244.28,379148.7515,30515029.91,36034.59895
4,Fruit farming,2173.057861,153347518.9,13173449.52,413533.9558,39688282.01,44464.00329
5,Tree nut farming,153.9205475,5443829.536,1587767.363,11772.23958,205306.7386,2563.968999
6,"Greenhouse, nursery, and floriculture production",2363.632324,234532882.7,33796333.31,495703.28,34385471.34,22881.29367
7,Tobacco farming,586.6797485,43837257.39,6606209.755,120840.8773,9621077.538,-509534.955
8,Cotton farming,1589.539185,173203994.8,26873373.03,416018.784,33667335.51,-855448.0672
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,14797.83301,274366973.9,39750385.28,660113.9903,41804813.39,-7378062.725
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1430.380859,128113983.2,900443.7327,485336.8998,29440685.27,3089617.729
12,Dairy cattle and milk production,108.6950455,42108001.71,878028.512,57991.6276,3294753.79,626358.1514
13,Poultry and egg production,2534.76416,1170056641,31623701.1,400180.4888,36918388.37,3823957.443
14,"Animal production, except cattle and poultry and eggs",672.6110229,54055416.11,2722893.238,544740.9749,27887315.75,1929902.196
15,"Forestry, forest products, and timber tract production",819.3514404,55802104.95,33721523.28,3172855.854,1542160.511,1382034.659
16,Commercial logging,4319.045898,322589416.5,154232009.9,14084293.37,1455513.954,8107515.335
17,Commercial fishing,731.6444092,22313959.12,1122041.702,-2594523.907,17719625.47,5694006.443
18,Commercial hunting and trapping,344.3122253,54169658.66,5380015.85,-85170.86506,42364322.66,2172217.131
19,Support activities for agriculture and forestry,5872.791504,264454193.1,178986526.5,36973064.42,-1288741.708,5533230.782
20,Oil and gas extraction,2387.869385,543138427.7,86662.94813,-69696.73187,140631.78,107458.1519
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,340.2931213,141500137.3,30313827.51,488806.4265,28227056.5,10581527.71
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,816.0493774,279492492.7,56146862.03,366275.3403,113553970.3,12145549.77
29,Sand and gravel mining,484.4830627,83195594.79,22998605.73,593946.0397,13244431.5,6097367.764
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,71.191185,18640737.53,5383270.264,22781.79303,4517343.044,1262786.865
34,Other nonmetallic minerals,200.4248505,31603380.2,7449946.404,227224.9609,4600684.166,2678252.697
35,Drilling oil and gas wells,239.8688354,58855506.9,2036113.739,1827477.694,-802868.7239,948538.7206
36,Support activities for oil and gas operations,326.2962036,62880352.02,7881997.585,1940095.782,-2458945.99,895679.4739
37,Metal mining services,258.6638489,57786193.85,53927.01551,41237.15311,-1364.949974,36213.55817
38,Other nonmetallic minerals services,312.8672485,72802001.95,4285872.459,-7496.310864,-1165933.49,737153.4705
39,Electric power generation - Hydroelectric,294.9656067,164854446.4,30101518.63,-97718.80507,54919078.83,11224826.81
40,Electric power generation - Fossil fuel,3703.408691,4973058105,417504577.6,0,1044232422,435442932.1
41,Electric power generation - Nuclear,3625.95459,3461690186,615478454.6,0,703933471.7,275148193.4
42,Electric power generation - Solar,604.7357788,117078613.3,9674023.628,-1350078.464,16751073.84,12214062.69
43,Electric power generation - Wind,0,0,0,0,0,0
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,338.9752502,43710742.95,2068290.234,-1473389.387,-1333124.399,4136006.832
47,Electric power transmission and distribution,3067.015625,3843546143,331451019.3,-44630.56475,782036743.2,325729797.4
48,Natural gas distribution,413.0778503,313579162.6,45485790.25,0,80297927.86,17298954.01
49,"Water, sewage and other systems",991.4634399,246804046.6,58034168.24,-205882.2662,62283020.02,13235946.66
50,Construction of new health care structures,4577.855957,664177307.1,165957763.7,77201522.83,134827026.4,4359121.799
51,Construction of new manufacturing structures,7856.830078,1128222412,306163696.3,122496727,137484176.6,8545050.621
52,Construction of new power and communication structures,10286.36328,1771452759,376278167.7,173584610,462231689.5,14982147.22
53,Construction of new educational and vocational structures,11719.61133,1511335815,479707763.7,162083923.3,273577667.2,8614798.546
54,Construction of new highways and streets,9584.883789,1898853760,366854827.9,150276138.3,449963623,11270255.09
55,"Construction of new commercial structures, including farm structures",18670.7207,2229972900,662570312.5,297789703.4,198540649.4,21820043.56
56,Construction of other new nonresidential structures,23685.08203,2060852051,861632568.4,389149932.9,-286770996.1,14751021.39
57,Construction of new single-family residential structures,28734.64258,3863874756,1021535095,493636871.3,620002014.2,26253849.03
58,Construction of new multifamily residential structures,8911.402344,910011108.4,318468505.9,153531158.4,220647033.7,5513111.115
59,Construction of other new residential structures,20103.02148,3890591309,731487731.9,339939788.8,612950866.7,38008266.45
60,Maintenance and repair construction of nonresidential structures,13667.93164,2654120605,493345611.6,234435806.3,334491943.4,25609525.68
61,Maintenance and repair construction of residential structures,6584.444336,1340400635,230928695.7,100687797.5,199134338.4,22332660.68
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",4940.355469,494932128.9,180398819,83793922.42,-47203254.7,5741394.997
63,Dog and cat food manufacturing,399.0077515,553374694.8,27264675.14,2414851.665,87475563.05,13805814.74
64,Other animal food manufacturing,369.5228882,382998199.5,22690855.03,3221315.145,16902389.53,10703137.4
65,Flour milling,210.7090454,243228347.8,15543769.84,1062273.86,18892890.93,1909753.084
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,0,0,0,0,0,0
68,Wet corn milling,9.510956764,17611532.21,687006.9504,187836.7066,1012188.554,181914.404
69,Soybean and other oilseed processing,14.75009727,67340957.64,541181.0279,949686.0504,2477594.852,542042.9111
70,Fats and oils refining and blending,15.72626495,24848886.49,761931.479,530047.3571,843365.3116,201236.1437
71,Breakfast cereal manufacturing,85.4135437,69598892.21,4367394.924,1726801.276,7375069.141,666066.2889
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,88.25045776,40833606.72,3080368.28,7134730.816,1687089.324,297606.1106
75,Chocolate and confectionery manufacturing from cacao beans,27.6570797,18493169.78,761647.4032,1727739.215,988378.1075,186453.566
76,Confectionery manufacturing from purchased chocolate,30.77794456,13460445.4,303519.3086,4512910.366,156738.5793,90479.53784
77,"Frozen fruits, juices and vegetables manufacturing",30.02140236,19166852.95,570034.9808,7721120.358,574820.1609,118654.6907
78,Frozen specialties manufacturing,1675.969238,620899414.1,77013496.4,6921211.243,47457321.17,4258558.273
79,Canned fruits and vegetables manufacturing,594.7128296,302331237.8,29531244.28,11465740.2,28397737.5,2120107.412
80,Canned specialties,0,0,0,0,0,0
81,Dehydrated food products manufacturing,0,0,0,0,0,0
82,Cheese manufacturing,13.49574375,12296358.11,491459.8167,568266.0341,234289.6312,100352.8088
83,"Dry, condensed, and evaporated dairy product manufacturing",0,0,0,0,0,0
84,Fluid milk manufacturing,413.0238037,307343200.7,26757255.55,3915846.825,20722042.08,2907911.301
85,Creamery butter manufacturing,0,0,0,0,0,0
86,Ice cream and frozen dessert manufacturing,12.07160378,6261342.049,103076.16,1996600.032,69640.1298,53140.33478
87,Frozen cakes and other pastries manufacturing,2626.555176,223082550,71752235.41,9490191.46,19068603.52,17627836.23
88,Poultry processing,8049.656738,2447399902,347303283.7,6385967.731,135160598.8,18704082.49
89,"Animal, except poultry, slaughtering",935.050415,650722106.9,49833572.39,9964722.633,20490558.62,6513699.055
90,Meat processed from carcasses,1429.879517,734973327.6,68263618.47,10492726.33,6146796.227,6477753.162
91,Rendering and meat byproduct processing,184.8343353,71225692.75,14858483.31,736410.8562,-487263.1133,743409.6336
92,Seafood product preparation and packaging,61.49089432,37840335.85,769418.2992,16366571.43,231531.8882,264870.1966
93,"Bread and bakery product, except frozen, manufacturing",4936.712891,758744384.8,159863815.3,109410759,56755474.09,20959724.43
94,Cookie and cracker manufacturing,160.5064697,60527263.64,6276654.243,8282798.767,3396450.996,518394.7086
95,"Dry pasta, mixes, and dough manufacturing",418.1292725,240317291.3,21724823,3156430.721,34852409.36,2302569.389
96,Tortilla manufacturing,13.21332932,4399915.218,284581.4824,1915187.359,71127.48921,28313.13014
97,Roasted nuts and peanut butter manufacturing,177.8751373,78398773.19,10992220.88,3419430.971,3912941.217,67874.62533
98,Other snack food manufacturing,236.3035736,121322509.8,12567167.28,12280652.05,4929099.083,456104.7256
99,Coffee and tea manufacturing,361.1827087,237089294.4,14564455.03,11978756.9,16949813.84,2113559.723
100,Flavoring syrup and concentrate manufacturing,0,0,0,0,0,0
101,"Mayonnaise, dressing, and sauce manufacturing",312.0918579,175098373.4,15727563.86,4240751.266,17288667.68,1514379.621
102,Spice and extract manufacturing,296.8586731,167840057.4,18160795.21,5275629.52,11830220.22,1482844.114
103,All other food manufacturing,1037.091187,397232330.3,39942169.19,49797786.71,17047620.77,2821956.396
104,Bottled and canned soft drinks & water,1123.264404,848020507.8,76637199.4,878079.7124,95579895.02,11059073.45
105,Manufactured ice,63.52352142,9011066.437,3269955.397,99858.3287,-1550256.968,118105.3892
106,Breweries,585.0759277,266773529.1,20127218.25,1786201.715,33440155.03,31870737.08
107,Wineries,102.8474655,33139949.8,3387998.581,591294.229,2689813.137,1510187.984
108,Distilleries,124.5418777,147382446.3,5971848.011,636465.3707,18909791.95,46833515.17
109,Tobacco product manufacturing,38.95843506,124912254.3,1776708.841,56502.47633,22266899.11,47691085.82
110,"Fiber, yarn, and thread mills",2809.912354,929419433.6,130036346.4,83307.64621,52995597.84,13869240.76
111,Broadwoven fabric mills,6141.29834,1520394897,328610534.7,169898.51,138302658.1,19206487.66
112,Narrow fabric mills and schiffli machine embroidery,904.6654663,153015045.2,42252559.66,191600.5164,4313312.054,1693600.774
113,Nonwoven fabric mills,1403.642944,669114318.8,106583740.2,113244.161,92783302.31,7993333.34
114,Knit fabric mills,487.3321228,110148063.7,25091499.33,87951.42919,8324641.228,1392105.341
115,Textile and fabric finishing mills,2657.072266,694500976.6,138107513.4,380186.3194,38231597.9,7960868.359
116,Fabric coating mills,472.9850159,164652984.6,24528724.67,35360.63805,8304529.19,1835296.512
117,Carpet and rug mills,851.3858643,312711212.2,52296813.96,279498.8751,37210983.28,4924464.703
118,Curtain and linen mills,584.5948486,125390014.6,22892873.76,6169786.93,9610446.93,1564942.837
119,Textile bag and canvas mills,505.9164429,87279121.4,19322299.96,7443568.707,4907325.268,1031428.099
120,"Rope, cordage, twine, tire cord and tire fabric mills",129.7223816,38764709.47,7852932.453,812350.9288,5427733.898,493896.693
121,Other textile product mills,1516.640381,238943344.1,62425350.19,19200061.8,13451149.94,2770570.755
122,Hosiery and sock mills,75.21431732,9583912.849,2115966.32,187316.6114,2729460.716,529139.1611
123,Other apparel knitting mills,83.09031677,7204214.573,1066430.688,179144.6805,415716.8269,541646.5998
124,Cut and sew apparel contractors,586.2329712,44196960.45,20933145.52,154222.399,4002136.23,1075561.523
125,Mens and boys cut and sew apparel manufacturing,120.6863327,21722370.15,3282403.946,177728.0271,6677855.492,685721.5166
126,Womens and girls cut and sew apparel manufacturing,223.7138672,55371501.92,4284487.247,168804.3028,16151117.32,1184334.159
127,Other cut and sew apparel manufacturing,288.9205322,49074241.64,8147377.014,173030.9278,18513364.79,1045217.752
128,Apparel accessories and other apparel manufacturing,219.2836456,33904903.41,5967153.072,162265.6882,12427247.05,841514.8258
129,Leather and hide tanning and finishing,23.94005966,8580730.438,320717.0963,95150.36643,2066902.876,158742.3086
130,Footwear manufacturing,27.54906845,6628129.005,1586982.489,90146.31808,1578121.901,101479.5452
131,Other leather and allied product manufacturing,88.57191467,11030716.9,3239374.161,133574.5007,1071478.367,206462.3088
132,Sawmills,2203.148682,670989379.9,140632446.3,362927.109,81233383.18,5698589.802
133,Wood preservation,658.4282837,418976562.5,38228656.77,137282.4758,100928215,3598320.723
134,Veneer and plywood manufacturing,1466.367554,421591705.3,89595947.27,126762.2113,51891635.89,3491780.043
135,Engineered wood member and truss manufacturing,639.5089111,144802276.6,32760391.24,165602.2817,15569945.34,1216913.819
136,Reconstituted wood product manufacturing,963.1808472,608601074.2,86919906.62,101074.5987,151264785.8,4992011.547
137,Wood windows and door manufacturing,482.0473938,112671020.5,26657257.08,103505.4475,13044700.62,1024189.353
138,"Cut stock, resawing lumber, and planing",152.9508057,34628833.77,5534888.744,55973.77568,5823020.935,338775.1877
139,"Other millwork, including flooring",560.0401001,110062042.2,22119871.14,263198.2267,13970172.88,1082523.346
140,Wood container and pallet manufacturing,1290.14624,177801803.6,39310134.89,480209.1718,10743724.82,1799247.742
141,Manufactured home (mobile home) manufacturing,0,0,0,0,0,0
142,Prefabricated wood building manufacturing,370.1304321,63071510.31,19041200.64,125581.637,3459677.458,577154.5768
143,All other miscellaneous wood product manufacturing,645.6564331,113054992.7,28010915.76,413827.4193,11486436.84,1042446.256
144,Pulp mills,8.013885498,7156856.06,366128.5639,2234457.254,225031.1375,71436.12206
145,Paper mills,1534.908203,1324425171,180112182.6,744819.8795,254026092.5,15067969.32
146,Paperboard mills,2553.492676,2280840332,270869079.6,2042198.658,337250885,29680522.92
147,Paperboard container manufacturing,3800.120117,1929131592,332457061.8,3784938.812,152308486.9,23585374.83
148,Paper bag and coated and treated paper manufacturing,1557.17627,796398925.8,149367004.4,640088.439,110723228.5,9059454.918
149,Stationery product manufacturing,163.8287048,73804222.11,16139528.27,939097.5833,6240498.543,882435.3218
150,Sanitary paper product manufacturing,1911.040894,1625511475,175543991.1,4273449.898,374187744.1,20087043.76
151,All other converted paper product manufacturing,915.994873,317088012.7,71610229.49,496020.7939,32048950.2,4016354.561
152,Printing,6407.319824,962237182.6,289020263.7,6315247.059,98652053.83,12678162.57
153,Support activities for printing,215.447113,25606794.36,10885600.09,115582.1383,3590904.474,321808.517
154,Petroleum refineries,42.0055275,377155242.9,6303153.515,1097388.387,90205070.5,4028309.822
155,Asphalt paving mixture and block manufacturing,175.3297272,138051605.2,12021671.3,500995.1591,13871307.37,634800.7917
156,Asphalt shingle and coating materials manufacturing,65.16344452,68350189.21,5371277.332,304118.7227,23724571.23,472301.96
157,Petroleum lubricating oil and grease manufacturing,141.9895325,185370956.4,11885451.32,1358983.278,62876911.16,1115171.79
158,All other petroleum and coal products manufacturing,116.0151978,115705658,10218232.15,379312.3066,37806270.6,1082476.258
159,Petrochemical manufacturing,763.0266113,4196783691,104729911.8,116439.186,494309082,88455162.05
160,Industrial gas manufacturing,252.5442657,232851974.5,20484622.96,3508263.35,25176086.43,4690638.065
161,Synthetic dye and pigment manufacturing,702.4512939,510721160.9,69351074.22,287255.4958,65828620.91,7608201.504
162,Other basic inorganic chemical manufacturing,1792.548828,1406205200,211445877.1,554215.4908,182094635,22714809.42
163,Other basic organic chemical manufacturing,1166.262451,1769835205,162980072,685977.6378,113424308.8,25094408.04
164,Plastics material and resin manufacturing,2278.530029,2892024170,232742523.2,2151437.998,105531189,44688407.9
165,Synthetic rubber manufacturing,113.2268372,92863426.21,5781536.102,1375651.598,2514987.946,1456769.466
166,Artificial and synthetic fibers and filaments manufacturing,7561.087891,5565296875,709002746.6,772713.244,241622543.3,72688781.74
167,Nitrogenous fertilizer manufacturing,84.44603729,83342422.49,8602709.77,494035.4228,9227322.578,1327338.099
168,Phosphatic fertilizer manufacturing,0,0,0,0,0,0
169,Fertilizer mixing,158.7828674,86282524.11,9711698.532,1359844.804,8655261.993,1374367.118
170,Pesticide and other agricultural chemical manufacturing,62.25746918,89817985.53,5322695.732,577836.5731,8317319.87,1499344.468
171,Medicinal and botanical manufacturing,34.43313599,21073595.05,4718663.216,135917.5146,3429418.325,279769.7484
172,Pharmaceutical preparation manufacturing,3186.041504,3718749023,269086334.2,2200369.835,593107238.8,153218933.1
173,In-vitro diagnostic substance manufacturing,5.161922455,2168039.56,518023.6697,48032.06772,230195.0455,29096.72074
174,Biological product (except diagnostic) manufacturing,89.68090057,44499378.2,5796433.449,491490.4535,6469658.375,840139.2698
175,Paint and coating manufacturing,532.1522827,399854248,46469627.38,4327682.972,40319190.98,6006081.104
176,Adhesive manufacturing,442.0670166,265458770.8,32468486.79,1253713.131,18776193.62,3853774.071
177,Soap and other detergent manufacturing,508.4952393,543836853,34938652.04,2347228.527,71896163.94,9376008.987
178,Polish and other sanitation good manufacturing,609.0037231,359365173.3,42394882.2,1927071.571,38955638.89,6034358.501
179,Surface active agent manufacturing,1077.772583,1067314941,111899627.7,3514109.135,195340576.2,15399511.34
180,Toilet preparation manufacturing,92.33270264,62247829.44,3167389.154,1953193.426,7340826.035,1399000.525
181,Printing ink manufacturing,403.7128601,175177139.3,34243984.22,684105.0386,639674.3059,2400156.26
182,Explosives manufacturing,0,0,0,0,0,0
183,Custom compounding of purchased resins,125.7044296,70363494.87,10721229.55,438262.1944,6637710.571,988807.559
184,Photographic film and chemical manufacturing,740.1746216,526077148.4,65240943.91,250388.4733,60184673.31,7522772.789
185,Other miscellaneous chemical product manufacturing,1384.571167,798251342.8,120155113.2,5437389.374,50875938.42,12810505.87
186,Plastics packaging materials and unlaminated film and sheet manufacturing,3245.709473,1486684937,237418167.1,3000784.874,174963165.3,17308219.91
187,Unlaminated plastics profile shape manufacturing,1442.695923,712143127.4,121705818.2,132824.2272,166166229.2,6907330.513
188,Plastics pipe and pipe fitting manufacturing,218.2899628,116706207.3,16423061.37,1693317.533,26528989.79,1359173.417
189,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",336.2102966,108209686.3,18282371.52,711305.5587,17860702.51,1347353.935
190,Polystyrene foam product manufacturing,444.0495605,151875213.6,22708261.49,1673345.327,16535184.86,2060296.535
191,Urethane and other foam product (except polystyrene) manufacturing,358.3954163,136688278.2,23164604.19,338135.6299,16213289.26,1653251.886
192,Plastics bottle manufacturing,406.093689,176616653.4,25191551.21,1067558.05,18153573.99,2031893.73
193,Other plastics product manufacturing,5293.197266,1510252075,309591430.7,11369564.06,170326141.4,17798583.98
194,Tire manufacturing,9652.900391,3909499023,779941589.4,516533.3152,296699340.8,60195659.64
195,Rubber and plastics hoses and belting manufacturing,1155.417847,351525329.6,72898765.56,514396.9655,49449638.37,4221760.273
196,Other rubber product manufacturing,776.3587036,248807357.8,44851947.78,1525713.444,24328470.23,3242292.404
197,"Pottery, ceramics, and plumbing fixture manufacturing",425.4729919,75484733.58,27609939.58,9428.282268,10012954.71,973403.6326
198,"Brick, tile, and other structural clay product manufacturing",486.0739136,129583786,26119358.06,15971.24897,27278305.05,2043314.457
199,Flat glass manufacturing,277.8869324,120243614.2,21191045.76,737.571856,30489370.35,1453578.591
200,Other pressed and blown glass and glassware manufacturing,1304.582764,358446685.8,106174980.2,4863.84891,60993267.06,3801757.813
201,Glass container manufacturing,0,0,0,0,0,0
202,Glass product manufacturing made of purchased glass,397.9494934,109487342.8,25693737.03,7114.379201,21516256.33,1314596.415
203,Cement manufacturing,471.7929993,347347442.6,48055000.31,820.9563675,92075592.04,4593183.517
204,Ready-mix concrete manufacturing,2043.638916,836349792.5,130826095.6,47341.10087,120106559.8,11118934.63
205,Concrete block and brick manufacturing,511.3085632,172536438,30777341.84,1890.499727,36144149.78,2668000.221
206,Concrete pipe manufacturing,125.9768524,39128349.3,7782615.662,985.5637327,6889814.854,650682.2109
207,Other concrete product manufacturing,1027.98584,268023834.2,73406944.27,3290.957771,45881305.69,3303908.825
208,Lime manufacturing,3.840787172,2450879.574,341375.351,0,648394.7635,43035.55563
209,Gypsum product manufacturing,76.83292389,49347854.61,6051002.026,450.5765392,13215132.71,661501.646
210,Abrasive product manufacturing,111.4893341,47511837.01,7091340.065,763.400807,18540687.56,599341.6309
211,Cut stone and stone product manufacturing,247.8148956,31071491.24,9942026.138,6579.693872,2122015.238,435317.7845
212,Ground or treated mineral and earth manufacturing,47.88510895,27834777.83,2769833.565,5733.721424,6999895.096,408978.9093
213,Mineral wool manufacturing,8.320396423,3042488.575,264026.3438,1359.03887,509814.8584,53684.46931
214,Miscellaneous nonmetallic mineral products manufacturing,237.2375793,117318397.5,19672883.99,2136.721043,40478359.22,1361861.11
215,Iron and steel mills and ferroalloy manufacturing,2257.75708,2310652832,288970214.8,-926892.817,219685592.7,32950260.16
216,"Iron, steel pipe and tube manufacturing from purchased steel",74.63130951,31232040.41,5721247.673,-599613.5473,3113373.995,464691.788
217,Rolled steel shape manufacturing,591.1494751,392002166.7,45687023.16,-170685.8277,63749130.25,5588181.496
218,Steel wire drawing,262.2868652,92927589.42,14293004.99,-476894.2595,11317668.91,1414833.665
219,Alumina refining and primary aluminum production,436.3808594,338524566.7,47276771.55,-55704.95501,39444248.2,4430507.66
220,Secondary smelting and alloying of aluminum,125.861557,121147361.8,9783698.082,-240352.6902,6064669.132,1689689.994
221,"Aluminum sheet, plate, and foil manufacturing",206.4523468,184189117.4,22227108,-73392.48061,23108310.7,2585847.139
222,"Other aluminum rolling, drawing and extruding",264.2592773,116628784.2,19703062.06,-65680.63796,9004257.202,1545138.717
223,Nonferrous metal (exc aluminum) smelting and refining,96.5170517,125763809.2,9520140.648,-123027.3768,47832172.39,1711126.566
