IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,608177.4013,1.06138E+11,24886962088,5911566863,18027336035,3177396040
1,Oilseed farming,2217.93457,2230620850,3031485.558,472168029.8,612776306.2,-17911123.28
2,Grain farming,7232.753906,3042155518,116335922.2,269038055.4,539520019.5,-24565795.9
3,Vegetable and melon farming,8.853992462,1815122.008,186291.3966,72194.12178,188352.108,226.4557552
4,Fruit farming,8.485226631,1243470.43,122575.1936,58133.25197,180859.0442,202.8168383
5,Tree nut farming,0,0,0,0,0,0
6,"Greenhouse, nursery, and floriculture production",107.7280426,20647388.46,3414092.779,756550.4313,1701200.724,1218.547812
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,3170.177734,133456970.2,22186824.8,5566511.154,11427597.05,-1151175.141
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",13098.2998,2739807861,22096548.08,179937439,353826751.7,33074459.08
12,Dairy cattle and milk production,581.3690186,467964996.3,11197001.46,11172973.63,20577419.28,3913526.297
13,Poultry and egg production,180.4412231,175556793.2,5444622.993,1040929.675,3112954.14,317995.6675
14,"Animal production, except cattle and poultry and eggs",5284.785645,949202941.9,54864925.38,165830581.7,275198303.2,17718667.98
15,"Forestry, forest products, and timber tract production",60.92398834,4569234.848,2431407.69,689373.3144,144873.4403,115103.1628
16,Commercial logging,419.0588989,44103607.18,7488741.398,21250886.92,-524262.2495,1847629.905
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,506.7075806,16458839.42,511477.6492,1903072.715,-2356482.744,8038192.749
19,Support activities for agriculture and forestry,4649.748535,182822631.8,95054748.54,78725555.42,-35063083.65,9070640.564
20,Oil and gas extraction,1246.127319,290531005.9,2207477.093,1165871.62,1568948.15,2286216.021
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,155.2366028,63276428.22,17734392.17,0,8217859.268,4529534.817
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,242.3094635,58249767.3,11645555.5,2601123.81,11720726.97,3397062.54
29,Sand and gravel mining,423.6760559,68346298.22,12508226.39,12015924.45,3584636.211,5029420.853
30,"Other clay, ceramic, refractory minerals mining",280.2600403,60978256.23,20756870.27,604832.9473,6384876.728,3166614.532
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,0,0,0,0,0,0
35,Drilling oil and gas wells,126.08284,30290168.76,774520.9932,445005.0592,-130656.9278,372334.1823
36,Support activities for oil and gas operations,215.2988739,39502563.48,2056670.666,1111616.969,-367102.5932,660649.4188
37,Metal mining services,142.5278931,32714904.79,382148.7427,156149.2383,119485.3932,287648.4096
38,Other nonmetallic minerals services,133.9661407,30301813.13,237316.817,125285.9533,168704.5395,245883.1221
39,Electric power generation - Hydroelectric,26.63516808,9421795.845,1006166.22,-143181.0409,1489656.091,864988.7443
40,Electric power generation - Fossil fuel,287.156311,359702240,30693845.75,-463935.3752,62297214.51,28676519.39
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,303.5089722,244176330.6,7990894.794,-959464.1328,45279975.89,23860109.33
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,1315.348022,1630473267,162652740.5,0,314351806.6,122307411.2
48,Natural gas distribution,202.2984772,150262085,24470350.27,0,35082805.63,7210918.903
49,"Water, sewage and other systems",201.4721985,54788173.68,15556043.62,0,13752411.84,2424515.486
50,Construction of new health care structures,1046.937744,133733184.8,36540786.74,21410165.79,10783390.05,544998.5266
51,Construction of new manufacturing structures,1769.272461,237561447.1,63749561.31,33511592.86,14629676.82,1021066.427
52,Construction of new power and communication structures,2356.320801,345131408.7,81250297.55,49512634.28,40106727.6,3745779.991
53,Construction of new educational and vocational structures,2598.426758,293575134.3,95593849.18,44574146.27,22171945.57,1009855.986
54,Construction of new highways and streets,2143.485596,360675872.8,76009338.38,41331184.39,36120944.98,1363759.637
55,"Construction of new commercial structures, including farm structures",4117.383301,473036682.1,140099121.1,82245910.64,15745353.7,3558655.262
56,Construction of other new nonresidential structures,5247.745117,364142089.8,175653701.8,108239982.6,-161539459.2,2036563.873
57,Construction of new single-family residential structures,6445.754395,813148498.5,209450256.3,137354766.8,76000946.04,8449666.023
58,Construction of new multifamily residential structures,1982.55481,177465042.1,65301132.2,42429939.27,21180088.04,1422496.319
59,Construction of other new residential structures,4454.586426,776104736.3,149676498.4,93537948.61,47937713.62,4504648.685
60,Maintenance and repair construction of nonresidential structures,3027.885498,543161926.3,101594162,64582893.37,27013519.29,2999439.001
61,Maintenance and repair construction of residential structures,1495.104248,277789184.6,48358860.02,28568483.35,17209709.17,4879090.786
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",1096.595337,94379920.96,37422740.94,23133802.41,-27242740.63,646457.1953
63,Dog and cat food manufacturing,295.7788696,390800628.7,22713407.52,-1333759.189,52982509.61,3309021.473
64,Other animal food manufacturing,520.7200928,515370544.4,33979778.29,-5866899.967,18916616.44,4047421.932
65,Flour milling,36.47610092,40119220.73,2460849.285,-252889.3948,2174657.822,106909.059
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,0,0,0,0,0,0
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,119.1942062,542264587.4,8394663.811,-3213904.619,27941833.5,1414758.086
70,Fats and oils refining and blending,30.68458366,47850131.99,2351035.595,-445044.9646,1892007.589,126845.33
71,Breakfast cereal manufacturing,0,0,0,0,0,0
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,76.68215942,27946554.18,3958258.39,-2551756.382,1576171.398,83526.35801
75,Chocolate and confectionery manufacturing from cacao beans,0,0,0,0,0,0
76,Confectionery manufacturing from purchased chocolate,37.12711716,9751028.061,637411.8328,-1289809.346,239317.0148,35138.8827
77,"Frozen fruits, juices and vegetables manufacturing",0,0,0,0,0,0
78,Frozen specialties manufacturing,240.3193054,85558486.94,13316872.6,-3502645.016,5966263.771,197565.6301
79,Canned fruits and vegetables manufacturing,0,0,0,0,0,0
80,Canned specialties,0,0,0,0,0,0
81,Dehydrated food products manufacturing,0,0,0,0,0,0
82,Cheese manufacturing,1090.358398,985081298.8,76502250.67,-1354155.66,26515701.29,2615607.738
83,"Dry, condensed, and evaporated dairy product manufacturing",26.8774395,34603004.46,1829448.104,-154210.1651,2479197.025,95663.77103
84,Fluid milk manufacturing,130.4664001,92576576.23,7995991.23,-149148.6281,4502224.445,296908.3488
85,Creamery butter manufacturing,0,0,0,0,0,0
86,Ice cream and frozen dessert manufacturing,0,0,0,0,0,0
87,Frozen cakes and other pastries manufacturing,490.1740417,39337760.93,12527261.73,656938.6125,2307420.969,4223971.367
88,Poultry processing,86.27533722,22109457.02,2773254.871,-2304441.452,784684.062,64901.51584
89,"Animal, except poultry, slaughtering",4840.768555,3307196045,298918090.8,-12122185.71,90077301.03,10903649.33
90,Meat processed from carcasses,1823.476807,913154541,85807052.61,-901742.9352,4849042.416,2648640.871
91,Rendering and meat byproduct processing,27.91435242,9931464.195,1654036.641,-172578.4987,45934.60634,41190.43052
92,Seafood product preparation and packaging,0,0,0,0,0,0
93,"Bread and bakery product, except frozen, manufacturing",771.4093628,79360603.33,18805578.23,-12578167.92,4489236.355,4303303.242
94,Cookie and cracker manufacturing,307.8659363,107269401.6,19163494.11,-415824.0855,7539380.55,320960.7005
95,"Dry pasta, mixes, and dough manufacturing",297.4136353,165572464,17889291.76,-522652.4472,20865730.29,529509.3656
96,Tortilla manufacturing,4.571022034,305339.2768,76468.63908,-1035300.493,13895.62339,3178.753657
97,Roasted nuts and peanut butter manufacturing,55.15786743,18926652.91,2335636.854,-2586141.348,543876.5287,25734.93868
98,Other snack food manufacturing,72.25920868,31314435.96,3449217.319,-1668628.812,1612177.134,67437.83504
99,Coffee and tea manufacturing,0,0,0,0,0,0
100,Flavoring syrup and concentrate manufacturing,0,0,0,0,0,0
101,"Mayonnaise, dressing, and sauce manufacturing",9.569121361,2957375.765,215592.5632,-1625610.709,172304.9134,15134.66612
102,Spice and extract manufacturing,0,0,0,0,0,0
