IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,4056363.327,7.25051E+11,1.94518E+11,46071597161,1.02975E+11,26549929922
1,Oilseed farming,4161.638184,676962463.4,1089793.324,-8088167.191,311478881.8,-4722781.181
2,Grain farming,6201.52002,534161193.8,24196609.5,-14662646.29,158666870.1,-2966823.816
3,Vegetable and melon farming,1755.560059,95063873.29,11557189.94,-13356254.58,16522203.45,60109.70846
4,Fruit farming,359.0139465,12938710.21,1510803.342,-2515939.951,3151980.639,11486.08048
5,Tree nut farming,95.94831085,2075231.314,822702.8251,-429007.0236,73666.86314,2499.533584
6,"Greenhouse, nursery, and floriculture production",4597.213867,303356445.3,59417343.14,-20790655.14,41863105.77,69582.56662
7,Tobacco farming,2322.266113,99980590.82,20479475.02,-10091145.52,20653945.92,-207048.9675
8,Cotton farming,4210.416016,309457000.7,65261749.27,-31231884,56618473.05,-232535.0344
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,19559.51367,146557266.2,28860977.17,-15412459.37,21018842.7,-999201.5362
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",16406.29102,559112976.1,5341382.504,-42867874.15,120936645.5,55277145.39
12,Dairy cattle and milk production,558.5344849,110316001.9,3126631.021,-5123493.195,8124634.743,5032496.452
13,Poultry and egg production,2715.996826,612411743.2,22497978.21,-10211393.36,18188060.76,6405354.023
14,"Animal production, except cattle and poultry and eggs",4323.750977,145616378.8,9970013.618,-12417954.44,70710632.32,19372314.45
15,"Forestry, forest products, and timber tract production",326.6128845,27205528.26,13962558.75,5521053.791,1138466.716,212034.5533
16,Commercial logging,3540.181152,298355499.3,51335018.16,126111953.7,-3211469.173,5505860.329
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,688.8011475,14330428.12,918468.4753,-349209.8451,-1560126.424,3701978.683
19,Support activities for agriculture and forestry,6970.194824,234168960.6,172960403.4,55022773.74,-52518005.37,6185008.049
20,Oil and gas extraction,3430.431152,791956726.1,3180888.176,4959652.424,-1563209.414,5483438.969
21,Coal mining,447.6299744,124468513.5,21720024.11,1217882.872,13395942.69,6138775.349
22,"Copper, nickel, lead, and zinc mining",1119.032959,995537658.7,82818870.54,812168.0617,274809997.6,67188270.57
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,2147.094971,443888793.9,88873710.63,4900925.636,78571334.84,15591282.84
29,Sand and gravel mining,878.7525635,175291671.8,76108207.7,1629662.633,19159196.85,5368993.759
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,181.2541962,23583066.94,5142805.099,813855.4692,1388300.061,1183147.43
35,Drilling oil and gas wells,474.9267883,119881858.8,4632441.521,4576451.302,-586502.552,2666986.227
36,Support activities for oil and gas operations,597.6702271,115082023.6,8401238.441,4955465.794,-868245.0056,2544403.076
37,Metal mining services,374.2077332,85427284.24,1030659.437,556948.6022,-203658.5808,632418.5133
38,Other nonmetallic minerals services,477.0122375,119267143.2,12982337.95,671610.5938,-1038234.711,1523328.781
39,Electric power generation - Hydroelectric,27.11521339,21214399.34,4063979.626,0,9389751.434,1444685.817
40,Electric power generation - Fossil fuel,12.51503944,21804203.03,2242708.683,0,7103567.6,2063519.716
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,15.30635262,7432805.061,1561094.165,0,3423200.13,428972.9893
43,Electric power generation - Wind,288.1521606,200249435.4,245700.0166,690104.6634,2172712.564,37636741.64
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,158.0826569,60911609.65,3619379.282,255667.15,9887619.972,6603445.053
46,Electric power generation - All other,13.42055607,2928204.775,1959822.059,0,-854503.2144,226833.3137
47,Electric power transmission and distribution,2722.710205,3673102539,285546661.4,695929.4081,858606262.2,393797058.1
48,Natural gas distribution,568.1450806,481079132.1,65733665.47,883613.646,146662094.1,33299793.24
49,"Water, sewage and other systems",1271.004395,253917297.4,34721317.29,2664000.511,47567550.66,23518730.16
50,Construction of new health care structures,6461.786133,883918212.9,224283309.9,221280914.3,35566246.03,4973287.106
51,Construction of new manufacturing structures,11085.69824,1604984253,412979370.1,330599639.9,71707481.38,8683303.833
52,Construction of new power and communication structures,14467.68262,2179789063,496437011.7,466391601.6,152610870.4,17390928.27
53,Construction of new educational and vocational structures,15942.56543,1923652100,597231140.1,435014312.7,84217163.09,8195997.238
54,Construction of new highways and streets,13254.99609,2302170654,479429870.6,403064514.2,135751693.7,10974713.33
55,"Construction of new commercial structures, including farm structures",25829.32617,3207539307,858618164.1,802982177.7,66852226.26,27536947.25
56,Construction of other new nonresidential structures,32730.5918,2499569824,1117154175,1050406982,-1178383301,15044450.76
57,Construction of new single-family residential structures,40055.56641,5456956543,1322828003,1330457031,396335205.1,34156017.3
58,Construction of new multifamily residential structures,12393.53125,1219921143,412206024.2,412857635.5,93673736.57,6551615.715
59,Construction of other new residential structures,27865.06836,5069961914,943004943.8,912780700.7,172950134.3,35848438.26
60,Maintenance and repair construction of nonresidential structures,19007.63477,3575481934,641919982.9,629991577.1,100430488.6,25013887.41
61,Maintenance and repair construction of residential structures,9199.03418,1777100464,304088836.7,273548309.3,68842933.65,30670644.76
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",6887.911621,646512207,236981369,225495239.3,-201757476.8,6286360.741
63,Dog and cat food manufacturing,320.8923035,746401001,91885978.7,7735880.375,304244537.4,2818603.039
64,Other animal food manufacturing,407.3530273,427604217.5,25916128.16,8858537.674,18663448.33,10954834.94
65,Flour milling,404.6808777,481332214.4,36701671.6,2371798.754,46037853.24,930417.6569
66,Rice milling,326.3234558,252590011.6,31813226.7,103197.7013,27083921.43,344888.0613
67,Malt manufacturing,0,0,0,0,0,0
