IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,17327690.52,3.37855E+12,9.14979E+11,1.59561E+11,5.98609E+11,1.35602E+11
1,Oilseed farming,123.9740601,40777011.87,93975.30556,12846517.56,13439557.08,-1968599.796
2,Grain farming,9612.610352,1515456909,98275344.85,199468826.3,322450531,-83691413.88
3,Vegetable and melon farming,3846.080322,337121673.6,58673530.58,19956382.75,41970550.54,61566.63224
4,Fruit farming,2156.733643,130445999.1,21805521.01,9076514.244,22762966.16,32263.78933
5,Tree nut farming,1787.715332,57435993.19,32597133.64,3204738.379,1460479.14,21770.8908
6,"Greenhouse, nursery, and floriculture production",8582.496094,792934814.5,222339309.7,43242362.98,78382888.79,60733.16559
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,26756.69531,2725644043,822898559.6,168918808,357217315.7,-20641756.06
9,Sugarcane and sugar beet farming,229.6528015,24667999.27,5805469.99,2738939.524,3559739.113,-655981.6599
10,All other crop farming,57768.09375,841946411.1,237359649.7,52266742.71,86495086.67,-41273826.6
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",125787.8281,8643017578,118205665.6,844823547.4,1339150269,312933837.9
12,Dairy cattle and milk production,6545.27002,2171988037,88128082.28,77181282.04,114585144,6613808.632
13,Poultry and egg production,7680.038574,2991868896,157348007.2,26402524.95,63648910.52,29752807.62
14,"Animal production, except cattle and poultry and eggs",10208.05176,654138244.6,64117088.32,170088226.3,227535705.6,105273292.5
15,"Forestry, forest products, and timber tract production",1590.97876,111353179.9,69847290.04,2303188.324,7110300.064,1056316.495
16,Commercial logging,4904.797852,320332458.5,134449661.3,9910097.122,6977602.959,4659344.196
17,Commercial fishing,5433.921387,330301696.8,40962734.22,-43973491.67,303652191.2,24141750.34
18,Commercial hunting and trapping,2781.648926,168090408.3,25260984.42,-2535344.601,91817962.65,10070000.65
19,Support activities for agriculture and forestry,46402.69922,1768520386,1285277344,260891296.4,-150862747.2,23580993.65
20,Oil and gas extraction,237340.0781,1.35311E+11,13199662109,10468618164,45683156250,12001604492
21,Coal mining,2904.063477,1291383911,272730896,-14426657.68,441787658.7,59331951.14
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,93.27442169,21949882.51,568451.2258,-2950378.895,294777.9894,1814796.925
24,Gold ore mining,179.1156616,40877799.99,80055.7062,-1213437.557,85584.93853,4086360.931
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,316.5788879,24119390.49,4661885.262,-27006166.46,3322096.109,3089179.039
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,3980.258789,1003402588,167470367.4,-70544006.35,388861572.3,43134792.33
29,Sand and gravel mining,8870.681641,1536862427,515435119.6,-137528884.9,340789367.7,81000450.13
30,"Other clay, ceramic, refractory minerals mining",408.5205994,81968353.27,24560894.01,-7422491.55,17430004.12,3574887.991
31,"Potash, soda, and borate mineral mining",123.339035,36770282.75,12597956.66,-1398713.589,3769391.298,1646774.769
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,666.9437256,135063858,36180698.39,-14465851.78,34857326.51,8625586.51
34,Other nonmetallic minerals,313.5044861,46334098.82,13871429.44,-6457072.735,9834917.068,3045165.3
35,Drilling oil and gas wells,52136.3125,23849666016,5203743164,682584655.8,4806898438,1235421021
36,Support activities for oil and gas operations,162521.3438,52780082031,14919907227,554767150.9,7684871582,2414688477
37,Metal mining services,25557.08789,14456435547,1420878540,1122992065,4931030762,1284858154
38,Other nonmetallic minerals services,25839.35547,14483480469,1447515503,1123135864,4924670410,1293457275
39,Electric power generation - Hydroelectric,3061.256348,1553688110,246646041.9,153751251.2,335079772.9,105148437.5
40,Electric power generation - Fossil fuel,6802.401855,9476132813,1064966064,60371959.69,1983402588,717634765.6
41,Electric power generation - Nuclear,1637.761597,1627730103,363484924.3,0,309559661.9,111345153.8
42,Electric power generation - Solar,233.2079163,87151855.47,18809747.7,9116255.76,24252561.57,4203568.935
43,Electric power generation - Wind,3756.440186,4618818359,345581665,86371246.34,1796880859,310638855
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,189.2861328,88234184.27,10487677.57,7311077.118,16846452.71,5040323.257
46,Electric power generation - All other,131.1495972,21205417.63,10887340.55,2493083.715,-9194046.974,1421946.287
47,Electric power transmission and distribution,34471.44141,42607652344,4203290527,599476074.2,7438202637,3342946533
48,Natural gas distribution,10970.98633,7994559570,1253765869,192938888.5,1603302246,416314819.3
49,"Water, sewage and other systems",8379.479492,2174931152,478984893.8,248075927.7,386512756.3,102462936.4
50,Construction of new health care structures,33239.02344,5178629883,1468483521,823735534.7,817794738.8,22283676.15
51,Construction of new manufacturing structures,54795.40625,8445849609,2483241211,1298991333,764218383.8,38929050.45
