IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,2042743.096,3.46701E+11,95849459637,11342535227,63633530771,10812559740
1,Oilseed farming,3.102036953,1869707.584,0,509867.5489,0,-77814.23628
2,Grain farming,232.9018707,54694614.41,4194667.816,6231458.187,16119361.88,-2379765.272
3,Vegetable and melon farming,342.7644043,38002120.97,7821956.635,1947227.359,6553142.548,1923.027914
4,Fruit farming,383.9625854,30676282.88,6064436.913,1847586.393,7414547.443,2013.115212
5,Tree nut farming,15.41568184,572103.9176,383992.0759,27631.02949,20149.76367,65.81340858
6,"Greenhouse, nursery, and floriculture production",1447.569336,146355682.4,48533363.34,6908681.393,20039051.06,3592.175199
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,11840.04395,284469726.6,94844146.73,15285888.67,40478725.43,-12936199.19
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",3767.314941,456904968.3,7390109.062,38658069.61,98055870.06,2087366.104
12,Dairy cattle and milk production,851.666748,373842010.5,17938951.49,11498901.37,27317613.6,1257549.524
13,Poultry and egg production,307.6281128,164351730.3,10222215.65,1255425.215,4842910.767,118918.6424
14,"Animal production, except cattle and poultry and eggs",2186.91748,222262664.8,25764566.42,50024745.94,107085418.7,1608509.898
15,"Forestry, forest products, and timber tract production",106.4731674,10103558.54,6993029.118,0,1033499.241,0
16,Commercial logging,316.9010925,22791566.85,10819005.97,45677.46446,1021264.076,287816.1371
17,Commercial fishing,399.35495,107540275.6,15851560.59,1173315.763,48399627.69,2221913.099
18,Commercial hunting and trapping,478.7528687,20905424.12,627698.3023,9663562.775,702701.211,2177680.016
19,Support activities for agriculture and forestry,2894.094727,84175903.32,66924209.59,8665886.879,-15333631.52,2113112.45
20,Oil and gas extraction,3402.702393,1330212280,119651321.4,8830105.782,290379303,137759582.5
21,Coal mining,1120.805054,470756622.3,112500785.8,-2956654.31,139450454.7,16455398.56
22,"Copper, nickel, lead, and zinc mining",1795.731323,2330670166,171629241.9,-15996334.08,1144579346,115916229.2
23,Iron ore mining,103.7310486,16508832.93,152144.7152,-9888610.84,60373.15354,1455533.624
24,Gold ore mining,71.13002777,17392234.8,1242099.166,-1058512.092,1016123.414,1165889.382
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,43.32932281,8908707.619,4411995.411,-3693367.004,2405862.57,302350.4615
27,Other metal ore mining,172.6023407,51253623.96,10546688.08,-3898885.25,9649314.88,1926806.331
28,Stone mining and quarrying,518.3286133,36819557.19,6612900.734,-47398239.14,11749900.82,4065922.26
29,Sand and gravel mining,1661.714722,202432952.9,80937492.37,-68473098.75,40949344.64,10928324.7
30,"Other clay, ceramic, refractory minerals mining",110.405426,14923975.94,5305089.474,-5802978.992,2880919.933,696130.4545
31,"Potash, soda, and borate mineral mining",155.5245819,35423664.09,13248205.18,-7770539.284,3033285.618,1498389.84
32,Phosphate rock mining,167.9055786,43450458.53,16292850.49,-584571.1827,4682132.244,1930990.219
33,Other chemical and fertilizer mineral mining,173.7845764,25733274.46,7335942.745,-6838743.687,5408267.975,1615907.669
