IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,5271540.941,8.85672E+11,3.08456E+11,29450957564,1.64113E+11,34602997350
1,Oilseed farming,913.7591553,218403945.9,494762.3014,-1576803.088,134709686.3,-995129.5853
2,Grain farming,1953.745239,235678039.6,15023042.68,-3909224.987,93844192.5,-896494.0906
3,Vegetable and melon farming,1695.224609,120753410.3,20658212.66,-10251798.63,28133657.46,58082.72585
4,Fruit farming,1145.573364,55340393.07,9093178.749,-6502539.158,18072122.57,36678.58988
5,Tree nut farming,17.40149498,472817.6594,263770.8187,-59064.02692,22499.54268,453.5851767
6,"Greenhouse, nursery, and floriculture production",4406.175781,353483367.9,97428398.13,-14639134.41,65391540.53,66731.98193
7,Tobacco farming,1572.201294,86947509.77,25062065.12,-5302899.837,24077913.28,-134384.2298
8,Cotton farming,842.383606,74844001.77,22211196.9,-4564427.853,18356470.11,-44603.13916
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,16032.73828,173299377.4,48023880,-11012681.96,33317531.59,-785814.8217
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",8349.65332,417541961.7,5613204.479,-19344789.51,121068969.7,28176816.94
12,Dairy cattle and milk production,1080.131104,286125000,11411705.02,-8029989.243,28248506.55,9739585.876
13,Poultry and egg production,4169.804199,1279183472,66128601.07,-12888601.3,50927227.02,9842329.025
14,"Animal production, except cattle and poultry and eggs",4196.679199,201735458.4,19436780.93,-10395695.69,131320053.1,18826711.65
15,"Forestry, forest products, and timber tract production",711.8497925,59357166.29,29933412.55,11651886.94,2488510.132,1396918.297
16,Commercial logging,4079.801514,357173980.7,128555831.9,83740638.73,-3894278.049,12077626.23
17,Commercial fishing,1826.715576,510892944.3,24906297.68,24744874.95,170106628.4,23358509.06
18,Commercial hunting and trapping,267.8638306,32737434.39,5514322.758,9407893.181,11372257.23,2773834.467
19,Support activities for agriculture and forestry,7296.195801,245808410.6,187775039.7,27744926.45,-35032146.45,10345458.98
20,Oil and gas extraction,4346.562988,1057423218,22549856.19,24387086.87,-5062236.309,27373304.37
21,Coal mining,2817.032471,1128068481,240740005.5,-30981504.44,328407348.6,73884750.37
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,74.56576538,20256387.71,3139923.811,-1800118.804,3161547.422,1485909.104
28,Stone mining and quarrying,2238.438721,692682495.1,146526077.3,-38251937.87,286521575.9,31046302.8
29,Sand and gravel mining,444.7929993,45826049.8,16441949.84,-21956783.29,9154839.516,5223100.662
30,"Other clay, ceramic, refractory minerals mining",115.6161194,22615474.7,7320411.205,-2779114.962,4374960.899,1296148.3
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,83.85218811,7030954.838,2853077.412,-5538375.378,1703524.59,1047971.725
35,Drilling oil and gas wells,563.710144,147084442.1,13956572.53,5086440.086,-5245777.13,4394322.395
36,Support activities for oil and gas operations,925.468689,189452804.6,23797815.32,11330331.8,-7293740.273,6696224.689
37,Metal mining services,511.5088501,125975753.8,7528735.638,2748040.438,-1600668.55,3284304.38
38,Other nonmetallic minerals services,743.3243408,190696517.9,23276971.82,4495456.219,-6123052.597,5226864.338
39,Electric power generation - Hydroelectric,106.3750687,73843185.42,12956266.4,0,29974046.71,6134782.314
40,Electric power generation - Fossil fuel,1184.166626,1885347900,162991882.3,10178860.66,516930969.2,211732788.1
41,Electric power generation - Nuclear,1692.03064,1810449829,303750183.1,0,440520355.2,194893905.6
42,Electric power generation - Solar,431.1024475,103105026.2,2737666.845,24235183.72,6011000.156,13241027.83
43,Electric power generation - Wind,127.5246887,103194572.4,762211.7996,7069636.345,6748942.375,18023572.92
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,827.3157349,320824585,8931310.654,37792598.72,24430694.58,37477653.5
46,Electric power generation - All other,11.61581516,2094153.404,884911.3584,0,-384692.8179,212512.7316
47,Electric power transmission and distribution,5579.904297,8891402344,887758972.2,3059040.07,2691897217,934345703.1
48,Natural gas distribution,1848.848267,1790096313,277959167.5,6604234.219,623894653.3,118532379.2
49,"Water, sewage and other systems",743.1131592,240718612.7,54171997.07,8923284.531,76227348.33,16358816.15
50,Construction of new health care structures,8369.285156,1233897949,351154022.2,141610595.7,218871429.4,7013795.376
51,Construction of new manufacturing structures,14795.93164,2205718018,691568603.5,223753234.9,231719833.4,16266876.22
52,Construction of new power and communication structures,18950.05859,3332049316,813668151.9,300628356.9,811107299.8,35318019.87
53,Construction of new educational and vocational structures,21120.11719,2755904785,945958801.3,298620544.4,438692565.9,14155914.31
54,Construction of new highways and streets,17465.63867,3476871582,772952514.6,275396667.5,733248168.9,17953422.55
55,"Construction of new commercial structures, including farm structures",33234.54688,4133631836,1359557373,546322204.6,323200439.5,36845600.13
56,Construction of other new nonresidential structures,42689.60938,3494760010,1787086914,714716369.6,-979835327.1,22451354.98
57,Construction of new single-family residential structures,52214.24609,7455512695,2134639404,904947021.5,1245930176,76448417.66
58,Construction of new multifamily residential structures,16158.65918,1735834473,664903259.3,281421936,391561004.6,13807651.52
59,Construction of other new residential structures,36361.5625,7112367676,1516355469,623083007.8,989812500,61351818.08
60,Maintenance and repair construction of nonresidential structures,24709.95117,4868392090,1025764282,429795684.8,540648803.7,40616931.92
61,Maintenance and repair construction of residential structures,11771.35938,2419807129,468158081.1,183625030.5,321266723.6,39228694.92
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",8906.304688,858501586.9,372753631.6,153691818.2,-167223770.1,8564764.023
63,Dog and cat food manufacturing,339.5693359,527338134.8,20445323.94,45176.76681,131522262.6,15836679.46
64,Other animal food manufacturing,778.319458,811754882.8,41121604.92,804630.2199,54441440.58,21408260.35
65,Flour milling,111.0857544,134901153.6,7272919.178,37726.15269,17724325.18,1358108.997
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,19.65672874,34753589.63,1707986.355,9158.582427,6995263.1,400445.1632
68,Wet corn milling,0,0,0,0,0,0
69,Soybean and other oilseed processing,0,0,0,0,0,0
