IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,436676.1702,65992088643,19708795592,2864345662,8634541596,3091113139
1,Oilseed farming,4.503661633,1561195.374,5288.023036,1228307.962,299575.9249,-49446.29967
2,Grain farming,109.8771362,15949064.25,1528420.21,5271272.659,7115357.399,-507403.1353
3,Vegetable and melon farming,336.9304504,23973138.81,6165765.762,3563435.316,6257846.832,7414.600346
4,Fruit farming,367.1796875,18648195.27,4606584.549,3258171.558,6823024.273,7551.328279
5,Tree nut farming,0.703303516,17113.88305,14316.12577,2391.558141,-456.3766706,11.77648664
6,"Greenhouse, nursery, and floriculture production",360.3095703,24078111.65,9977178.574,3297183.99,4990548.134,3506.572684
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,5437.834473,78702453.61,32788177.49,12268121.72,16952638.63,-2684672.117
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",957.0181885,68638992.31,1387236.118,16846914.29,22298561.1,2079097.748
12,Dairy cattle and milk production,1642.873047,458279998.8,27478586.2,40891620.64,50692512.51,9515344.62
13,Poultry and egg production,79.27716827,26696636.2,2074826.717,591572.8807,1190822.363,120209.1575
14,"Animal production, except cattle and poultry and eggs",135.0089111,8398188.591,1209336.877,5451173.306,946714.9973,389457.9709
15,"Forestry, forest products, and timber tract production",90.66568756,5278420.448,2256754.637,1082426.786,93186.37848,77388.10033
16,Commercial logging,1702.063232,95213172.91,11611199.38,26220649.72,-1566141.009,1919659.019
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,74.19330597,1822670.341,0,303490.0129,0,276347.9352
19,Support activities for agriculture and forestry,1678.146729,43057998.66,30510581.97,12621876.72,-13599869.73,880965.9481
20,Oil and gas extraction,205.8039093,47185886.38,0,397117.9724,0,0
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,552.1973267,252202484.1,22004667.28,2461210.728,152975784.3,8934316.635
29,Sand and gravel mining,236.0298157,49879936.22,8654367.447,1260225.415,17131612.78,3219313.86
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,68.39826202,33908317.57,8695519.447,87026.9537,18458478.93,986139.2379
35,Drilling oil and gas wells,81.16472626,20084684.37,4781621.456,-147954.5534,-3337876.797,230499.8785
36,Support activities for oil and gas operations,22.12515259,3746226.788,0,42507.23496,0,0
37,Metal mining services,22.12515259,4974378.109,0,42681.12779,0,0
38,Other nonmetallic minerals services,71.25241852,17328695.3,2955783.844,-55412.55698,-1419393.897,144490.0036
39,Electric power generation - Hydroelectric,118.5583801,39027797.7,1678198.457,2795008.421,2102542.639,4836083.412
40,Electric power generation - Fossil fuel,0,0,0,0,0,0
41,Electric power generation - Nuclear,167.9833221,148295990,27025745.39,0,21225751.88,13544039.73
42,Electric power generation - Solar,67.2405777,14706645.01,1172012.687,1825151.682,1393588.066,1444092.87
43,Electric power generation - Wind,210.1972504,146518112.2,538057.3273,6248304.844,2580028.772,20798814.77
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,12.78316593,6974678.516,1328083.754,0,1967351.913,400579.5717
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,873.1280518,1169394897,143790298.5,319219.5594,237417846.7,103382675.2
48,Natural gas distribution,125.3471298,94059539.79,16573324.2,9770.777076,20132713.32,5607123.375
49,"Water, sewage and other systems",70.74526215,14533489.23,1996295.81,1470350.862,1781904.459,1189297.795
50,Construction of new health care structures,858.9609375,92900978.09,25265125.27,20661840.44,-6497458.458,590262.1746
51,Construction of new manufacturing structures,1390.306641,170081481.9,41602458.95,32520389.56,-3076097.965,1084230.065
52,Construction of new power and communication structures,1945.274048,250767349.2,56824943.54,46749969.48,3308184.624,3113839.388
53,Construction of new educational and vocational structures,2165.416992,219158081.1,75829162.6,43526618.96,-9839244.843,1117341.876
54,Construction of new highways and streets,1737.810669,242910095.2,55339321.14,40174163.82,-20815113.07,1320246.22
55,"Construction of new commercial structures, including farm structures",3259.746338,347621765.1,90896156.31,79522026.06,-8440602.303,2453820.705
56,Construction of other new nonresidential structures,4385.224609,244814849.9,125252929.7,104812202.5,-188430191,2834192.753
57,Construction of new single-family residential structures,5238.515625,611453613.3,144955734.3,131363235.5,15437587.74,9329715.729
58,Construction of new multifamily residential structures,1629.376099,121553817.7,45218700.41,40994018.55,-4950216.293,1556070.685
59,Construction of other new residential structures,3691.188232,569531982.4,105558494.6,90964309.69,-29795022.96,4692304.134
60,Maintenance and repair construction of nonresidential structures,2496.19751,405533874.5,69818107.6,62697357.18,-16070768.36,3044515.371
61,Maintenance and repair construction of residential structures,1197.221558,201107238.8,34362895.97,26884185.79,-6712029.457,3417653.084
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",897.4275513,64652900.7,25365844.73,22388473.51,-33161937.71,614505.1718
