IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,4463428.72,9.41441E+11,2.89744E+11,37015790440,2.02372E+11,43814999168
1,Oilseed farming,27.32475662,29505762.1,93670.18193,19175046.92,9120583.534,-347677.4991
2,Grain farming,3571.207764,1065145752,98691040.04,299965698.2,220468353.3,-444247772.2
3,Vegetable and melon farming,10346.08691,1188062378,295435363.8,150475402.8,143884811.4,204825.7291
4,Fruit farming,38324.46094,3324331055,793976501.5,494907104.5,564313049.3,708891.4514
5,Tree nut farming,76.30153656,2705084.324,2181704.044,321197.6886,66552.10257,1150.160562
6,"Greenhouse, nursery, and floriculture production",3946.246094,362493713.4,145226867.7,42296413.42,34857959.75,34589.78608
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,25.64050484,3834000.111,1289208.889,910818.2788,538212.8358,-58460.73851
10,All other crop farming,24824.26172,901726501.5,363216003.4,119769691.5,90115509.03,-14178953.17
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",3569.715576,760861938.5,14867792.13,159124694.8,114679954.5,36002571.11
12,Dairy cattle and milk production,2370.747559,1131647949,65604858.4,86039337.16,58076438.9,4247114.182
13,Poultry and egg production,613.9911499,372318695.1,27977008.82,7029895.306,7705147.743,11635275.84
14,"Animal production, except cattle and poultry and eggs",1720.639282,248550857.5,34447544.1,136842849.7,49666412.35,15711192.13
15,"Forestry, forest products, and timber tract production",722.0459595,81547515.87,45345954.9,20646381.38,-164785.9365,1634627.581
16,Commercial logging,5908.324707,720712646.5,265440094,257145782.5,-17487636.57,17655382.16
17,Commercial fishing,5749.962402,482497833.3,202607635.5,119530777,81021965.03,71276153.56
18,Commercial hunting and trapping,119.0900345,16880331.04,24162.18817,14052949.91,39846.45009,1204828.858
19,Support activities for agriculture and forestry,31525.70898,1377778809,1242130371,123364219.7,-265775482.2,40520862.58
20,Oil and gas extraction,3982.133545,908555114.7,1954256.296,747690.618,-221284.8514,750937.5215
21,Coal mining,79.0836792,23101909.64,1470717.072,6004423.141,-38545.20619,1178937.912
22,"Copper, nickel, lead, and zinc mining",197.9914856,129245880.1,7877014.637,8036763.191,-435736.7456,12933457.37
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,373.4379883,144114608.8,37035541.53,22699304.58,-619866.2519,6108661.175
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,87.28109741,27903993.61,5125397.205,5183359.623,-86774.30451,979639.8282
28,Stone mining and quarrying,1306.49939,257330688.5,43801891.33,48648944.85,-1132289.648,10266580.58
29,Sand and gravel mining,1855.645508,320702453.6,89611808.78,65546791.08,-936493.6948,12273525.24
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,77.17197418,13550796.51,1159138.68,5448614.12,-12147.07736,545292.8543
35,Drilling oil and gas wells,405.6112671,100508560.2,4349020.958,1587576.389,-31990.28969,1860543.609
36,Support activities for oil and gas operations,566.2672119,108106185.9,9956310.272,1419690.251,-53588.81876,1991426.587
37,Metal mining services,611.394165,153694732.7,14654572.49,226671.9788,-44208.69797,2577929.735
38,Other nonmetallic minerals services,448.2817993,100574478.1,1317126.751,122379.6606,-25813.25173,364547.5209
39,Electric power generation - Hydroelectric,484.0996399,322168975.8,37122562.41,-45501.32528,110720367.4,61609561.92
40,Electric power generation - Fossil fuel,260.7299805,519426269.5,39482673.65,0,161434814.5,101958633.4
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,9.399400711,5278393.745,891086.3996,0,2522377.253,624762.5351
43,Electric power generation - Wind,167.5701294,244230285.6,8040325.165,-10340.05638,91782043.46,51661239.62
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,94.21427917,34155834.2,142608.4787,-13650.07367,502909.7199,9359615.326
46,Electric power generation - All other,4.998858452,1034395.933,281002.3427,0,-41484.83276,200384.3337
47,Electric power transmission and distribution,3228.793701,5959301758,472186462.4,-17935.21456,1830969482,1124965088
48,Natural gas distribution,1084.703369,998245361.3,102433059.7,-41613.27705,295938079.8,152208145.1
49,"Water, sewage and other systems",1267.100342,370723663.3,61447616.58,-48044.43941,108484008.8,55841136.93
50,Construction of new health care structures,7473.742188,1283725830,397150390.6,163353988.6,246055694.6,17051082.61
51,Construction of new manufacturing structures,12451.87109,2087902344,681151977.5,260809021,242868866,25807804.11
52,Construction of new power and communication structures,16594.49219,3315194580,871031921.4,381485839.8,811168396,50642498.02
53,Construction of new educational and vocational structures,19078.27734,2896040771,1072324951,343350280.8,489556762.7,34662742.61
54,Construction of new highways and streets,15298.13086,3514988770,860460083,319113372.8,821201416,45050678.25
55,"Construction of new commercial structures, including farm structures",29324.53906,4234319336,1518945313,631384033.2,353418701.2,82598770.14
56,Construction of other new nonresidential structures,37908.49219,3526429199,2012863525,835725830.1,-1107604492,53536605.83
57,Construction of new single-family residential structures,46743.12891,7737327148,2406341797,1056527344,1386800293,118258476.3
58,Construction of new multifamily residential structures,14382.40527,1880313965,749369384.8,326060730,438882354.7,24087802.89
59,Construction of other new residential structures,32309.40039,7181805664,1709656128,718350036.6,1114437012,154642822.3
