IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,3728501.516,6.7824E+11,1.87766E+11,20478060958,1.09938E+11,21389333643
1,Oilseed farming,2476.399658,910439697.3,3117981.911,259935943.6,383806915.3,-28014150.62
2,Grain farming,12065.37109,2002198120,192944366.5,238827117.9,544902282.7,-70065856.93
3,Vegetable and melon farming,6306.011719,546643310.5,141378585.8,29325426.1,87047058.11,117893.7256
4,Fruit farming,2665.338867,162187637.3,40288166.05,10227068.9,36199943.54,46568.15901
5,Tree nut farming,19.14501572,585996.5086,494213.2533,29631.15834,19058.92044,272.3132202
6,"Greenhouse, nursery, and floriculture production",3292.058594,283116119.4,117968879.7,13992060.66,35796489.72,27212.07216
7,Tobacco farming,19.8041172,1279205.084,557424.6049,82453.60851,242116.9132,-21234.60732
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,13531.125,215092529.3,90109756.47,12100726.13,28263397.22,-8328770.638
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",23229.23828,1780719849,36190334.32,157739822.4,352899932.9,27367433.55
12,Dairy cattle and milk production,15104.58203,5045535156,304220306.4,162482620.2,340463195.8,24276199.34
13,Poultry and egg production,907.8609009,361007019,28213596.34,2887112.379,9823270.798,4016970.634
14,"Animal production, except cattle and poultry and eggs",4023.823975,277522460.9,40422813.42,65395523.07,123472503.7,14342447.28
15,"Forestry, forest products, and timber tract production",277.977417,26005582.81,15981990.81,2299300.194,2219155.312,82479.84201
16,Commercial logging,5184.65332,434965301.5,54519859.31,202275146.5,-2529540.539,6987473.965
17,Commercial fishing,836.1955566,5745614.529,1675720.93,-2350962.877,1615981.579,4708879.948
18,Commercial hunting and trapping,361.8086243,7373774.529,1854511.142,-90505.01138,-6516065.121,1655896.187
19,Support activities for agriculture and forestry,10638.27734,434143066.4,304399200.4,147941268.9,-105741035.5,7386691.093
20,Oil and gas extraction,284.53479,68443191.53,0,3013236.761,0,742015.4214
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,1582.123169,764354003.9,89799568.18,6487015.247,453830780,25634433.75
29,Sand and gravel mining,3015.092041,784317077.6,196928543.1,12280994.42,283389251.7,41159793.85
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,142.5027161,45242748.26,12161722.18,412839.5319,18767534.26,2064385.176
35,Drilling oil and gas wells,343.6938171,79834663.39,262081.0866,186589.4645,-28912.26299,828975.4391
36,Support activities for oil and gas operations,515.9089966,91050193.79,3684304.953,285189.5094,-319560.7662,1037818.313
37,Metal mining services,30.58919144,7221603.394,0,323854.2378,0,79417.36281
38,Other nonmetallic minerals services,64.35305023,15797714.23,1241018.057,320776.2837,-94180.20397,147416.0403
39,Electric power generation - Hydroelectric,200.1192627,98296508.79,10172274.59,16814311.98,17727636.34,6968234.539
40,Electric power generation - Fossil fuel,3226.794434,4683670410,489124725.3,0,1168566650,345954620.4
41,Electric power generation - Nuclear,643.8653564,626885009.8,119850303.6,0,130935012.8,44551017.76
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,223.1647186,206880600,2455401.182,45581340.79,16377580.64,18935337.07
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,363.5039063,190650375.4,12019468.31,50763965.61,24766983.03,9867418.289
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,4129.134766,5622263672,592058960,27674505.23,1350347900,415165466.3
48,Natural gas distribution,1085.964355,809391113.3,103230133.1,41535858.15,174463256.8,41933734.89
49,"Water, sewage and other systems",563.5980835,208132751.5,43708633.42,46564140.32,45925338.75,7440035.343
50,Construction of new health care structures,5457.901855,813276794.4,239459198,111204109.2,123013588,3588731.527
51,Construction of new manufacturing structures,9828.922852,1485328735,461363891.6,174754058.8,149015777.6,7723443.508
52,Construction of new power and communication structures,12195.06348,2184164063,536869628.9,251745910.6,493149597.2,19899108.89
53,Construction of new educational and vocational structures,13942.64063,1864384155,671693237.3,233499084.5,253501297,6927258.968
54,Construction of new highways and streets,11278.91895,2240075684,519192688,216353591.9,412606262.2,8746811.867
55,"Construction of new commercial structures, including farm structures",21409.20117,2735910400,905629211.4,430453216.6,177080566.4,19598587.04
56,Construction of other new nonresidential structures,27488.69336,2233367432,1190021606,565942749,-789727539.1,11267468.45
57,Construction of new single-family residential structures,33353.64844,4875205566,1413910767,713634582.5,701303283.7,70246986.39
58,Construction of new multifamily residential structures,10306.72363,1137829224,440850860.6,221404739.4,219042343.1,11509000.78
59,Construction of other new residential structures,23292.99414,4600385254,1015635010,489440185.5,552531616.2,30520311.36
60,Maintenance and repair construction of nonresidential structures,15835.41895,3164929688,687134277.3,337904144.3,303955505.4,21321010.59
61,Maintenance and repair construction of residential structures,7808.070801,1604333496,317603942.9,146455032.3,183920959.5,22724479.68
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",5764.724121,565147399.9,253891113.3,121011749.3,-132765609.7,5388242.722
63,Dog and cat food manufacturing,1028.094971,1420216431,74868972.78,5246527.195,233623062.1,18074266.43
64,Other animal food manufacturing,1771.925293,1829089966,120338142.4,23225711.82,83540840.15,22069965.36
65,Flour milling,151.411972,176795684.8,12141100.88,1705957.77,14352501.87,697585.4635
66,Rice milling,0,0,0,0,0,0
67,Malt manufacturing,284.8053589,452184875.5,25845043.18,1301597.595,51345867.16,2185017.109
68,Wet corn milling,19.20641518,35784423.83,1679153.919,125856.5485,2406125.546,186604.1273
69,Soybean and other oilseed processing,136.0384521,631460022,8835184.097,1272639.513,39339679.72,2534460.306
70,Fats and oils refining and blending,13.85843658,21926763.53,757302.4035,425614.506,815260.8871,90095.3263
71,Breakfast cereal manufacturing,86.5855484,72806373.6,6066697.121,208509.4154,9963763.237,342800.4086
72,Beet sugar manufacturing,0,0,0,0,0,0
73,Sugar cane mills and refining,0,0,0,0,0,0
74,Nonchocolate confectionery manufacturing,643.8535156,289595275.9,47396415.71,6946492.195,25246919.63,1100230.813
75,Chocolate and confectionery manufacturing from cacao beans,978.9844971,711345031.7,79837829.59,2495194.674,100763977.1,3343948.364
76,Confectionery manufacturing from purchased chocolate,1059.365601,390500793.5,45559005.74,31470775.6,22881856.92,1574487.686
77,"Frozen fruits, juices and vegetables manufacturing",1429.874512,656653930.7,83114952.09,4219866.276,81514923.1,2840089.321
78,Frozen specialties manufacturing,4589.03418,1797873291,280516204.8,14633513.45,168120910.6,5924709.797
79,Canned fruits and vegetables manufacturing,4444.144043,2323240723,283474212.6,41764495.85,265120300.3,8047126.77
80,Canned specialties,774.1762695,682365661.6,61040489.2,1080559.015,100737480.2,2215233.564
81,Dehydrated food products manufacturing,220.7236938,99377281.19,10842901.23,3156841.516,10666550.64,391822.1295
82,Cheese manufacturing,15388.33496,14077317383,1067544556,25955566.41,494969543.5,58003738.4
83,"Dry, condensed, and evaporated dairy product manufacturing",2833.433105,3778267090,198182144.2,5154212.475,359268463.1,15843520.16
84,Fluid milk manufacturing,887.8526001,652717529.3,57720661.16,4400065.899,43476017,3175462.723
85,Creamery butter manufacturing,953.8971558,1840948853,79182800.29,2294508.457,271254058.8,12504375.46
86,Ice cream and frozen dessert manufacturing,293.2861633,125475967.4,14546416.28,2591618.538,9558390.617,652632.2961
87,Frozen cakes and other pastries manufacturing,3159.697266,262431030.3,87227195.74,11389186.86,17702360.15,19626369.48
88,Poultry processing,3076.945557,997926391.6,182035064.7,1860192.537,68900711.06,3632812.977
89,"Animal, except poultry, slaughtering",4442.851563,3051586670,240177169.8,20385162.35,95696792.6,15888183.59
90,Meat processed from carcasses,8939.625,4685601563,569476257.3,28610456.47,43186176.3,20580528.26
91,Rendering and meat byproduct processing,229.0688629,90199409.48,17462842.94,2069952.25,1394162.059,645544.7674
92,Seafood product preparation and packaging,190.9780579,104777229.3,3935039.997,36511924.74,1151661.634,416891.1278
93,"Bread and bakery product, except frozen, manufacturing",8948.191406,1358383301,313766449,163375824,110981796.3,23920806.88
94,Cookie and cracker manufacturing,296.5471497,111608978.3,16587186.81,8110059.738,8729659.081,486226.9461
95,"Dry pasta, mixes, and dough manufacturing",640.7000122,359974487.3,32403888.7,2038576.841,50559314.73,1792409.301
96,Tortilla manufacturing,320.86026,70243034.36,14698126.79,608561.9926,3572895.288,347606.4205
97,Roasted nuts and peanut butter manufacturing,415.6903076,206392471.3,27818246.84,5807355.404,32014102.94,519354.6414
98,Other snack food manufacturing,1442.275879,786974548.3,94100250.24,10327192.31,122458992,4124500.751
99,Coffee and tea manufacturing,1376.584961,895496276.9,64454948.43,24192609.79,72954895.02,4090888.5
100,Flavoring syrup and concentrate manufacturing,26.40941429,69207939.15,1403617.024,2529567.957,13123336.79,297323.2269
101,"Mayonnaise, dressing, and sauce manufacturing",858.7130737,513266662.6,61212734.22,9392553.329,65443916.32,2117009.64
102,Spice and extract manufacturing,1627.722168,942472534.2,116957031.3,28495367.05,74098899.84,4131354.332
103,All other food manufacturing,3906.660156,1472358765,234807754.5,51229515.08,97470245.36,5393436.909
104,Bottled and canned soft drinks & water,798.6629639,595027038.6,52057342.53,3806870.699,63144622.8,3996272.326
105,Manufactured ice,141.2648468,19604372.02,5811543.941,791861.3553,-2862447.023,133439.4962
106,Breweries,2992.898438,1508645386,189157196,12647433.28,305657348.6,82717147.83
107,Wineries,703.80896,215584228.5,18212842.94,7259563.446,14063197.14,5237104.893
108,Distilleries,190.9925842,179088821.4,6126080.036,2586611.986,18866359.71,36445411.68
109,Tobacco product manufacturing,13.4635973,31560373.31,330059.5582,411900.6693,4023122.787,8437250.137
110,"Fiber, yarn, and thread mills",30.1839695,9479788.78,1081775.069,71696.69867,360214.2036,98314.94093
111,Broadwoven fabric mills,252.1635132,64624549.87,15938329.7,225190.2521,5480759.144,519609.0341
112,Narrow fabric mills and schiffli machine embroidery,0,0,0,0,0,0
113,Nonwoven fabric mills,589.8685913,278313049.3,47781517.03,333200.6037,33985031.13,2212864.161
114,Knit fabric mills,293.6495972,69272987.37,18135648.73,324505.5079,4916102.409,552534.461
115,Textile and fabric finishing mills,58.41312027,13199199.68,854431.808,827786.5052,193255.2904,115816.7645
116,Fabric coating mills,132.4962921,48092792.51,8796148.3,122348.9121,2433220.387,338713.3181
117,Carpet and rug mills,55.10512161,18607088.09,2707145.929,6355.586927,1573825.002,209960.3117
118,Curtain and linen mills,158.7052612,30878328.32,5195510.387,503557.0264,1782051.802,280234.6349
119,Textile bag and canvas mills,488.4317627,86041305.54,25697589.87,1666441.917,5332456.112,656434.2976
120,"Rope, cordage, twine, tire cord and tire fabric mills",11.09463406,3040418.148,573630.6906,47168.5864,323942.4825,27846.57665
121,Other textile product mills,1053.521362,154550689.7,45271389.01,2029866.934,7970234.871,1267919.183
122,Hosiery and sock mills,228.1932983,23280782.7,10670867.92,80536.84235,-150741.4132,477650.4338
123,Other apparel knitting mills,79.67204285,6539666.176,1114530.206,92643.67074,152576.7446,384388.9832
124,Cut and sew apparel contractors,167.6573792,7740471.363,2023165.941,105512.85,50511.40115,404321.0447
125,Mens and boys cut and sew apparel manufacturing,309.0277405,36652584.08,8214179.039,152875.7066,-231543.7645,610113.6208
126,Womens and girls cut and sew apparel manufacturing,143.0295868,23849740.98,1691915.512,122045.8895,85758.99154,479165.6137
127,Other cut and sew apparel manufacturing,384.4212341,39466396.33,10869902.61,181431.7703,-404140.7704,618010.5209
128,Apparel accessories and other apparel manufacturing,202.1050568,17035181.05,3006682.634,147350.8477,38512.17031,472362.8759
129,Leather and hide tanning and finishing,527.5164795,155693084.7,27141355.51,819929.8978,-4215964.794,1077766.538
130,Footwear manufacturing,688.5414429,115938201.9,34545871.73,126090.7352,-1275542.498,778814.9118
131,Other leather and allied product manufacturing,228.6347351,22713832.86,5570464.134,676054.5373,-166936.7701,165708.5121
