IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,905081.3333,1.54584E+11,42263430516,4226182318,26744481129,6316045164
1,Oilseed farming,105.5272827,12424216.27,26519.80147,-483820.9152,12655404.09,-1149225.473
2,Grain farming,329.2054138,20672769.55,1241659.641,-1849561.81,13594261.17,-1511482.835
3,Vegetable and melon farming,247.3150482,9862670.898,1589838.624,-4516415.596,3794809.818,5490.706302
4,Fruit farming,770.8781128,20396654.13,3157894.373,-12927018.17,11000045.78,15991.42514
5,Tree nut farming,33.60997391,539605.3195,283644.5272,-363583.5648,42405.76178,567.7401205
6,"Greenhouse, nursery, and floriculture production",712.098938,35086311.34,9112120.628,-7837594.986,10719116.21,6988.856941
7,Tobacco farming,0.417818755,13301.07264,3612.530418,-4375.640303,6082.98881,-357.5454757
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,8275.999023,45005058.29,11751321.79,-15426096.92,14289129.26,-4057300.091
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",7214.13916,177976989.7,2254445.314,-44476070.4,85224647.52,15758013.73
12,Dairy cattle and milk production,125.5526352,18204000.47,684111.1779,-2755653.858,2968077.183,733499.7654
13,Poultry and egg production,1721.418091,284279846.2,13847384.45,-15449616.43,18690973.28,2632290.125
14,"Animal production, except cattle and poultry and eggs",662.3063965,17139207.84,1471989.512,-4506791.592,17430706.02,1923902.631
15,"Forestry, forest products, and timber tract production",99.96079254,8802047.729,4188210.487,1987493.873,616119.3848,60235.13153
16,Commercial logging,1861.869263,181147506.7,36646869.66,89540908.81,-11266603.47,3844208.717
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,93.55317688,1906643.51,173628.1812,-96407.62955,-5468382.359,653624.7134
19,Support activities for agriculture and forestry,1206.380005,20733110.43,27409847.26,7625858.784,-24617500.31,1225113.869
20,Oil and gas extraction,10892.14551,4892656738,200520843.5,8258821.487,2029124023,178463348.4
21,Coal mining,12792.75195,5623627930,1375069214,-68455657.96,1484822998,488842712.4
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,51.82989502,18443908.69,4254760.742,-1489623.07,1470780.611,1872315.168
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,35.44329834,12038121.22,2698672.771,-619958.5199,2150880.814,1025991.678
28,Stone mining and quarrying,680.2092285,172327865.6,39208961.49,-22429906.85,60689464.57,13772765.16
29,Sand and gravel mining,95.72899628,20733600.62,8446138.382,-1022333.384,3722555.161,1632023.692
30,"Other clay, ceramic, refractory minerals mining",29.82818413,6664019.108,2562654.972,-798367.3215,1212311.983,487602.4425
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
