IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,400044.8533,77691446151,18119519742,3497392792,13834821576,4016044619
1,Oilseed farming,0.902458012,794364.81,0,-1419.563545,0,-493.4052704
2,Grain farming,456.7394714,101491989.1,11532832.15,-416697.7406,35116378.78,-96911.28135
3,Vegetable and melon farming,13.08956432,1095977.187,334241.4498,-23031.38562,221879.9293,455.381145
4,Fruit farming,6.101786613,387683.1234,113557.5101,-11275.49168,110010.3408,198.3297698
5,Tree nut farming,0,0,0,0,0,0
6,"Greenhouse, nursery, and floriculture production",175.7542419,11636960.98,5717702.866,-119289.9495,1870603.919,2707.435517
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,352.0314941,38497001.65,15875726.7,-342248.7676,9033782.005,-31906.18008
10,All other crop farming,6187.156738,171289520.3,84616783.14,-2694292.545,28615167.62,-140472.1588
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",5693.571289,947016906.7,22695194.24,-10860240.94,238605331.4,19594865.8
12,Dairy cattle and milk production,66.28391266,23179000.85,1647991.18,-161016.9858,1988493.085,606752.5744
13,Poultry and egg production,77.87332916,34745170.59,3201963.663,-86653.32943,1201991.32,186591.1931
14,"Animal production, except cattle and poultry and eggs",1516.290039,163566192.6,28093193.05,-2086328.506,92519241.33,6913803.577
15,"Forestry, forest products, and timber tract production",56.96317673,5115336.895,2827126.741,1012516.737,119697.0046,44784.97431
16,Commercial logging,367.5206604,36731552.12,5734143.257,18374858.86,-324847.1916,633580.9231
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,397.7671509,27787273.41,842567.0862,27249200.82,-8877629.28,2473376.751
19,Support activities for agriculture and forestry,2389.085205,48516506.2,40835292.82,8049267.769,-20218732.83,1849476.218
20,Oil and gas extraction,6647.796387,3449633545,333753967.3,46375530.24,905303649.9,652848266.6
21,Coal mining,4962.299805,3359840088,562463867.2,25881383.9,1598163696,264347869.9
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,158.4586792,75121879.58,17042524.34,12718395.23,21302568.44,4010786.057
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,136.1933136,54676090.24,3139505.148,18646104.81,12786911.96,3868196.249
29,Sand and gravel mining,312.5351868,98371223.45,14201727.87,34263160.71,16470268.25,7463942.051
30,"Other clay, ceramic, refractory minerals mining",872.3631592,251277359,43892219.54,39217334.75,54637184.14,19954151.15
31,"Potash, soda, and borate mineral mining",1358.499023,579721435.5,196800643.9,10337619.78,103286857.6,47303516.39
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,41.52670288,17501041.41,3328426.123,2804475.546,5624753.475,1399948.716
34,Other nonmetallic minerals,28.12818718,9672767.639,1843080.878,2488385.439,2292140.722,712835.4907
35,Drilling oil and gas wells,2200.10791,835897644,198615707.4,3196794.033,62870323.18,68158027.65
36,Support activities for oil and gas operations,9128.944336,2505523193,736238464.4,3686329.126,87734642.03,149691070.6
37,Metal mining services,805.0172119,397602294.9,44625801.09,4952895.164,97875297.55,70709938.05
38,Other nonmetallic minerals services,993.1959229,448992584.2,54485450.74,4938816.071,97804344.18,72874847.41
39,Electric power generation - Hydroelectric,3.300960064,1460841.894,272713.6612,-11808.21285,339792.4602,91246.86569
40,Electric power generation - Fossil fuel,1316.165039,1732803101,194993438.7,0,333064178.5,111600341.8
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,5.458337307,1188121.796,189225.4502,-24577.60647,223762.3632,79532.36252
43,Electric power generation - Wind,116.4338226,114237228.4,7309799.194,-142135.8138,34858348.85,7760264.397
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,792.7953491,944973388.7,99242416.38,-70348.35219,162467773.4,61825157.17
48,Natural gas distribution,550.2927856,330459167.5,38103214.26,3061028.242,45254749.3,16908670.43
49,"Water, sewage and other systems",185.4519653,29791126.25,3969307.184,-324519.2468,3087902.784,1836487.174
50,Construction of new health care structures,806.706665,120220695.5,32437099.46,10764410.02,26720613.48,634348.3329
51,Construction of new manufacturing structures,1297.877075,183807144.2,52630428.31,16956058.5,21777153.02,1004893.303
52,Construction of new power and communication structures,3120.002441,850859741.2,203772338.9,39995449.07,327279876.7,54032024.38
53,Construction of new educational and vocational structures,2039.540039,268307983.4,90548713.68,22563270.57,51685703.28,1294687.629
54,Construction of new highways and streets,1755.697876,368424408,78357223.51,20743465.42,98817497.25,1896931.648
